Name,Frequency,Launch_Date,Region,Position_Longitude,Position_Direction,L_Rocket
NSS 9,C,190104.0,asia,177.0,W,Ariane 5 - V187
Intelsat 18,CKu,231124.0,asia,180.0,E,Zenit 3/Baikonur
Eutelsat 172B,CKu,240306.0,asia,172.0,E,Ariane 5 - VA237
Horizons 3e,Ku,240302.0,asia,169.0,E,Ariane 5 - VA243
Intelsat 19,CKu,240311.0,asia,166.0,E,Zenit 3/Sea Launch
ChinaSat 19,,,asia,163.0,E,Long March 3B
Superbird B3,Ku,201122.0,asia,162.0,E,Ariane 5 - VA242
Optus D2,Ku,240322.0,asia,160.0,E,Ariane 5
ABS 6,CKu,220510.0,asia,159.0,E,Proton
Optus D3,Ku,231226.0,asia,156.0,E,Ariane 5 - V190
Optus 10,Ku,231205.0,asia,156.0,E,Ariane 5 - VA218
JCSAT 2B,CKu,231124.0,asia,154.0,E,Falcon 9
Optus D1 (incl. 0.9°),,,asia,152.0,E,Ariane 5
BRIsat,C,240304.0,asia,150.5,E,Ariane 5 - VA230
JCSAT 1C,,,asia,150.0,E,Falcon 9
Nusantara Satu,C,240321.0,asia,146.0,E,Falcon 9
Express AMU7,C,220522.0,asia,145.0,E,Proton
JCSAT 16,,,asia,144.0,E,Falcon 9
Superbird C2 (incl. 0.2°),Ku,200903.0,asia,144.0,E,Ariane 5 - V185
Apstar 9,CKu,231207.0,asia,142.0,E,Xichang
Express AM5,Ku,230613.0,asia,140.0,E,Proton
Express AT2,Ku,240218.0,asia,140.0,E,Proton
Telstar 18 Vantage (Apstar 5C),CKu,240307.0,asia,138.0,E,
Apstar 6D,,,asia,134.0,E,Long March 3B
Apstar 6C,CKu,240120.0,asia,134.0,E,Long March 3B
JCSAT 12,,,asia,132.0,E,Ariane 5 - V190
JCSAT 5A,CKu,200922.0,asia,132.0,E,Zenit 3
Vinasat 1,CKu,240207.0,asia,132.0,E,Ariane 5
Vinasat 2,Ku,240216.0,asia,132.0,E,Ariane 5 - VA206
ChinaSat 6C,C,240109.0,asia,130.5,E,Long March 3B
ChinaSat 2D,,,asia,130.0,E,Long March 3B
LaoSat 1,CKu,240318.0,asia,128.5,E,Long March 3B
JCSAT 3A,Ku,201209.0,asia,128.0,E,Ariane 5
Cosmos 2526,,,asia,128.0,E,Proton
ChinaSat 6D,CKu,231124.0,asia,125.0,E,Long March 3B/E
JCSAT 4B,Ku,230930.0,asia,124.0,E,Ariane 5 - VA206
AsiaSat 9,CKu,240321.0,asia,122.0,E,Proton
AsiaSat 6/Thaicom 7,C,240120.0,asia,120.0,E,Falcon 9
Thaicom 4,Ku,211107.0,asia,119.3,E,Ariane
Bangabandhu 1,CKu,240127.0,asia,119.3,E,Falcon 9
Telkom 3S,Ku,220809.0,asia,118.0,E,Ariane 5 - VA235
Koreasat 6,Ku,231015.0,asia,116.0,E,Ariane 5 - V199
Koreasat 7,Ku,240201.0,asia,116.0,E,Ariane 5 - VA236
ChinaSat 6B (incl. 0.3°),,,asia,115.5,E,Long March 3B
ChinaSat 6E,C,240318.0,asia,115.5,E,Long March 3B
Koreasat 5,Ku,220109.0,asia,113.0,E,Zenit 3
Koreasat 5A,Ku,240201.0,asia,113.0,E,Falcon 9
Merah Putih 2,,,asia,113.0,E,Falcon 9
ChinaSat 10,C,240303.0,asia,110.5,E,Long March 3B
BSAT 4B,,,asia,110.0,E,Ariane 5 - VA253
BSAT 3A,Ku,200504.0,asia,110.0,E,Ariane 5 - V177
BSAT 3C/JCSAT 110R,Ku,200504.0,asia,110.0,E,Ariane 5 - VA203
JCSAT 15,Ku,200508.0,asia,110.0,E,Ariane 5 - VA234
BSAT 4A,Ku,210106.0,asia,110.0,E,Ariane 5 - VA239
SES 7,SKu,240315.0,asia,108.2,E,Proton
SES 9,Ku,240320.0,asia,108.2,E,Falcon 9
Telkom 4,C,240321.0,asia,108.2,E,Falcon 9
AsiaSat 7,C,240318.0,asia,105.5,E,Proton
Express AMU3,C,240102.0,asia,103.0,E,Proton
ChinaSat 9B,Ku,211006.0,asia,101.4,E,Long March 3B
AsiaSat 5,CKu,240225.0,asia,100.5,E,Proton
ChinaSat 11,CKu,240312.0,asia,98.0,E,Long March 3B
G-Sat 9,Ku,230528.0,asia,97.3,E,GSLV
Express 103,CKu,240307.0,asia,96.5,E,Proton
