Sattelite_Name,Provider,Provider/Channel,Channel,freq_alt,beam_alt,eirp_alt,FEC,SR,SYSTEM,encryption_alt,Languages,SID,Compression,Channel_Country,Provider_Country,VPID,Provider_URL,Channel_URL,is_Provider
NSS-9,American Forces Network,AFN Prime Pacific,AFN Prime Pacific,4055 L,tp GLL7,34-35,1/2/2024,11000,DVB-S2,"PowerVu,Verimatrix",Eng,202,MPEG-4/SD,us,,1260,,https://www.lyngsat.com/tvchannels/us/AFN-Prime-Pacific.html,FALSE
NSS-9,American Forces Network,AFN News,AFN News,4055 L,tp GLL7,34-35,1/2/2024,11000,DVB-S2,"PowerVu,Verimatrix",Eng,203,MPEG-4/SD,us,,1360,,https://www.lyngsat.com/tvchannels/us/AFN-News.html,FALSE
NSS-9,American Forces Network,AFN Sports,AFN Sports,4055 L,tp GLL7,34-35,1/2/2024,11000,DVB-S2,"PowerVu,Verimatrix",Eng,204,MPEG-4/SD,us,,2060,,https://www.lyngsat.com/tvchannels/us/AFN-Sports.html,FALSE
NSS-9,American Forces Network,AFN The Eagle Japan,AFN The Eagle Japan,4055 L,tp GLL7,34-35,1/2/2024,11000,DVB-S2,"PowerVu,Verimatrix",Eng,220,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Eagle-Japan.html,FALSE
NSS-9,American Forces Network,AFN The Voice,AFN The Voice,4055 L,tp GLL7,34-35,1/2/2024,11000,DVB-S2,"PowerVu,Verimatrix",Eng,221,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-The-Voice.html,FALSE
NSS-9,American Forces Network,AFN Music Service 1,AFN Music Service 1,4055 L,tp GLL7,34-35,1/2/2024,11000,DVB-S2,"PowerVu,Verimatrix",Eng,222,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Music-Service-1.html,FALSE
NSS-9,American Forces Network,AFN Music Service 2,AFN Music Service 2,4055 L,tp GLL7,34-35,1/2/2024,11000,DVB-S2,"PowerVu,Verimatrix",Eng,223,,us,,,,https://www.lyngsat.com/radiochannels/us/AFN-Music-Service-2.html,FALSE
Intelsat-18,American Forces Network,AFN Prime Atlantic,AFN Prime Atlantic,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,2,MPEG-4/HD,us,,1260,,https://www.lyngsat.com/tvchannels/us/AFN-Prime-Atlantic.html,FALSE
Intelsat-18,American Forces Network,AFN News,AFN News,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,3,MPEG-4/HD,us,,1560,,https://www.lyngsat.com/tvchannels/us/AFN-News.html,FALSE
Intelsat-18,American Forces Network,AFN Sports,AFN Sports,3753 R,tp NH1C,,2/3/2024,30000,DVB-S2,"PowerVu,Verimatrix",Eng,4,MPEG-4/HD,us,,1160,,https://www.lyngsat.com/tvchannels/us/AFN-Sports.html,FALSE
