Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,,IRIB,,1-3,,9.4,,N Stanislav231209,https://www.lyngsat.com/providers/ir/IRIB.html
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,101,IRIB 1,,MPEG-4/SD,1010,1011 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,102,IRIB 2,,MPEG-4/SD,1020,1021 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,103,IRIB 3,,MPEG-4/SD,1030,1031 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,104,IRIB 4,,MPEG-4/SD,1040,1041 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,105,IRIB 5,,MPEG-4/SD,1050,1051 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,106,IRINN,,MPEG-4/SD,1060,1061 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,107,Amouzesh TV (07-20 UTC),,MPEG-4/SD,1070,1071 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,108,Quran TV (Iran),,MPEG-4/SD,1080,1081 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,109,Doc TV,,MPEG-4/SD,1090,1091 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,110,Omid TV (Iran),,MPEG-4/SD,1100,1101 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,111,Pooya TV (08-14),,MPEG-4/SD,1110,1111 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,111,Nahal TV (14-19),,MPEG-4/SD,1110,1111 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,112,Namayesh TV,,MPEG-4/SD,1120,1121 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,113,Ofogh TV,,MPEG-4/SD,1130,1131 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,114,IFilm Persian,,MPEG-4/SD,1140,1141 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,115,Tamasha,,MPEG-4/SD,1150,1151 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,116,IRINN 2,,MPEG-4/SD,1160,1161 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,117,Varzesh TV,,MPEG-4/SD,1170,1171 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,118,Pooya TV (08-14),,MPEG-4/SD,1180,1181 Per,,,
11881 Htp 9GCentral Asia0,DVB-S28PSK275005/6,118,Nahal TV (14-19),,MPEG-4/SD,1180,1181 Per,,,
