Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
10721 Htp A1Europe B52,DVB-S220003/4,,IVG,,100-20000,,5.5,,M Al-TaieT Viererbe240321,https://www.lyngsat.com/providers/tr/IVG.html
10721 Htp A1Europe B52,DVB-S220003/4,1,BBC Persian,,MPEG-2/SD,101,102 Per,,,
10721 Htp A1Europe B52,DVB-S220003/4,2,Simay-Azadi Iran National TV,,MPEG-2/SD,201,202 Per,,,
10721 Htp A1Europe B52,DVB-S220003/4,9002,Channel One TV,,MPEG-4/HD,921,922 Per,,,
10721 Htp A1Europe B52,DVB-S220003/4,9006,Pars TV,,MPEG-4/SD,961,962 Per,,,
10721 Htp A1Europe B52,DVB-S220003/4,9008,Channel One TV,,MPEG-2/SD,981,982 Per,,,
10721 Htp K1Africa0,DVB-S28PSK300002/3,,Eutelsat,,126-10100,,6.6,BISS 1,Anonymous240301,https://www.lyngsat.com/providers/fr/Eutelsat.html
10721 Htp K1Africa0,DVB-S28PSK300002/3,2652,ENTV,,MPEG-4/SD,513,641 Ara,,,
10721 Htp K1Africa0,10762 Htp K3Africa0,DVB-S2QPSK300002/3,,Chinese mux,,126-10300,,3.1,VisionCrypt,Anonymous231219
10721 Htp K1Africa0,10762 Htp K3Africa0,2701,CCTV 1,,HEVC/HD,7011,7012 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2702,CCTV 2,,HEVC/HD,7021,7022 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2703,CCTV 3,,HEVC/HD,7031,7032 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2704,CCTV 4 Asia,,HEVC/HD,7041,7042 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2705,CCTV 5,,HEVC/HD,7051,7052 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2707,CCTV 5+,,HEVC/HD,7071,7072 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2708,CCTV 8,,HEVC/HD,7081,7082 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2709,CCTV 7,,HEVC/HD,7091,7092 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2710,CCTV 13,,HEVC/HD,7101,7102 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2711,Beijing TV Kaku,,HEVC/HD,7111,7112 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2713,Beijing TV,,HEVC/HD,7131,7132 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2714,Dragon TV International,,HEVC/HD,7141,7142 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2715,Hunan TV International,,HEVC/HD,7151,7152 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2716,Jiangsu Satellite TV,,HEVC/HD,7161,7162 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2717,Zhejiang Satellite TV,,HEVC/HD,7171,7172 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2718,Anhui Satellite TV,,HEVC/HD,7181,7182 Chi,VisionCrypt,,
10721 Htp K1Africa0,10762 Htp K3Africa0,2719,Liaoning TV,,HEVC/HD,7191,7192 Chi,VisionCrypt,,
