Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11727 Htp B1Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-201,,5.5,IrdetoPowerVu,M Al-Taie240215,https://www.lyngsat.com/providers/uk/NEP-Connect.html
11727 Htp B1Europe BSS0-47,DVB-S275003/4,66,Ladbrokes 1,,MPEG-2/SD,1310,1300 Eng,PowerVu,,
11727 Htp B1Europe BSS0-47,DVB-S275003/4,95,Racing TVi,,MPEG-4/SD,110,101 Eng,Irdeto,,
11727 Htp B1Europe BSS0-47,DVB-S275003/4,136,SIS Two,,MPEG-2/SD,1910,1902 Eng,PowerVu,,
11727 Htp B1Europe BSS0-47,DVB-S275003/4,160,Betfred TV 1,,MPEG-4/SD,210,201 Eng,Irdeto,,
11727 Htp B1Europe BSS0-47,DVB-S275003/4,162,Betfred TV 2,,MPEG-4/SD,310,301 Eng,Irdeto,,
11727 Htp B1Europe BSS0-47,DVB-S275003/4,163,Betfred TV 3,,MPEG-4/SD,410,401 Eng,Irdeto,,
11747 Vtp B2Europe BSS0-47,DVB-S28PSK300003/4,,SES Ukraine,,85-43,,7.9,,N Stanislav240221,https://www.lyngsat.com/providers/lu/SES-Ukraine.html
11747 Vtp B2Europe BSS0-47,DVB-S28PSK300003/4,7600,DW English,,MPEG-4/HD,1110,1120 Eng,,,
11747 Vtp B2Europe BSS0-47,DVB-S28PSK300003/4,7625,5 Kanal (Ukraine),,MPEG-4/HD,7626,7627 Ukr,,,
11747 Vtp B2Europe BSS0-47,DVB-S28PSK300003/4,7630,Radio Svoboda TV,,MPEG-4/HD,6301,6302 Ukr,,,
11747 Vtp B2Europe BSS0-47,DVB-S28PSK300003/4,7630,VoA TV Holos Ameryky,,MPEG-4/HD,6301,6302 Ukr,,,
11747 Vtp B2Europe BSS0-47,DVB-S28PSK300003/4,7640,Galychyna TV,,MPEG-4/HD,7641,7642 Ukr,,,
11747 Vtp B2Europe BSS0-47,DVB-S28PSK300003/4,7645,Rozpakuy TV,,MPEG-4/SD,7646,7647 Ukr,,,
