Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
,4510 Vtp C2C0,DVB-S28PSK20832/3,59232,TV Assembleia Paraná,,8323-177MPEG-2/SD,610,6.6 620 Por,,A Junior160718
4511 Htp C1C0,DVB-S28PSK37503/4,,Record Cabrália,,,,7.9,,Edinho fta231209,https://www.lyngsat.com/providers/br/Record-Cabralia.html
4511 Htp C1C0,DVB-S28PSK37503/4,,Record Cabrália,,MPEG-4/HD,273,274 Por,,,
4511 Htp C1C0,DVB-S28PSK37503/4,,Record Cabrália,,MPEG-4/1seg,641,643 Por,,,
4516 Htp C1C0,DVB-S28PSK37503/4,,Record Interior SP,,,,7.9,,Edinho fta231209,https://www.lyngsat.com/providers/br/Record-Interior-SP.html
4516 Htp C1C0,DVB-S28PSK37503/4,,Record Interior SP,,MPEG-4/HD,273,274 Por,,,
4516 Htp C1C0,DVB-S28PSK37503/4,,Record Interior SP,,MPEG-4/1seg,641,643 Por,,,
4521 Htp C1C0,DVB-S28PSK37303/4,,Record Rio Preto,,,,7.9,,Edinho fta231209,https://www.lyngsat.com/providers/br/Record-Rio-Preto.html
4521 Htp C1C0,DVB-S28PSK37303/4,,Record Rio Preto,,MPEG-4/HD,273,274 Por,,,
4521 Htp C1C0,DVB-S28PSK37303/4,,Record Rio Preto,,MPEG-4/1seg,641,643 Por,,,
4526 Htp C1C0,DVB-S2QPSK48002/3,,Record News,,,,3.1,,Edinho fta231209,https://www.lyngsat.com/providers/br/Record-News.html
4526 Htp C1C0,DVB-S2QPSK48002/3,59456,Record News,,MPEG-4/HD,273,274 Por,,,
4526 Htp C1C0,DVB-S2QPSK48002/3,59480,Record News,,MPEG-4/1seg,641,643 Por,,,
4531 Htp C1C0,DVB-S28PSK37503/4,,Record Paulista,,,,7.9,,Edinho fta231209,https://www.lyngsat.com/providers/br/Record-Paulista.html
4531 Htp C1C0,DVB-S28PSK37503/4,,Record Paulista,,MPEG-4/HD,273,274 Por,,,
4531 Htp C1C0,DVB-S28PSK37503/4,,Record Paulista,,MPEG-4/1seg,641,643 Por,,,
