Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
1001,3809 Htp 6C0,DVB-S28PSK108903/5,,,,,,5.5,,D Dragos190505
1001,3809 Htp 6C0,,Imagen TV,,MPEG-4/HD,33,34 Spa,,,
1001,3809 Htp 6C0,4,Excélsior TV,,MPEG-2/SD,481,482 Spa,,,
1001,3861 Htp 8C0,DVB-S28PSK65225/6,1,TV Tabasqueña,,?-?MPEG-2/HD,49,9.4  51 Spa,,A Ishchenko230416
1001,3913 Htp 10C0,DVB-S28PSK84003/5,1,Imagen Informativa,,?-?MPEG-2/HD,481,5.5 482 Spa,,D Dragos210807
1001,4009 Vtp 15C0,DVB-S28PSK150005/6,1,The CW,,?-?MPEG-4/HD,162,9.4 163 Eng,,J Klingerman230216
1001,4027 Vtp 17C,DVB-S61113/4,,(feeds),,,,,,Mike 4230116
1001,4032 Htp 16C0,DVB-S28PSK96005/6,,,,,,9.4,PowerVu,Mike 4230829
1001,4032 Htp 16C0,496,CBC Toronto,,MPEG-4/HD,499,500 Eng,PowerVu,,
1001,4032 Htp 16C0,1472,Ici Radio Canada Télé Montréal,,MPEG-4/HD,1475,1476 Fre,PowerVu,,
1001,4032 Htp 16C0,1776,Télé-Québec,,MPEG-4/HD,1779,1780 Fre,PowerVu,,
1001,4052 Htp 18C0,,,,,,,,,ML240102
1001,4056 Vtp 17C0,,,,,,,,,ML240102
1001,4064 Htp 18C,DVB-S28PSK41663/4,,(Warner Bros feeds),,,,,,Mike 4221215
1001,4080 Vtp 19C,DVB-S216APSK342862/3,,(CBS feeds),,,,,,Mike 4220825
1001,4120 Vtp 21C,DVB-S28PSK300005/6,,(ABC feeds),,,,,,Rick101028
4140 Htp 22C0,DVB-S216APSK342865/6,,Televisa,,,,,Director,NOS482230507,https://www.lyngsat.com/providers/mx/Televisa.html
4140 Htp 22C0,DVB-S216APSK342865/6,1,Las Estrellas México,,HEVC/HD,2001,4011 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,2,Canal 5,,HEVC/HD,2002,4021 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,3,Nu9ve,,HEVC/HD,2003,4031 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,4,Las Estrellas México +1,,HEVC/HD,2004,4041 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,5,Las Estrellas México +2,,HEVC/HD,2005,4051 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,6,Canal 5 +1,,HEVC/HD,2006,4062 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,7,Canal 5 +2,,HEVC/HD,2007,4072 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,8,Nu9ve +1,,HEVC/HD,2008,4082 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,9,Nu9ve +2,,HEVC/HD,2009,4092 Spa,Director,,
4140 Htp 22C0,DVB-S216APSK342865/6,10,Foro TV (Mexico),,HEVC/HD,2010,4102 Spa,Director,,
11842 Htp 6Ku0,DVB-S220003/4,,SES,,1-220,,5.5,,Cyberham240306,https://www.lyngsat.com/providers/lu/SES.html
11842 Htp 6Ku0,DVB-S220003/4,1,Hope Channel North America,,MPEG-2/SD,2201,3201 Eng4201 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,2,Daystar TV,,MPEG-2/SD,2002,3002 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,5,The Word Network,,MPEG-2/SD,46,45 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,8,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),,MPEG-2/SD,2008,3008 Hun,,,
11842 Htp 6Ku0,DVB-S220003/4,8,M4 Sport + (Sat-Sun 14-22),,MPEG-2/SD,2008,3008 Hun,,,
11842 Htp 6Ku0,DVB-S220003/4,11,LLBN His Word,,MPEG-2/SD,2011,3011 Eng4011 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,12,Esperanza TV,,MPEG-2/SD,2202,3202 Spa,,,
11842 Htp 6Ku0,DVB-S220003/4,16,TVGE Internacional,,MPEG-2/SD,2016,3016 Spa,,,
11842 Htp 6Ku0,DVB-S220003/4,17,TVR International,,MPEG-2/SD,2017,3017 Rum,,,
11842 Htp 6Ku0,DVB-S220003/4,75,Quo Vadis TV,,MPEG-2/SD,2075,3075 Eng4075 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,3,CityLife Radio,,,,3003 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,7,KNLB,,,,3007 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,9,Duna World Rádió,,,,3009 Hun,,,
11842 Htp 6Ku0,DVB-S220003/4,15,The Overcomer,,,,3015 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,26,Radio Libertad,,,,3026,,,
11842 Htp 6Ku0,DVB-S220003/4,112,LifeTalk Radio,,,,3112 Eng,,,
11842 Htp 6Ku0,DVB-S220003/4,113,LifeTalk Translator,,,,3113 Eng,,,
11842 Htp 6Ku0,11930 Vtp 11Ku,DVB-S2640,,(feeds),,,,,,J Newark 2230701
11842 Htp 6Ku0,11940 Vtp 11Ku,DVB-S2640,,(feeds),,,,,,J Newark 2230701
11842 Htp 6Ku0,11960 Vtp 13Ku0,,,,,,,,,Cyberham240306
11966 Htp 14Ku0,DVB-S216005/6,,Saba World,,,,6.5,,I Skaini240128,https://www.lyngsat.com/providers/lb/Saba-World.html
11966 Htp 14Ku0,DVB-S216005/6,,Al Rabiaa TV,,MPEG-4/HD,49,50 Ara,,,
11966 Htp 14Ku0,DVB-S216005/6,,Al-Mohtadi HD,,MPEG-4/HD,1000,2000 Ara,,,
11966 Htp 14Ku0,DVB-S216005/6,,Jam Jam Global Network 2,,MPEG-4/HD,1220,1221 Per,,,
11966 Htp 14Ku0,DVB-S216005/6,,Press TV,,MPEG-4/HD,1310,1311 Eng,,,
11966 Htp 14Ku0,DVB-S216005/6,,Hispan TV,,MPEG-4/SD,1320,1321 Spa,,,
11966 Htp 14Ku0,DVB-S216005/6,,IFilm English,,MPEG-4/SD,1330,1331,,,
11966 Htp 14Ku0,DVB-S216005/6,829,Channel 8,,MPEG-4/HD,52,53 Kur,,,
11966 Htp 14Ku0,11987 Vtp 15Ku0,DVB-S3977,,,,,,,,J Newark 2230701
11966 Htp 14Ku0,11993 Htp 16Ku,DVB-S132353/4,,(Texas Lottery feeds),,,,,,ML240301
12028 Htp 18Ku0,DVB-S28PSK220003/4,,STN,,20480-600,,7.9,,Cyberham240306,https://www.lyngsat.com/providers/si/STN.html
12028 Htp 18Ku0,DVB-S28PSK220003/4,7790,TRT Türk,,MPEG-2/SD,7200,7300 Tur,,,
12028 Htp 18Ku0,DVB-S28PSK220003/4,7791,Supreme Master TV,,MPEG-2/SD,7201,7301 Eng,,,
