Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11988 Htp 26North America,4038 Htp 9Hemi0,DVB-S1600,1,Ecuavisa Quito,,?-?MPEG-2/SD,101,256 Spa,BISSDirector,NOS482240203
11988 Htp 26North America,4109 Htp 11Hemi0,DVB-S28PSK96003/4,,,,,,7.9,,J Figueroa221130
11988 Htp 26North America,4109 Htp 11Hemi0,8,Once México,,MPEG-4/HD,319,311 Spa,,,
11988 Htp 26North America,4109 Htp 11Hemi0,9,Once niñas y niños,,MPEG-4/SD,49,51 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,Grupo Radio Centro,,,,,,R Chavez231024,https://www.lyngsat.com/providers/mx/Grupo-Radio-Centro.html
4118 Htp 11Hemi0,DVB-S1550,,Universal Guadalajara,,,,80 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,Universal Monterrey,,,,80 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,Alfa 91.3 FM,,,,83 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,El Fonógrafo 690 FM,,,,84 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,Radio Centro 1030 AM,,,,84 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,Radio Red 1110 AM,,,,85 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,La Z 107.3 FM,,,,90 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,Joya 93.7 FM,,,,91 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,Universal 88.1 FM,,,,92 Spa,,,
4118 Htp 11Hemi0,DVB-S1550,,Universal Stereo Online,,,,93 Spa,,,
4124 Htp 11Hemi0,DVB-S28PSK36093/4,,Canal 10 Chiapas,,,,7.9,,R Chavez231018,https://www.lyngsat.com/providers/mx/Canal-10-Chiapas.html
4124 Htp 11Hemi0,DVB-S28PSK36093/4,,Canal 10 Chiapas,,MPEG-4/HD,257,258 Spa,,,
4124 Htp 11Hemi0,DVB-S28PSK36093/4,,Prende y Aprende,,MPEG-4/HD,261,262 Spa,,,
4124 Htp 11Hemi0,4132 Vtp 12Hemi0,DVB-S2QPSK64003/4,,Justicia TV (Mexico),,MPEG-4/HD,512,4.04112 Spa,,R Chavez231018
4141 Vtp 12Hemi0,DVB-S2QPSK66663/4,,Canal del Congreso 45.1,,,,4.0,,R Chavez231018,https://www.lyngsat.com/providers/mx/Canal-del-Congreso-451.html
4141 Vtp 12Hemi0,DVB-S2QPSK66663/4,,Canal del Congreso 45.1,,MPEG-4/HD,49,51 Spa,,,
4141 Vtp 12Hemi0,DVB-S2QPSK66663/4,,Canal del Congreso 45.1,,MPEG-4/SD,65,67 Spa,,,
4141 Vtp 12Hemi0,4155 Vtp 12Hemi0,DVB-S28PSK144003/4,,,,,,7.9,,R Chavez231018
4141 Vtp 12Hemi0,4155 Vtp 12Hemi0,1,Canal Catorce,,MPEG-2/HD,49,51 Spa,,,
4141 Vtp 12Hemi0,4155 Vtp 12Hemi0,2,Canal 22 Nacional,,MPEG-2/SD,65,67 Spa,,,
4141 Vtp 12Hemi0,4155 Vtp 12Hemi0,3,TV UNAM,,MPEG-2/SD,81,83 Spa,,,
4141 Vtp 12Hemi0,4155 Vtp 12Hemi0,4,Once México,,MPEG-2/SD,97,102 Spa,,,
4141 Vtp 12Hemi0,4155 Vtp 12Hemi0,5,(feeds),,,113,115,,,
4141 Vtp 12Hemi0,4155 Vtp 12Hemi0,9,Canal Catorce,,MPEG-4/HD,161,163 Spa,,,
4141 Vtp 12Hemi0,4172 Vtp 12Hemi0,DVB-S28PSK133303/4,,,,,,7.9,,R Chavez231018
4141 Vtp 12Hemi0,4172 Vtp 12Hemi0,1,Canal 22 Nacional,,MPEG-4/HD,49,51 Spa,,,
4141 Vtp 12Hemi0,4172 Vtp 12Hemi0,2,Canal 22.2,,MPEG-4/HD,65,67 Spa,,,
4141 Vtp 12Hemi0,4172 Vtp 12Hemi0,4,Canal 22 Internacional,,MPEG-4/HD,97,99 Spa,,,
4141 Vtp 12Hemi0,11968 Htp 26North America,,,,,,,,,Cyberham240306
4141 Vtp 12Hemi0,11978 Htp 26North America,DVB-S28PSK82005/6,,(CBC feeds),,,,,,Cyberham240307
4141 Vtp 12Hemi0,11988 Htp 26North America,DVB-S28PSK82005/6,,(CBC feeds),,,,,,Cyberham240307
