Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
4030 Vtp 8BNorth America C0,DVB-S2QPSK150003/4,,CTV,,,,4.0,,D Dennett221010,https://www.lyngsat.com/providers/ca/CTV.html
4030 Vtp 8BNorth America C0,DVB-S2QPSK150003/4,1,CTV British Columbia,,MPEG-4/HD,4097,4098 Eng,,,
4030 Vtp 8BNorth America C0,DVB-S2QPSK150003/4,2,CTV 2 Vancouver Island,,MPEG-4/HD,1793,1794 Eng,,,
4030 Vtp 8BNorth America C0,DVB-S2QPSK150003/4,3,(CTV feeds),,,2049,2050,,,
4030 Vtp 8BNorth America C0,4096 Vtp 10BNorth America C0,DVB-S238003/4,,,,3-301,,5.5,,ML240102
4030 Vtp 8BNorth America C0,4096 Vtp 10BNorth America C0,2,[test card],,MPEG-2/SD,110,,,,
4030 Vtp 8BNorth America C0,4096 Vtp 10BNorth America C0,500,Legislative Assembly TV Nunavut,,MPEG-2/SD,200,201 Eng,,,
4030 Vtp 8BNorth America C0,4096 Vtp 10BNorth America C0,510,Canal M (Canada),,,,152 Fre,,,
4030 Vtp 8BNorth America C0,4096 Vtp 10BNorth America C0,520,Radio France Internationale,,,,240 Fre,,,
4030 Vtp 8BNorth America C0,4116 Vtp 10BNorth America C0,DVB-S2QPSK33994/5,,Legislative Assembly of Ontario,,MPEG-4/HD,95,4.7 200 Eng201 Fre,,J Walsh210911
4030 Vtp 8BNorth America C0,4144 Vtp 11BNorth America C0,DVB-S210001/2,,,,0-1148,,2.7,Digicipher,J-G Belanger210709
4030 Vtp 8BNorth America C0,4144 Vtp 11BNorth America C0,901,APTN E,,MPEG-4/SD,101,102 Eng,Digicipher,,
4030 Vtp 8BNorth America C0,4144 Vtp 11BNorth America C0,902,APTN W,,MPEG-4/SD,111,112 Eng,Digicipher,,
4030 Vtp 8BNorth America C0,4144 Vtp 11BNorth America C0,903,APTN N,,MPEG-4/SD,121,122 Eng,Digicipher,,
4030 Vtp 8BNorth America C0,4144 Vtp 11BNorth America C0,904,Legislative Assembly of Ontario,,MPEG-4/SD,131,132 Eng,Digicipher,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,,Educational Media Foundation,,1-1,,5.5,,J-G Belanger210527,https://www.lyngsat.com/providers/us/Educational-Media-Foundation.html
4196 Vtp 12BNorth America C0,DVB-S28003/4,1,Radio Nueva Vida,,,,4213 Spa,,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,2,K-Love,,,,4181 Eng,,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,3,Air 1 Worship Now,,,,4197 Eng,,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,13,K-Love 90s,,,,4177 Eng,,,
4196 Vtp 12BNorth America C0,DVB-S28003/4,21,K-Love 2000s,,,,4183 Eng,,,
4196 Vtp 12BNorth America C0,11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220
4196 Vtp 12BNorth America C0,11728 Ltp 2North America Ku0,DVB-S200003/4,,Dish USA,,4097-702,,5.5,Nagravision,T Viererbe240106
4196 Vtp 12BNorth America C0,11745 Rtp 3North America Ku0,DVB-S200003/4,,Dish USA,,4097-703,,5.5,Nagravision,NK210419
4196 Vtp 12BNorth America C0,11758 Ltp 4North America Ku0,DVB-S200003/4,,Dish USA,,4097-704,,5.5,Nagravision,NK210420
4196 Vtp 12BNorth America C0,11776 Rtp 5North America Ku0,DVB-S200003/4,,Dish USA,,4097-705,,5.5,Nagravision,NK210420
4196 Vtp 12BNorth America C0,11789 Ltp 6North America Ku0,DVB-S200003/4,,Dish USA,,4097-706,,5.5,Nagravision,NK211021
4196 Vtp 12BNorth America C0,11806 Rtp 7North America Ku0,DVB-S200003/4,,Dish USA,,4097-707,,5.5,Nagravision,Cyberham240306
4196 Vtp 12BNorth America C0,11819 Ltp 8North America Ku0,DVB-S200003/4,,Dish USA,,4097-708,,5.5,Nagravision,NK211021
4196 Vtp 12BNorth America C0,11837 Rtp 9North America Ku0,DVB-S200003/4,,Dish USA,,4097-709,,5.5,Nagravision,NK210420
4196 Vtp 12BNorth America C0,11850 Ltp 10North America Ku0,DVB-S200003/4,,Dish USA,,4097-710,,5.5,Nagravision,NK210420
4196 Vtp 12BNorth America C0,11867 Rtp 11North America Ku0,DVB-S200003/4,,Dish USA,,4097-711,,5.5,Nagravision,NK210420
4196 Vtp 12BNorth America C0,11880 Ltp 12North America Ku0,DVB-S200003/4,,Dish USA,,4097-712,,5.5,Nagravision,NK211021
4196 Vtp 12BNorth America C0,11898 Rtp 13North America Ku0,DVB-S200003/4,,Dish USA,,4097-713,,5.5,Nagravision,Cyberham240306
4196 Vtp 12BNorth America C0,11911 Ltp 14North America Ku0,DVB-S200003/4,,Dish USA,,4097-714,,5.5,Nagravision,NK211022
4196 Vtp 12BNorth America C0,11928 Rtp 15North America Ku0,DVB-S200003/4,,Dish USA,,4097-715,,5.5,Nagravision,NK190319
4196 Vtp 12BNorth America C0,11941 Ltp 16North America Ku0,DVB-S200003/4,,Dish USA,,4097-716,,5.5,Nagravision,NK210617
4196 Vtp 12BNorth America C0,11959 Rtp 17North America Ku0,DVB-S200003/4,,Dish USA,,4097-717,,5.5,Nagravision,NK210419
4196 Vtp 12BNorth America C0,11972 Ltp 18North America Ku0,DVB-S200003/4,,Dish USA,,4097-718,,5.5,Nagravision,NK210419
4196 Vtp 12BNorth America C0,11989 Rtp 19North America Ku0,DVB-S200003/4,,Dish USA,,4097-719,,5.5,Nagravision,NK210419
4196 Vtp 12BNorth America C0,12002 Ltp 20North America Ku0,DVB-S200003/4,,Dish USA,,4097-720,,5.5,Nagravision,NK211021
4196 Vtp 12BNorth America C0,12020 Rtp 21North America Ku0,DVB-S200003/4,,Dish USA,,4097-721,,5.5,Nagravision,NK211021
4196 Vtp 12BNorth America C0,12033 Ltp 22North America Ku0,DVB-S200003/4,,Dish USA,,4097-722,,5.5,Nagravision,NK211021
4196 Vtp 12BNorth America C0,12050 Rtp 23North America Ku0,DVB-S200003/4,,Dish USA,,4097-723,,5.5,Nagravision,NK210419
4196 Vtp 12BNorth America C0,12063 Ltp 24North America Ku0,DVB-S200003/4,,Dish USA,,4097-724,,5.5,Nagravision,B Eckart230713
4196 Vtp 12BNorth America C0,12081 Rtp 25North America Ku0,DVB-S200003/4,,Dish USA,,4097-725,,5.5,Nagravision,NK210424
4196 Vtp 12BNorth America C0,12094 Ltp 26North America Ku0,DVB-S200003/4,,Dish USA,,4097-726,,5.5,Nagravision,NK211021
4196 Vtp 12BNorth America C0,12111 Rtp 27North America Ku0,DVB-S200003/4,,Dish USA,,4097-727,,5.5,Nagravision,NK210419
4196 Vtp 12BNorth America C0,12124 Ltp 28North America Ku0,DVB-S200003/4,,Dish USA,,4097-728,,5.5,Nagravision,NK210419
4196 Vtp 12BNorth America C0,12142 Rtp 29North America Ku0,DVB-S200003/4,,Dish USA,,4097-729,,5.5,Nagravision,M Al-Taie230920
4196 Vtp 12BNorth America C0,12155 Ltp 30North America Ku0,DVB-S200003/4,,Dish USA,,4097-730,,5.5,Nagravision,NK210617
4196 Vtp 12BNorth America C0,12172 Rtp 31North America Ku0,DVB-S200003/4,,Dish USA,,4097-731,,5.5,Nagravision,NK210419
4196 Vtp 12BNorth America C0,12185 Ltp 32North America Ku0,DVB-S200003/4,,Dish USA,,4097-732,,5.5,Nagravision,NK211021
