Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
38,4056 Htp 18North America,DVB-S132503/4,,Alaskan mux,,1-101,,5.5,,D Rempfer210906
38,4056 Htp 18North America,1,ARCS,,MPEG-2/SD,110,100 Eng,,,
38,4056 Htp 18North America,2,KTOO 360 TV,,MPEG-2/SD,210,200 Eng,,,
38,4056 Htp 18North America,4,KAKM-TV (PBS - Anchorage),,MPEG-2/SD,410,400 Eng,,,
38,4056 Htp 18North America,12,University of Alaska TV,,MPEG-2/SD,310,300 Eng,,,
38,4056 Htp 18North America,31,KUCB,,,,1120 Eng,,,
38,4056 Htp 18North America,32,KUAC FM,,,,1122 Eng,,,
38,4056 Htp 18North America,33,KOTZ Radio 720 AM,,,,1124 Eng,,,
38,4056 Htp 18North America,34,KCAW-FM,,,,1126 Eng,,,
38,4056 Htp 18North America,35,Alaska Public Radio Network,,,,1128 Eng,,,
38,4056 Htp 18North America,36,KSKA-FM,,,,1130 Eng,,,
38,4056 Htp 18North America,37,KMXT,,,,1132 Eng,,,
38,4056 Htp 18North America,38,KSDP 830 AM,,,,1134 Eng,,,
