Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,,American Forces Network,,,,6.6,PowerVuVerimatrix,C Sutton231124,https://www.lyngsat.com/providers/us/American-Forces-Network.html
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,2,AFN Prime Atlantic,,MPEG-4/HD,1260,1220 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,3,AFN News,,MPEG-4/HD,1560,1522 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,4,AFN Sports,,MPEG-4/HD,1160,1120 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,5,AFN Prime Pacific,,MPEG-4/HD,1460,1422 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,6,AFN Spectrum,,MPEG-4/HD,1360,1320 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,7,AFN Sports 2,,MPEG-4/HD,1660,1622 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,8,AFN Family,,MPEG-4/HD,1960,1920 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,9,AFN Movie,,MPEG-4/HD,1060,1020 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,401,AFN Guide,,MPEG-2/SD,1760,1720 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,402,[test card],,MPEG-4/SD,1860,1820,,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,20,AFN The Eagle Japan,,,,1732 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,21,AFN The Voice,,,,11.2 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,22,AFN PowerTalk,,,,1222 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,23,AFN Clutch,,,,1322 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,24,AFN Fans,,,,1424 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,25,AFN The Blend,,,,1524 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,26,AFN Legacy,,,,1624 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,27,AFN's Joe Radio,,,,1722 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,28,AFN Gravity,,,,1822 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,29,AFN Country,,,,1922 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,30,NPR AFN,,,,1202 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,31,AFN Seasonal,,,,1022 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,32,AFN Contingency,,,,1102 Eng,PowerVuVerimatrix,,
3753 Rtp NH1CNorth hemi,DVB-S28PSK300002/3,33,AFN Freedom Rock,,,,1932 Eng,PowerVuVerimatrix,,
