Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
10910 Vtp 4BKu0,3410 VC0,DVB-S2QPSK32003/4,1,LNTV 1,,4660-1MPEG-4/SD,257,4.0 310 Lao,,Albert I231101
10910 Vtp 4BKu0,3410 VC0,2,Lao National Radio 567 AM,,,,400 Lao,,,
10910 Vtp 4BKu0,3410 VC0,2,Lao National Radio FM 1,,,,400 Lao,,,
10910 Vtp 4BKu0,3414 VC0,DVB-S2QPSK32003/4,1,LNTV 3,,65535-1MPEG-4/HD,33,4.0  .4 Lao,,Albert I200706
10910 Vtp 4BKu0,3419 VC0,DVB-S28PSK12002/3,257,BTV Business,,?-?MPEG-4/SD,256,6.6 512 Nep,,Albert I230903
10910 Vtp 4BKu0,3424 VC0,DVB-S2QPSK15003/4,1,Sagarmatha TV,,65535-1MPEG-4/SD,101,4.0 256 Nep,,A Zapara200229
10910 Vtp 4BKu0,3427 VC0,DVB-S28PSK48002/3,1003,ABC News (Nepal),,0-0MPEG-4/HD,36,6.6  37 Nep,,Albert I230127
10910 Vtp 4BKu0,3432 VC0,DVB-S2QPSK24003/4,1,Prime TV (Nepal),,?-?MPEG-4/HD,33,4.0  34 Nep,,Albert I210514
10910 Vtp 4BKu0,3437 VC0,DVB-S28PSK56003/4,,Nepalese mux,,,,7.9,,Albert I220213
10910 Vtp 4BKu0,3437 VC0,1000,Mountain TV (Nepal),,MPEG-4/HD,1001,1002 Nep,,,
10910 Vtp 4BKu0,3437 VC0,2000,Business Plus (Nepal),,MPEG-4/HD,2001,2002 Nep,,,
10910 Vtp 4BKu0,3437 VC0,3000,Bhakti Darshan TV,,MPEG-4/HD,3001,3002 Nep,,,
10910 Vtp 4BKu0,3446 VC0,DVB-S2QPSK36003/4,1,Lao Star,,?-?MPEG-4/HD,300,4.0 400 Lao,,C Sutton210916
10910 Vtp 4BKu0,3478 VC0,DVB-S2QPSK32002/3,1,Lao Public Security TV,,?-?MPEG-4/SD,513,3.14113 Lao,,Albert I220817
10910 Vtp 4BKu0,3478 VC0,3,Lao Security Radio,,,,4112 Lao,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,,MWD Digital TV,,1-1,,6.6,,Albert I230829,https://www.lyngsat.com/providers/mm/MWD-Digital-TV.html
3576 Vtp 5BC0,DVB-S28PSK216002/3,1,MWD Variety,,MPEG-4/HD,49,51 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,2,TVM (Myanmar),,MPEG-4/HD,65,67 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,3,MWD Education Knowledge & Sports,,MPEG-4/HD,81,83 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,4,MWD,,MPEG-4/HD,97,99 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,5,Channel Light,,MPEG-4/HD,113,1.5 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,6,Golden Land,,MPEG-4/HD,129,131 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,7,WAF,,MPEG-4/HD,145,147 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,9,[Star FM Radio info card],,MPEG-4/SD,177,178 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,8,Thazin FM Radio,,,,32 Bur,,,
3576 Vtp 5BC0,DVB-S28PSK216002/3,9,Star FM Radio,,,,178 Bur,,,
3576 Vtp 5BC0,3591 Vtp 5BC0,DVB-S28PSK32003/5,1,MWD,,8192-4096MPEG-4/HD,512,5.54112 Bur,,Albert I230903
3576 Vtp 5BC0,3632 Vtp 6BC0,DVB-S28PSK24002/3,1000,TV Today (Nepal),,?-?MPEG-4/HD,1001,6.61002 Nep,,Albert I230625
3576 Vtp 5BC0,3637 Vtp 6BC0,DVB-S28PSK48002/3,1,Galaxy 4K,,?-?MPEG-4/HD,33,6.6  34 Nep,,C Sutton211019
3576 Vtp 5BC0,3647 Htp 7AC0,DVB-S2QPSK32003/4,1,LATV (Laos),,?-?MPEG-4/HD,4113,4.04352 Lao,,Albert I191224
3576 Vtp 5BC0,3647 Htp 7AC0,10,LATV FM,,,,80 Lao,,,
3576 Vtp 5BC0,3650 Htp 7AC0,DVB-S2QPSK31003/4,1,VTE 9,,?-0MPEG-4/HD,4112,4.04114 Lao,,Albert I200905
3651 Vtp 7BC0,DVB-S28PSK120002/3,,LaoSat,,65281-1,,6.6,,Albert I240318,https://www.lyngsat.com/providers/la/LaoSat.html
3651 Vtp 7BC0,DVB-S28PSK120002/3,2,Sananda,,MPEG-4/HD,101,102 Ben,,,
3651 Vtp 7BC0,DVB-S28PSK120002/3,4,Filmy Bangla TV,,MPEG-4/HD,104,105 Ben,,,
3651 Vtp 7BC0,DVB-S28PSK120002/3,5,Goldmines Bangla,,MPEG-4/HD,107,108 Ben,,,
3651 Vtp 7BC0,DVB-S28PSK120002/3,6,Tara Bangla Cinema,,MPEG-4/HD,110,111 Ben,,,
3651 Vtp 7BC0,DVB-S28PSK120002/3,8,K21 News,,MPEG-4/SD,119,120 Urd,,,
3651 Vtp 7BC0,DVB-S28PSK120002/3,11,Sun Bangla Cinema,,MPEG-4/HD,116,117 Ben,,,
3651 Vtp 7BC0,DVB-S28PSK120002/3,12,Channel 4 Nepal,,MPEG-4/SD,113,114 Nep,,new,
3651 Vtp 7BC0,3653 Htp 7AC0,DVB-S2QPSK24003/4,1,Luang Prabang TV,,?-?MPEG-4/SD,512,4.04113 Lao,,Albert I220303
3651 Vtp 7BC0,3653 Htp 7AC0,2,Luang Prabang Radio,,,,4112 Lao,,,
3651 Vtp 7BC0,3656 Htp 7AC0,DVB-S2QPSK23003/4,1,Champasack TV,,?-?MPEG-4/SD,513,4.04113 Lao,,Albert I220422
3651 Vtp 7BC0,10730 Vtp 1BKu0,DVB-S2QPSK400004/5,,LaoSat TV,,,,4.7,StreamGuardTopwellUnitend,Josh200803
3651 Vtp 7BC0,10790 Htp 2AKu0,DVB-S28PSK450003/4,,LaoSat TV,,,,7.9,StreamGuardTopwellUnitend,NHMPlay220514
3651 Vtp 7BC0,10790 Htp 2AKu0,296,TVK,,MPEG-4/HD,2962,2963 Khm,,,
3651 Vtp 7BC0,10790 Htp 2AKu0,411,My TV (Cambodia),,MPEG-4/HD,4122,4123 Khm,,,
3651 Vtp 7BC0,10790 Htp 2AKu0,412,CNC,,MPEG-4/SD,4152,4153 Khm,,,
3651 Vtp 7BC0,10790 Htp 2AKu0,427,Fresh News,,MPEG-4/HD,4282,4283 Khm,,,
3651 Vtp 7BC0,10790 Htp 2AKu0,437,TVK 2,,MPEG-4/SD,4372,4373 Khm,,,
3651 Vtp 7BC0,10790 Vtp 2BKu0,DVB-S28PSK400003/4,,LaoSat TV,,,,7.9,StreamGuardTopwellUnitend,TTN Live240105
3651 Vtp 7BC0,10850 Htp 3AKu0,DVB-S2QPSK400003/4,,LaoSat TV,,,,4.0,StreamGuardTopwellUnitend,NHMPlay220514
3651 Vtp 7BC0,10850 Vtp 3BKu0,DVB-S2QPSK450004/5,,LaoSat TV,,,,4.7,StreamGuardTopwellUnitend,NHMPlay220513
3651 Vtp 7BC0,10910 Htp 4AKu0,DVB-S2QPSK450004/5,,LaoSat TV,,,,4.7,StreamGuardTopwellUnitend,Albert I220831
3651 Vtp 7BC0,10910 Vtp 4BKu0,DVB-S28PSK450003/4,,LaoSat TV,,,,7.9,StreamGuardTopwellUnitend,NHMPlay220518
