Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3,11493 V,DVB-S28PSK432005/6,,Ddish TV,,511-2,,9.4,NagravisionTongfang,Anonymous200904
3,11493 V,1001,MNB,,MPEG-4/HD,1001,1002 Mon,,,
3,11493 V,1036,BBS TV (Mongolia),,MPEG-4/SD,4220,4217 Mon,,,
3,11553 V,DVB-S28PSK432005/6,,Ddish TV,,,,9.4,NagravisionTongfang,Albert I230930
3,11613 V,DVB-S28PSK432005/6,,Ddish TV,,511-3,,9.4,NagravisionTongfang,Albert I230930
3,11654 V,DVB-S28PSK140003/5,,Ddish TV,,512-4,,5.5,NagravisionTongfang,Anonymous200904
3,12270 VNE Asia0,DVB-S28PSK300003/4,,G Sat,,,,7.9,Conax,Albert I230930
3,12303 HSouth Asia,DVB-S28PSK10203/5,,(feeds),,,,,,N Stanislav211018
3,12306 HSouth Asia,DVB-S28PSK11005/6,,(feeds),,,,,,N Stanislav211018
3,12310 VNE Asia0,DVB-S28PSK300003/4,,G Sat,,,,7.9,Conax,Albert I240201
3,12310 VNE Asia0,1,G Sat promo,,MPEG-4/SD,1001,1002 Tgl,,,
3,12310 VNE Asia0,2,One Media Network,,MPEG-4/SD,1006,1007 Eng,,,
3,12311 HSouth Asia,DVB-S2QPSK10005/6,,(feeds),,,,,,N Stanislav211018
3,12312 HSouth Asia,DVB-S2QPSK10305/6,,(feeds),,,,,,N Stanislav211018
3,12315 HSouth Asia,DVB-S28PSK10605/6,,(feeds),,,,,,N Stanislav211028
3,12317 HSouth Asia,DVB-S28PSK20003/4,,(feeds),,,,,,N Stanislav211104
3,12354 HNE Asia,DVB-S33335/6,,(LG feeds),,,,,BISS,T Kameda180201
3,12359 HNE Asia,DVB-S216APSK44003/4,,(MBN feeds),,,,,,T Kameda180127
3,12383 HNE Asia,DVB-S28PSK45005/6,,(feeds),,,,,BISS,T Kameda191213
12470 VNE Asia0,DVB-S28PSK300002/3,,American Forces Network,,,,6.6,PowerVuVerimatrix,Anonymous220801,https://www.lyngsat.com/providers/us/American-Forces-Network.html
12470 VNE Asia0,DVB-S28PSK300002/3,2,AFN Prime Atlantic,,MPEG-4/HD,1260,1220 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,3,AFN News,,MPEG-4/HD,1560,1520 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,4,AFN Sports,,MPEG-4/HD,1160,1120 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,5,AFN Prime Pacific,,MPEG-4/HD,1460,1422 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,6,AFN Spectrum,,MPEG-4/HD,1360,1320 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,7,AFN Sports 2,,MPEG-4/HD,1660,1622 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,8,AFN Family,,MPEG-4/HD,1960,1920 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,9,AFN Movie,,MPEG-4/HD,1060,1020 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,401,[test card],,MPEG-2/SD,1760,.720,,,
12470 VNE Asia0,DVB-S28PSK300002/3,402,[American Forces Network test card],,MPEG-4/HD,1860,1820,,,
12470 VNE Asia0,DVB-S28PSK300002/3,20,AFN The Eagle Pacific,,,,1732 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,21,AFN The Voice,,,,1122 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,22,AFN PowerTalk,,,,1222 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,23,AFN Clutch,,,,1322 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,24,AFN Fans,,,,1424 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,25,AFN The Blend,,,,1524 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,26,AFN Legacy,,,,1624 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,27,AFN's Joe Radio,,,,1722 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,28,AFN Gravity,,,,1822 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,29,AFN Country,,,,1922 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,30,NPR AFN,,,,1202 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,31,AFN Seasonal,,,,1022 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,32,AFN Contingency,,,,1102 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,33,AFN Freedom Rock,,,,1932 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,35,AFN The Eagle Iwakuni,,,,1132 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,36,AFN The Eagle Daegu,,,,1432 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,37,AFN The Eagle Humphreys,,,,1232 Eng,PowerVuVerimatrix,,
12470 VNE Asia0,DVB-S28PSK300002/3,38,AFN The Eagle Kunsan,,,,1332 Eng,PowerVuVerimatrix,,
