Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11232 V,DVB-S28PSK44445/6,,BBS,,,,9.4,,VU3PGD230528,https://www.lyngsat.com/providers/bt/BBS.html
11232 V,DVB-S28PSK44445/6,1,BBS TV (Bhutan),,MPEG-4/SD,102,103,,,
11232 V,DVB-S28PSK44445/6,2,BBS Channel 2,,MPEG-4/SD,202,203,,,
11232 V,DVB-S28PSK44445/6,3,[BBS Radio test card],,MPEG-4/SD,302,303,,,
11232 V,DVB-S28PSK44445/6,4,[BBS Radio test card],,MPEG-4/SD,402,403,,,
11232 V,DVB-S28PSK44445/6,5,[Kuzoo FM 104 test card],,MPEG-4/SD,502,503,,,
11232 V,DVB-S28PSK44445/6,6,[Kuzoo FM 105 test card],,MPEG-4/SD,602,603 Eng,,,
11232 V,DVB-S28PSK44445/6,7,BBS Channel 3,,MPEG-4/HD,702,703,,,
11232 V,DVB-S28PSK44445/6,3,BBS Radio 1,,,,303,,,
11232 V,DVB-S28PSK44445/6,4,BBS Radio 2,,,,403,,,
11232 V,DVB-S28PSK44445/6,5,Kuzoo FM 104,,,,503,,,
11232 V,DVB-S28PSK44445/6,6,Kuzoo FM 105,,,,603 Eng,,,
11232 V,11293 V,DVB-S2QPSK90003/4,,,,,,4.0,,N Stanislav220811
11232 V,11293 V,1,BBS Channel 2,,MPEG-4/SD,801,8.2,,,
11232 V,11293 V,3,[BBS Radio test card],,MPEG-4/SD,1006,102,,,
11232 V,11293 V,4,News 18 India,,MPEG-4/SD,1004,302 Hin,,,
11232 V,11293 V,6,Velayat TV Network,,MPEG-4/SD,201,202 Per,,,
11232 V,11293 V,3,BBS Radio 1,,,,102,,,
11232 V,11326 V,DVB-S2QPSK90003/4,,,,,,4.0,,N Stanislav220811
11232 V,11326 V,1,BBS Channel 2,,MPEG-4/SD,801,802,,,
11232 V,11326 V,3,[BBS Radio test card],,MPEG-4/SD,1006,102,,,
11232 V,11326 V,4,News 18 India,,MPEG-4/SD,1004,302 Hin,,,
11232 V,11326 V,6,Velayat TV Network,,MPEG-4/SD,201,202 Per,,,
11232 V,11326 V,3,BBS Radio 1,,,,102,,,
