Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
12683 Htp 23KHSouth Asia,10732 Vtp 1VBMalaysia0,DVB-S28PSK300005/6,,Astro,,2176-501,,9.4,Videoguard,Josh240109
12683 Htp 23KHSouth Asia,10772 Vtp 2VBMalaysia0,DVB-S28PSK300005/6,,Astro,,2176-502,,9.4,Videoguard,Josh240109
12683 Htp 23KHSouth Asia,10812 Vtp 3VBMalaysia0,DVB-S28PSK300005/6,,Astro,,2176-503,,9.4,Videoguard,Josh231108
12683 Htp 23KHSouth Asia,10852 Vtp 4VBMalaysia0,DVB-S28PSK300005/6,,Astro,,2176-504,,9.4,Videoguard,Josh231108
12683 Htp 23KHSouth Asia,10892 Vtp 5VBMalaysia0,DVB-S28PSK300005/6,,Astro,,2176-505,,9.4,Videoguard,Josh231108
12683 Htp 23KHSouth Asia,10932 Vtp 6VBMalaysia0,DVB-S28PSK300005/6,,Astro,,2176-506,,9.4,Videoguard,Anonymous231012
12683 Htp 23KHSouth Asia,11775 Vtp 8VBMalaysia0,DVB-S28PSK300003/4,,Astro,,2176-302,,7.9,Videoguard,Josh221030
12683 Htp 23KHSouth Asia,11895 Vtp 11VBMalaysia0,DVB-S28PSK300003/4,,Astro,,2176-305,,7.9,Videoguard,Josh230823
12683 Htp 23KHSouth Asia,12276 Htp 13KHSouth Asia,DVB-S28PSK340003/4,,Sun Direct,,18-21,,7.9,Irdeto,Robiul221018
12683 Htp 23KHSouth Asia,12316 Htp 14KHSouth Asia,DVB-S300005/6,,Sun Direct,,18-11,,6.5,Irdeto,DX Bozóth221224
12683 Htp 23KHSouth Asia,12316 Htp 14KHSouth Asia,21,Sun Direct promo,,MPEG-4/SD,94,90,,,
12683 Htp 23KHSouth Asia,12436 Htp 17KHSouth Asia,DVB-S320003/4,,Sun Direct,,,,5.5,Irdeto,DX Bozóth221224
12683 Htp 23KHSouth Asia,12476 Htp 18KHSouth Asia,DVB-S320005/6,,Sun Direct,,,,6.5,Irdeto,DX Bozóth221228
12683 Htp 23KHSouth Asia,12523 Vtp 7KVSouth Asia,DVB-S28PSK320003/4,,Sun Direct,,,,7.9,Irdeto,Robiul221018
12683 Htp 23KHSouth Asia,12563 Vtp 8KVSouth Asia,DVB-S320005/6,,Sun Direct,,,,6.5,Irdeto,DX Bozóth230404
12683 Htp 23KHSouth Asia,12563 HIndonesia,DVB-S28PSK310002/3,,K Vision,,,,6.6,ConaxNeotion SHL,Albert I240229
12683 Htp 23KHSouth Asia,12563 HIndonesia,44,On Channel,,MPEG-4/SD,1794,1792 Ind,,new,
12683 Htp 23KHSouth Asia,12603 Vtp 9KVSouth Asia,DVB-S320005/6,,Sun Direct,,,,6.5,Irdeto,DX Bozóth230322
12683 Htp 23KHSouth Asia,12603 VIndonesia,DVB-S28PSK300003/5,,Transvision,,1-9,,5.5,IrdetoStreamGuard,Albert I240312
12683 Htp 23KHSouth Asia,12603 VIndonesia,1204,Dunia Lain,,MPEG-4/SD,211,212 Ind,,,
12683 Htp 23KHSouth Asia,12603 VIndonesia,1205,Eat N Go,,MPEG-4/HD,215,216 Ind,,,
12683 Htp 23KHSouth Asia,12603 VIndonesia,1211,Bioskop Indonesia,,MPEG-4/SD,232,233 Ind,,,
12683 Htp 23KHSouth Asia,12603 VIndonesia,1212,!nsert,,MPEG-4/SD,235,236 Ind,,,
12683 Htp 23KHSouth Asia,12603 VIndonesia,1214,Khazanah,,MPEG-4/SD,241,242 Ind,,,
12683 Htp 23KHSouth Asia,12603 VIndonesia,1215,Dunia Anak,,MPEG-4/SD,244,245 Ind,,,
12683 Htp 23KHSouth Asia,12603 VIndonesia,1240,Lingua Channel,,MPEG-4/SD,482,483 Ind,,,
12683 Htp 23KHSouth Asia,12603 VIndonesia,1404,Al-Bahjah TV,,MPEG-4/HD,705,706 Ind,,,
12683 Htp 23KHSouth Asia,12603 VIndonesia,1406,Riau TV,,MPEG-4/SD,702,703 Ind,,,
12683 Htp 23KHSouth Asia,12603 HIndonesia,DVB-S28PSK300003/5,,Transvision,,1-13,,5.5,IrdetoStreamGuard,Albert I240312
12683 Htp 23KHSouth Asia,12603 HIndonesia,1405,Nabawi TV,,MPEG-4/HD,714,715 Ind,,,
12683 Htp 23KHSouth Asia,12603 HIndonesia,1407,Al Wafa Tarim,,MPEG-4/SD,762,763 Ind,,,
12683 Htp 23KHSouth Asia,12603 HIndonesia,1605,Musik Indonesia,,MPEG-4/HD,614,615 Ind,,,
12683 Htp 23KHSouth Asia,12643 Vtp 10KVSouth Asia,DVB-S320005/6,,Sun Direct,,,,6.5,Irdeto,DX Bozóth230322
12683 Htp 23KHSouth Asia,12643 VIndonesia,DVB-S28PSK300003/5,,Transvision,,1-10,,5.5,IrdetoStreamGuard,Albert I240303
12683 Htp 23KHSouth Asia,12643 VIndonesia,1340,Maleo,,MPEG-4/SD,882,883 Ind,,,
12683 Htp 23KHSouth Asia,12643 VIndonesia,1410,GPR TV,,MPEG-4/SD,773,774 Ind,,,
12683 Htp 23KHSouth Asia,12643 HIndonesia,DVB-S28PSK310002/3,,K Vision,,,,6.6,ConaxNeotion SHL,Albert I240201
12683 Htp 23KHSouth Asia,12643 HIndonesia,307,Rajawali TV,,MPEG-4/SD,5383,4615 Ind,,,
12683 Htp 23KHSouth Asia,12643 HIndonesia,312,TVRI Nasional,,MPEG-4/SD,5394,4626 Ind,,,
12683 Htp 23KHSouth Asia,12643 HIndonesia,314,Bali TV,,MPEG-4/SD,5396,4628 Ind,,,
12683 Htp 23KHSouth Asia,12643 HIndonesia,315,JTV (Indonesia),,MPEG-4/SD,5397,4629 Ind,,,
12683 Htp 23KHSouth Asia,12643 HIndonesia,316,Da Ai TV Indonesia,,MPEG-4/SD,5398,4630 Ind,,,
12683 Htp 23KHSouth Asia,12643 HIndonesia,319,TV Mu,,MPEG-4/SD,5401,4633 Ind,,,
12683 Htp 23KHSouth Asia,12643 HIndonesia,320,TV 9 Nusantara,,MPEG-4/SD,5408,4640 Ind,,,
12683 Htp 23KHSouth Asia,12643 HIndonesia,325,Quran TV (Saudi Arabia),,MPEG-4/SD,5413,4645 Ara,,,
12683 Htp 23KHSouth Asia,12683 Htp 23KHSouth Asia,DVB-S28PSK320003/4,,Sun Direct,,,,7.9,Irdeto,DX Bozóth221230
