Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11191 VChina,3728 Htp 1AC,DVB-S28PSK24003/4,,(feeds),,,,,,Albert I201126
11191 VChina,3730 Vtp 1BC,DVB-S28PSK16505/6,,(feeds),,,,,,Bulek Sps180509
11191 VChina,3763 Htp 2AC,DVB-S28PSK12003/4,,(feeds),,,,,,Albert I170502
11191 VChina,3770 Htp 2AC,DVB-S2QPSK16003/4,,(feeds),,,,,,Anonymous191219
11191 VChina,3774 Htp 2AC,DVB-S2QPSK18003/4,1,Yunnan Lancang-Mekong International Channel,,1-1MPEG-4/SD,256,4.0 258,,T Kameda200918
11191 VChina,3811 Vtp 3BC,DVB-S28PSK46003/4,,(feeds),,,,,,DX Bozóth200229
11191 VChina,3817 Vtp 3BC,DVB-S28PSK46003/4,,(feeds),,,,,,N Stanislav220729
11191 VChina,3828 Vtp 3BC,DVB-S28PSK75005/6,,(feeds),,,,,,Anonymous200218
11191 VChina,3836 Vtp 3BC,DVB-S28PSK23005/6,,(BBTV Channel 7 feeds),,,,,,Anonymous200209
11191 VChina,3858 HC,DVB-S28PSK69203/4,,(feeds),,,,,,Bulek Sps181130
11191 VChina,3983 VC,DVB-S36003/4,,(feeds),,,,,,Anonymous191008
11191 VChina,3995 VC,DVB-S7200,,(feeds),,,,,,A Zapara210219
11191 VChina,4005 HC,DVB-S2QPSK37509/10,,(feeds),,,,,,DX Bozóth210207
11191 VChina,4020 Vtp 7BC,DVB-S28PSK72003/4,,,,,,7.9,,N Stanislav231024
11191 VChina,4020 Vtp 7BC,1,Polimer,,MPEG-4/SD,1001,2001 Tam,,,
11191 VChina,4020 Vtp 7BC,2,Polimer News,,MPEG-4/SD,1002,2002 Tam,,,
11191 VChina,4020 Vtp 7BC,3,Jothi TV,,MPEG-4/SD,1003,2003 Tam,,,
11191 VChina,4020 Vtp 7BC,4,Polimer Samachar,,MPEG-4/SD,1004,2004 Hin,,,
11191 VChina,4025 Htp 8AC,DVB-S12003/4,,(feeds),,,,,,T Kameda170407
11191 VChina,4027 Vtp 7BC,DVB-S2QPSK37503/4,,(NBT TV feeds),,,,,,Albert I200213
11191 VChina,4028 Htp 8AC,DVB-S12003/4,,(feeds),,,,,,DX Bozóth171123
11191 VChina,4032 Vtp 7BC,DVB-S37503/4,,(NBT TV feeds),,,,,,Anonymous200305
4035 Htp 8AC,DVB-S2QPSK10733/4,,Voice of Strait,,65535-1,,4.0,,Onacila210319,https://www.lyngsat.com/providers/cn/Voice-of-Strait.html
4035 Htp 8AC,DVB-S2QPSK10733/4,1,VOS Auto and Life FM 90.6,,,,30. Chi,,,
4035 Htp 8AC,DVB-S2QPSK10733/4,1,CHBC 107.1 FM,,,,302 Chi,,,
4035 Htp 8AC,DVB-S2QPSK10733/4,1,VOS News AM 666,,,,303 Chi,,,
4035 Htp 8AC,DVB-S2QPSK10733/4,1,VOS Minnan Dialect AM 783,,,,304 Chi,,,
4035 Htp 8AC,DVB-S2QPSK10733/4,1,VOS Sunshine FM 99.6,,,,305 Chi,,,
4035 Htp 8AC,4040 Htp 8AC,DVB-S28PSK20803/4,,(feeds),,,,,,DX Bozóth200515
4035 Htp 8AC,4043 Htp 8AC,DVB-S15005/6,,(feeds),,,,,,DX Bozóth171123
4035 Htp 8AC,4067 Htp 8AC,DVB-S2QPSK15005/6,,(feeds),,,,,,DX Bozóth150811
4035 Htp 8AC,4094 Htp 8AC,DVB-S28PSK10803/4,,(feeds),,,,,,DX Bozóth200120
4035 Htp 8AC,4096 Htp 8AC,DVB-S28PSK16003/4,,(feeds),,,,,,Anonymous191008
4035 Htp 8AC,4098 Htp 8AC,DVB-S28PSK16005/6,,(feeds),,,,,,DX Bozóth171123
4140 VC,DVB-S28PSK288003/4,,Raj TV Network,,1-1,,7.9,,C Sutton240130,https://www.lyngsat.com/providers/in/Raj-TV-Network.html
4140 VC,DVB-S28PSK288003/4,1,Raj TV,,MPEG-4/SD,601,701 Tam,Irdeto,,
4140 VC,DVB-S28PSK288003/4,2,Raj Digital Plus,,MPEG-4/SD,602,702 Tam,Irdeto,,
4140 VC,DVB-S28PSK288003/4,3,Raj News,,MPEG-4/SD,603,703 Tam,Irdeto,,
4140 VC,DVB-S28PSK288003/4,4,Raj Musix Tamil,,MPEG-4/SD,604,704 Tam,Irdeto,,
4140 VC,DVB-S28PSK288003/4,5,Vissa,,MPEG-4/SD,605,705 Tel,,,
4140 VC,DVB-S28PSK288003/4,6,Raj Musix Kannada,,MPEG-4/SD,606,706 Kan,,,
4140 VC,DVB-S28PSK288003/4,7,Raj News Kannada,,MPEG-4/SD,607,707 Kan,,,
4140 VC,DVB-S28PSK288003/4,8,Raj Musix Telugu,,MPEG-4/SD,608,708 Tel,,,
4140 VC,DVB-S28PSK288003/4,9,Raj News Telugu,,MPEG-4/SD,609,709 Tel,,,
4140 VC,DVB-S28PSK288003/4,10,Raj News Malayalam,,MPEG-4/SD,610,710 Mal,,,
4140 VC,DVB-S28PSK288003/4,11,Raj Musix Malayalam,,MPEG-4/SD,611,711 Mal,,,
4140 VC,DVB-S28PSK288003/4,12,Raj Pariwar,,MPEG-4/SD,612,712 Hin,,,
4140 VC,DVB-S28PSK288003/4,13,Raj Nagaichuvai,,MPEG-4/SD,613,713 Tam,,,
4140 VC,4180 VC,DVB-S28PSK41673/5,1,Korean Central TV,,65281-1MPEG-4/HD,101,5.5 102 Kor,,T Kameda201010
4140 VC,4180 VC,2,Voice of Korea,,,,202,,,
4140 VC,4180 VC,3,KCBS,,,,302 Kor,,,
4140 VC,11148 VChina,DVB-S2QPSK108311/4,1,Zhejiang Satellite TV,,?-?MPEG-4/SD,69,-2.3  68 Chi,,T Kameda210205
4140 VC,11191 VChina,DVB-S2QPSK83323/4,1,CCTV 13,,?-?MPEG-4/SD,256,4.0 257 Chi,,T Kameda210205
