Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
10996 Vtp B2Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Roli230617,
11005 Vtp B2Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Roli230504,
11014 Vtp B2Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Roli230317,
11018 Htp B1Eurasia,DVB-S20003/4,,(feeds),,,,,,Roli231213,
11026 Vtp B2Eurasia,DVB-S2QPSK33335/6,,(feeds),,,,,,Roli230607,
11042 Htp B3Eurasia,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy220918,
11043 Vtp B4Eurasia,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy221230,
11051 Htp B3Eurasia,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy220918,
11052 Vtp B4Eurasia,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy221230,
11061 Vtp B4Eurasia,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy221230,
11070 Htp B3Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli221002,
11072 Vtp B4Eurasia,DVB-S28PSK23333/4,,(feeds),,,,,,Roli230612,
11079 Htp B3Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli221002,
11095 Htp B3Eurasia,DVB-S28PSK36503/4,,(feeds),,,,,,Roli221009,
11111 Htp B3Eurasia,DVB-S28PSK30003/4,,(feeds),,,,,,Roli240203,
11127 Vtp B6Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli221231,
11136 Htp B5Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli221002,
11136 Vtp B6Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli221231,
11145 Htp B5Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli221002,
11150 Vtp B6Eurasia,DVB-S28PSK72003/4,,(feeds),,,,,,Roli230818,
11159 Htp B5Eurasia,DVB-S28PSK19505/6,,(feeds),,,,,,Roli230723,
11169 Vtp B6Eurasia,DVB-S28PSK37003/4,,(feeds),,,,,,Roli231223,
11174 Vtp B6Eurasia,DVB-S28PSK37003/4,,(feeds),,,,,,Roli231216,
11179 Vtp B6Eurasia,DVB-S28PSK21703/4,,(feeds),,,,,,Roli240122,
11189 Vtp B6Eurasia,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy220428,
11192 Htp B5Eurasia,DVB-S28PSK36003/4,,(feeds),,,,,,Roli221116,
11488 Vtp D2Eurasia,DVB-S26005/6,,(feeds),,,,,,Roli191221,
11510 Vtp D2Eurasia,DVB-S28PSK75003/5,,(feeds),,,,,,N Stanislav230423,
11570 Vtp D4Eurasia,DVB-S2QPSK29633/4,,(feeds),,,,,,N Stanislav230415,
11626 Vtp G6Eurasia,DVB-S22003/4,,(feeds),,,,,,Marcel 2170112,
11670 Vtp G6Eurasia,DVB-S28PSK32005/6,,(feeds),,,,,,Roli220504,
11674 Vtp G6Eurasia,DVB-S28PSK32005/6,,(feeds),,,,,,N Stanislav230423,
11681 Vtp G6Eurasia,DVB-S28PSK20005/6,,(feeds),,,,,,Roli231003,
11684 Vtp G6Eurasia,DVB-S28PSK25005/6,,(feeds),,,,,,Roli231003,
11690 Vtp G6Eurasia,DVB-S28PSK37003/4,,(feeds),,,,,,Roli231111,
12503 Vtp F2Eurasia,DVB-S28PSK18005/6,,(feeds),,,,,,N Stanislav210918,
12508 Htp H1Eurasia,DVB-S28PSK18805/6,,(feeds),,,,,,N Stanislav230319,
12522 Vtp F2Eurasia,DVB-S13463/4,,(feeds),,,,,,Marcel 2140210,
12560 Vtp F2Eurasia,DVB-S2QPSK26003/4,,(feeds),,,,,,Jamie A230124,
12575 Vtp F2Eurasia,DVB-S14503/4,,(feeds),,,,,,Roli211214,
12577 Vtp F2Eurasia,DVB-S2QPSK14715/6,,(feeds),,,,,,Roli210526,
12579 Vtp F2Eurasia,DVB-S2QPSK14715/6,,(feeds),,,,,,M Al-Taie210527,
12594 Htp F3Eurasia,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy180717,
12600 Htp F3Eurasia,DVB-S233303/4,,(feeds),,,,,,Stanley_cassidy190615,
12620 Htp F3Eurasia,DVB-S22225/6,,(feeds),,,,,,Roli190519,
12623 Htp F3Eurasia,DVB-S22225/6,,(feeds),,,,,,Roli190620,
12630 Htp F3Eurasia,DVB-S28PSK96003/4,,(feeds),,,,,,Roli210529,
12642 Htp F3Eurasia,DVB-S28PSK96003/4,,(feeds),,,,,,Roli201027,
12654 Vtp F4Eurasia,DVB-S18007/8,,(feeds),,,,,,Marcel 2130905,
12673 Vtp F6Eurasia,DVB-S22003/4,,(feeds),,,,,,Marcel 2170105,
12702 Vtp F6Eurasia,DVB-S22007/8,,(feeds),,,,,,Roli191117,
12704 Vtp F6Eurasia,DVB-S18007/8,,(feeds),,,,,,Roli200223,
12706 Vtp F6Eurasia,DVB-S22007/8,,(feeds),,,,,,Jamie A170402,
12709 Vtp F6Eurasia,DVB-S18007/8,,(feeds),,,,,,V Kopertehov160124,
12712 Vtp F6Eurasia,DVB-S28PSK30005/6,,(feeds),,,,,,Roli200223,
12724 Vtp F6Eurasia,DVB-S21433/4,,(feeds),,,,,,Marcel 2181024,
12742 Vtp F6Eurasia,DVB-S21433/4,,(feeds),,,,,,Marcel 2181024,
11098 Htp B3Eurasia,DVB-S28PSK33333/4,,(IHA feeds),,,,,,Roli230614,
11102 Htp B3Eurasia,DVB-S28PSK32003/4,,(IHA feeds),,,,,,Roli230705,
11106 Htp B3Eurasia,DVB-S232005/6,,(IHA feeds),,,,,,Roli230702,
11106 Vtp B4Eurasia46-47,DVB-S28PSK33333/5,1,Al Rasheed TV,,1-1MPEG-4/HD,404,5.5 100 Ara,,N Stanislav230526,
11106 Vtp B4Eurasia46-47,DVB-S28PSK33333/5,1,Al Rasheed FM,,,,101 Ara,,,
11212 Htp C1Eurasia46-47,DVB-S28PSK144003/5,,GeoSat,,878-1,,5.5,,M Al-Taie240111,https://www.lyngsat.com/providers/ge/GeoSat.html
11212 Htp C1Eurasia46-47,DVB-S28PSK144003/5,2067,Turan TV,,MPEG-2/SD,671,672,,,
11212 Htp C1Eurasia46-47,DVB-S28PSK144003/5,8505,1 TV (Georgia),,MPEG-4/HD,510,3000 Geo,,,
11212 Htp C1Eurasia46-47,DVB-S28PSK144003/5,8509,[GeoSat test card],,MPEG-4/SD,910,,,,
11212 Htp C1Eurasia46-47,DVB-S28PSK144003/5,8505,Georgia Radio,,MPEG-4,,522 Geo,,,
11212 Htp C1Eurasia46-47,DVB-S28PSK144003/5,8506,Georgia Radio Music,,MPEG-4,,202 Geo,,,
11212 Htp C1Eurasia46-47,DVB-S28PSK144003/5,8509,Green Wave FM,,MPEG-4,,921 Geo,,,
11221 Vtp C2South Africa0,DVB-S2QPSK300005/6,,Zap,,91-21,,5.2,Nagravision,Anonymous240209,
11263 Vtp C4South Africa0,DVB-S2QPSK300005/6,,Zap,,91-22,,5.2,Nagravision,Anonymous240209,
11304 Vtp C6South Africa0,DVB-S2QPSK300005/6,,Zap,,91-23,,5.2,Nagravision,Anonymous240210,
11346 Vtp C8South Africa0,DVB-S2QPSK300005/6,,Zap,,91-24,,5.2,Nagravision,Anonymous240114,
11387 Vtp C10South Africa0,DVB-S2QPSK300005/6,,Zap,,91-25,,5.2,Nagravision,Anonymous240209,
11429 Vtp C12South Africa0,DVB-S2QPSK300005/6,,Zap,,91-26,,5.2,Nagravision,U Dockrat240213,
11230 Htp C1Eurasia46-47,DVB-S28PSK150003/5,,Stereo Plus,,1-1,,5.5,,F Dibba240207,https://www.lyngsat.com/providers/ge/Stereo-Plus.html
11230 Htp C1Eurasia46-47,DVB-S28PSK150003/5,768,Imedi TV,,MPEG-4/HD,37,38 Geo,,,
11230 Htp C1Eurasia46-47,DVB-S28PSK150003/5,769,GDS TV,,MPEG-4/SD,41,42 Geo,,,
11230 Htp C1Eurasia46-47,DVB-S28PSK150003/5,772,TV Pirveli,,MPEG-4/SD,45,46 Geo,,,
11230 Htp C1Eurasia46-47,DVB-S28PSK150003/5,775,Maestro (Georgia),,MPEG-4/SD,49,50 Geo,,,
11230 Htp C1Eurasia46-47,DVB-S28PSK150003/5,1024,Pos TV,,MPEG-4/SD,33,34 Geo,,,
11230 Htp C1Eurasia46-47,DVB-S28PSK150003/5,1025,Marneuli TV,,MPEG-4/SD,52,53 Geo,,,
11345 Htp C7Eurasia46-47,DVB-S28PSK300003/4,,Vivacom MCPC,,1-245,,7.9,Irdeto,M Al-Taie231003,https://www.lyngsat.com/providers/bg/Vivacom-MCPC.html
11345 Htp C7Eurasia46-47,DVB-S28PSK300003/4,102,Nickelodeon Bulgaria,,MPEG-2/SD,2020,2021 Bul2022 Eng2023 Ukr,Irdeto,,
11345 Htp C7Eurasia46-47,DVB-S28PSK300003/4,103,FX Greece,,MPEG-4/HD,400,410 Gre 411 Eng,Irdeto,,
11345 Htp C7Eurasia46-47,DVB-S28PSK300003/4,104,FX Life Greece,,MPEG-4/HD,1900,1910 Gre1911 Eng,Irdeto,,
11345 Htp C7Eurasia46-47,DVB-S28PSK300003/4,105,National Geographic Ellada,,MPEG-4/HD,500,510 Eng,Irdeto,,
