Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3970 RStandard40.5-42,DVB-S28PSK16663/5,1,Media Sports Infos,,?-?MPEG-4/SD,258,5.5 257 Fre,,N Stanislav231217,
3973 RStandard,DVB-S28PSK32003/5,,(feeds),,,,,,DX Bozóth240317,
4050 RStandard,DVB-S28PSK75005/6,,(feeds),,,,,,DX Bozóth240317,
4147 RStandard,DVB-S28PSK72003/4,,(feeds),,,,,,N Stanislav220528,
3975 RStandard40.5-42,DVB-S2QPSK10003/4,104,My Righteous TV,,?-?MPEG-4/SD,97,4.0  98 Eng,,N Stanislav230225,
3987 RStandard40.5-42,DVB-S28PSK37503/4,,Vicus Luxlink,,,,7.9,,N Stanislav240323,https://www.lyngsat.com/providers/de/Vicus-Luxlink.html
3987 RStandard40.5-42,DVB-S28PSK37503/4,,Vicus Luxlink,,,,7.9,,N Stanislav240323,https://www.lyngsat.com/providers/de/Vicus-Luxlink.html
11218 VSouth0,DVB-S2QPSK260005/6,,Vicus Luxlink,,,,5.2,,P Owino240118,https://www.lyngsat.com/providers/de/Vicus-Luxlink.html
11218 VSouth0,DVB-S2QPSK260005/6,,Vicus Luxlink,,,,5.2,,P Owino240118,https://www.lyngsat.com/providers/de/Vicus-Luxlink.html
3987 RStandard40.5-42,DVB-S28PSK37503/4,100,Clouds TV,,MPEG-4/SD,1001,1002 Eng,,new,
11218 VSouth0,DVB-S2QPSK260005/6,,Clouds TV,,MPEG-4/SD,2251,2252 Eng,,,
3987 RStandard40.5-42,DVB-S28PSK37503/4,101,Wasafi TV,,MPEG-4/SD,1011,1012,,new,
11218 VSouth0,DVB-S2QPSK260005/6,,Wasafi TV,,MPEG-4/SD,2261,2262,,,
3987 RStandard40.5-42,DVB-S28PSK37503/4,98,Wasafi FM,,,,981,,,
11218 VSouth0,DVB-S2QPSK260005/6,,Wasafi FM,,,,1971,,,
3987 RStandard40.5-42,DVB-S28PSK37503/4,99,Clouds FM,,,,991 Eng,,,
11218 VSouth0,DVB-S2QPSK260005/6,,Clouds FM,,,,1961 Eng,,,
4016 RStandard40.5-42,DVB-S28PSK25003/4,,Dash Media,,,,7.9,,N Stanislav240119,https://www.lyngsat.com/providers/cm/Dash-Media.html
4016 RStandard40.5-42,DVB-S28PSK25003/4,1,Dash TV News,,MPEG-4/HD,256,257 Fre,,,
4016 RStandard40.5-42,DVB-S28PSK25003/4,2,Dash TV Sports & Entertainment,,MPEG-4/HD,513,514 Fre,,,
4019 RStandard40.5-42,,,,,,,,,N Stanislav240119,
4082 RStandard40.5-42,,,,,,,,,N Stanislav240319,
4027 RStandard40.5-42,DVB-S2QPSK16668/9,257,Amen TV Sat,,?-?MPEG-4/SD,257,6.2 258 Fre,,N Stanislav231216,
4032 RStandard40.5-42,DVB-S28PSK25003/4,257,Nyota TV (Congo),,?-?MPEG-4/SD,257,7.91026 Fre,,DX Bozóth240315,
11218 VSouth0,DVB-S2QPSK260005/6,202,Nyota TV (Congo),,MPEG-4/SD,2021,35 Fre,,,
4036 RStandard40.5-42,DVB-S28PSK18303/5,513,For You Africa,,1-1MPEG-4/HD,514,5.5 515 Fre,,DX Bozóth240315,
4036 RStandard40.5-42,DVB-S28PSK18303/5,513,For You Radio,,,,1540 Fre,,,
4038 RStandard40.5-42,DVB-S28PSK23583/5,101,InfoTV,,1-1MPEG-4/SD,33,5.5  34 Fre,,DX Bozóth230422,
4045 RStandard40.5-42,DVB-S28PSK10803/4,1,Univers TV,,?-?MPEG-4/SD,257,7.9 258 Fre,,N Stanislav231027,
4075 RStandard40.5-42,DVB-S28PSK20823/5,2,[Life HD TV test card],,1-1MPEG-4/HD,544,5.5 800,,N Stanislav240321,
4075 RStandard40.5-42,DVB-S28PSK20823/5,3,Radio Amani FM,,,,768 Fre,,,
4075 RStandard40.5-42,DVB-S28PSK20823/5,4,Life Radio (Congo-Kinshasa),,,,769 Fre,,,
4116 RStandard40.5-42,DVB-S28PSK10003/5,1,LTM TV,,8192-4096MPEG-4/SD,512,5.54112 Fre,,N Stanislav210529,
11218 VSouth0,DVB-S2QPSK260005/6,,France 24 Français,,MPEG-4/SD,33,34 Fre,,,
11218 VSouth0,DVB-S2QPSK260005/6,,Dira TV,,MPEG-4/SD,2241,2242 Swa,,,
11218 VSouth0,DVB-S2QPSK260005/6,,Agape TV Network,,MPEG-4/SD,2281,2282 Eng,,,
11218 VSouth0,DVB-S2QPSK260005/6,,TBC 1,,,2301,2302,,,
11218 VSouth0,DVB-S2QPSK260005/6,,TBC 2,,,2311,2312,,,
11218 VSouth0,DVB-S2QPSK260005/6,,Tanzania Safari Channel,,,2321,2322 Eng,,,
11218 VSouth0,DVB-S2QPSK260005/6,,Testimony TV (Kenya),,,2371,2372 Eng,,,
11218 VSouth0,DVB-S2QPSK260005/6,211,RTNC,,MPEG-4/SD,2111,2112 Fre,,,
11218 VSouth0,DVB-S2QPSK260005/6,213,RTNC 3,,MPEG-4/SD,2131,2132 Fre,,,
11218 VSouth0,DVB-S2QPSK260005/6,,TBC Taifa,,,,1931 Swa,,,
11218 VSouth0,DVB-S2QPSK260005/6,,TBC FM,,,,1941 Swa,,,
11349 VSouth0,DVB-S28PSK183003/4,,Muvi TV,,55-1,,7.9,Conax,Anonymous231218,
11403 VSouth0,DVB-S28PSK183003/4,,Muvi TV,,55-2,,7.9,Conax,J Robinson240125,
