Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3662 RC,DVB-S28PSK83333/4,8,RT Español,,?-?MPEG-4/HD,536,7.9 537 Spa,,Edinho fta220312,
11866 VKu FSS,DVB-S28PSK75003/4,100,RT Español,,MPEG-4/HD,536,537 Spa,,,
3680 RC,DVB-S33003/4,,Bolivia TV 7.1,,MPEG-2/SD,308,5.5 256 Spa,,Edinho fta220130,
3684 RC,DVB-S33003/4,,Bolivia TV 7.1,,MPEG-2/SD,33,5.5  36 Spa,,Edinho fta220130,
11560 VKu FSS,DVB-S28PSK300003/4,7,Bolivia TV 7.1,,MPEG-4/SD,523,524 Spa,,,
11503 HKu FSS,DVB-S2000,,(feeds),,,,,,OpcionFTA170627,
11884 VKu FSS,DVB-S21700,,(feeds),,,,,,C de Berazategui230425,
11520 VKu FSS,DVB-S28PSK300003/4,,Entel,,,,7.9,Verimatrix (B),C de Berazategui231128,
11560 VKu FSS,DVB-S28PSK300003/4,,Entel,,,,7.9,Verimatrix (B),Edinho fta240119,
11600 VKu FSS,DVB-S28PSK300003/4,,Entel,,,,7.9,Verimatrix (B),C de Berazategui231015,
11640 VKu FSS,DVB-S28PSK300003/4,,Entel,,,,7.9,Verimatrix (B),O Ponce240104,
11520 VKu FSS,DVB-S28PSK300003/4,4,RTP,,MPEG-4/SD,76,77 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,450,RTP,,MPEG-4/HD,1106,1107 Spa,,,
11520 VKu FSS,DVB-S28PSK300003/4,17,TVU,,MPEG-4/SD,417,418 Spa,,,
11520 VKu FSS,DVB-S28PSK300003/4,33,Unitel Santa Cruz,,MPEG-4/SD,993,994 Spa,,,
11560 VKu FSS,DVB-S28PSK300003/4,2,Unitel La Paz,,MPEG-4/SD,353,354 Spa,,,
11560 VKu FSS,DVB-S28PSK300003/4,20,TV Culturas,,MPEG-4/SD,385,386 Spa,,,
11560 VKu FSS,DVB-S28PSK300003/4,508,Radio Illimani,,,,1039 Spa,,,
11560 VKu FSS,DVB-S28PSK300003/4,511,Radio Disney Bolivia,,,,45 Spa,,,
11560 VKu FSS,DVB-S28PSK300003/4,512,RPO's,,,,1289 Spa,,,
11640 VKu FSS,DVB-S28PSK300003/4,1,Entel TV HD,,/HD,4801,4802 Spa,,,
11640 VKu FSS,DVB-S28PSK300003/4,59,Entel TV HD,,/HD,256,257 Spa,,,
11760 VKu FSS,,,,,,,,,Edinho fta240227,
11807 VKu FSS,,,,,,,,,Edinho fta240313,
11866 VKu FSS,DVB-S28PSK75003/4,,ABE,,,,7.9,,Edinho fta240322,https://www.lyngsat.com/providers/bo/ABE.html
11866 VKu FSS,DVB-S28PSK75003/4,,ABE,,,,7.9,,Edinho fta240322,https://www.lyngsat.com/providers/bo/ABE.html
12544 RKu BSS,DVB-S28PSK300005/6,,ABE,,,,9.4,,Edinho fta240322,https://www.lyngsat.com/providers/bo/ABE.html
12544 RKu BSS,DVB-S28PSK300005/6,,ABE,,,,9.4,,Edinho fta240322,https://www.lyngsat.com/providers/bo/ABE.html
11866 VKu FSS,DVB-S28PSK75003/4,,Red Uno,,MPEG-4/HD,172,173 Spa,,new,
12544 RKu BSS,DVB-S28PSK300005/6,140,Red Uno,,MPEG-4/HD,322,323 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,70,TV Off Travel,,MPEG-4/HD,72,73 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,90,ATB,,HEVC/HD,92,93 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,145,Seo TV,,HEVC/HD,266,267 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,150,Poder de Dios TV,,MPEG-4/SD,4114,4115 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,160,ABE TV Internacional,,MPEG-4/SD,4124,4125 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,430,Red AD Venir,,MPEG-4/HD,549,553 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,200,Radio Panamericana,,,,902 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Panamericana,,,,1331 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,210,Jerusalem Radio,,,,202 Spa,,,
11866 VKu FSS,DVB-S28PSK75003/4,220,Radio Sol,,,,205 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,120,Bolivia TV 7.2,,MPEG-4/HD,290,291 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,130,Red Uno Santa Cruz,,MPEG-4/HD,306,307 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,150,TL Estrella,,MPEG-4/SD,338,339 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,160,F10,,MPEG-4/HD,354,355 Spa,,new,
12544 RKu BSS,DVB-S28PSK300005/6,170,Canal 11 TVU,,MPEG-4/HD,370,371 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,180,Católica TV,,MPEG-4/HD,386,387 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,190,TVU Pando,,MPEG-4/HD,402,403 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,195,Fap TV,,MPEG-4/SD,407,408 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,210,Plus TLT,,MPEG-4/HD,530,531 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,220,TV Universitaria,,MPEG-4/SD,546,547 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,230,Palenque TV,,MPEG-4/SD,562,563 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,240,Cadena Sur,,MPEG-4/HD,578,579 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,260,Xto TV,,MPEG-4/HD,610,611 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,270,GogoPlay TV,,MPEG-4/HD,626,627 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,280,PAT,,MPEG-4/SD,642,643 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,290,Sitel,,MPEG-4/SD,658,659 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,300,TEP,,MPEG-4/SD,770,771 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,310,Agenda Minera TV,,MPEG-4/HD,786,787 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,320,Bethel TV Bolivia,,MPEG-4/SD,802,803 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,325,In TV (Bolivia),,MPEG-4/SD,807,808 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,330,Red América TV,,MPEG-4/SD,818,819 Spa,,new,
12544 RKu BSS,DVB-S28PSK300005/6,340,Gigavisión,,MPEG-4/HD,834,835 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,370,Bolivisión,,MPEG-4/HD,882,883 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,420,Cadena A,,MPEG-4/HD,1058,1059 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,430,DTV,,MPEG-4/HD,1074,1075 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,440,Abya Yala TV,,MPEG-4/SD,1090,1091 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,460,TV Nuevo Tiempo,,MPEG-4/HD,1122,1123 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,480,FM Bolivia TV,,MPEG-4/SD,1154,1155 Spa,,new,
12544 RKu BSS,DVB-S28PSK300005/6,500,ABE Educativo,,MPEG-4/HD,1282,1283 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Éxito,,,,1298 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Betania,,,,1314 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Betania,,,,1890 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Bethel Cochabamba,,,,1362 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio San Gabriel,,,,1378 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Bethel Bolivia,,,,1394 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Santa Cruz,,,,1410 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Recobro,,,,1538 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Kawsachun Coca,,,,1554 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Red ACLO Chuquisaca FM,,,,1570 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Pio XII Cochabamba,,,,1586 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,RTM Bolivia,,,,1602 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Red ACLO Tarija FM,,,,1618 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Fides,,,,1634 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Kollasuyo,,,,1666 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Cepra Cochabamba,,,,1682 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Cepra La Paz,,,,1682 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Erbol,,,,1794 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Plutón,,,,1810 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,ATB Radio,,,,1827 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,RQP Bolivia,,,,1843 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Kantuta,,,,1858 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Altiplano,,,,1874 Spa,,,
12544 RKu BSS,DVB-S28PSK300005/6,,Radio Solidaria RKM,,,,1906 Spa,,,
