Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3940 Htp 12North America C0,DVB-S28PSK300005/6,,GCI,,,,9.4,PowerVu,NOS482221129,https://www.lyngsat.com/providers/us/GCI.html
3940 Htp 12North America C0,DVB-S28PSK300005/6,,GCI,,,,9.4,PowerVu,NOS482221129,https://www.lyngsat.com/providers/us/GCI.html
3980 Htp 14North America C0,DVB-S28PSK300005/6,,GCI,,,,9.4,PowerVu,ML240208,https://www.lyngsat.com/providers/us/GCI.html
3980 Htp 14North America C0,DVB-S28PSK300005/6,,GCI,,,,9.4,PowerVu,ML240208,https://www.lyngsat.com/providers/us/GCI.html
3940 Htp 12North America C0,DVB-S28PSK300005/6,1,KTUU-TV (NBC - Anchorage),,MPEG-4/SD,401,440 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,2,KTBY-TV (Fox - Anchorage),,MPEG-4/SD,201,240 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,3,KAUU-DT 4 (My - Anchorage),,MPEG-4/SD,301,340 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,5,KAUU-TV (CBS - Anchorage),,MPEG-4/SD,101,140 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,6,KYUR-TV (ABC - Anchorage),,MPEG-4/SD,501,540 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,7,This TV,,MPEG-4/SD,701,740 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,8,KTOO 360 TV,,MPEG-4/SD,601,640 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,101,History West,,MPEG-4/SD,801,840 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,102,USA Network West,,MPEG-4/SD,901,940 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,103,ESPN US,,MPEG-4/SD,1001,1040 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,104,ESPN 2 US,,MPEG-4/SD,1101,1140 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,105,TNT West,,MPEG-4/SD,1201,1240 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,106,Discovery Channel West,,MPEG-4/SD,1301,1340 Eng,PowerVu,,
4180 Htp 24North America C0,DVB-S28PSK300003/4,6,Discovery Channel West,,MPEG-4/HD,97,98 Eng  99 Spa,Digicipher,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,107,HLN,,MPEG-4/SD,1401,1440 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,108,HGTV West,,MPEG-4/SD,1501,1540 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,109,TBS West,,MPEG-4/SD,1601,1640 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1002,KAKM-TV (PBS - Anchorage),,MPEG-4/SD,1801,1840 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1003,First Nations Experience,,MPEG-4/SD,1901,1940 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1004,Outdoor Channel,,MPEG-4/SD,2001,2040 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1005,Sportsman Channel,,MPEG-4/SD,2101,2140 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1009,People TV (USA),,MPEG-4/SD,2601,2640 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1011,ION Mystery,,MPEG-4/SD,2701,2740 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1012,Court TV,,MPEG-4/SD,2801,2840 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1013,Grit,,MPEG-4/SD,2901,2940 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1014,Travel Channel West,,MPEG-4/SD,3201,3240 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1015,Food Network West,,MPEG-4/SD,3001,3040 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1016,Magnolia Network West,,MPEG-4/SD,3101,3140 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1017,GAC Family,,MPEG-4/SD,3301,3340 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1106,BYU TV,,MPEG-4/SD,2201,2240 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1107,Daystar TV,,MPEG-4/SD,2301,2340 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1108,Root Sports Northwest,,MPEG-4/SD,2501,2540 Eng,PowerVu,,
3940 Htp 12North America C0,DVB-S28PSK300005/6,1110,Smithsonian Channel West,,MPEG-4/HD,2401,2440 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,1,The Weather Channel,,MPEG-4/SD,7680,4128 Eng,,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,201,Olympic Channel USA,,MPEG-4/SD,2079,2077 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,202,Oxygen True Crime West,,MPEG-4/SD,2071,2073 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,203,E! West,,MPEG-4/SD,301,340 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,204,One America News Network,,MPEG-4/SD,2701,2740 Eng,,,
4052 Htp 18North America C0,DVB-S28PSK175005/6,500,One America News Network,,MPEG-4/HD,129,130 Eng,Digicipher,,
4052 Htp 18North America C0,DVB-S28PSK175005/6,600,One America News Network,,MPEG-2/SD,,Eng,Digicipher,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,205,Jewelry TV,,MPEG-4/SD,2062,2067 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,206,HBO West,,MPEG-4/SD,501,540 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,207,CMT West,,MPEG-4/SD,2050,2049 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,208,Comedy Central West,,MPEG-4/SD,2046,2045 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,209,MTV West,,MPEG-4/SD,2042,2041 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,210,Nickelodeon West,,MPEG-4/SD,2037,2036 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,211,Paramount Network West,,MPEG-4/SD,2032,2031 Eng,PowerVu,,
3980 Htp 14North America C0,DVB-S28PSK300005/6,212,TV Land West,,MPEG-4/SD,2027,2026 Eng,PowerVu,,
