Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
4056 Htp 18North America,DVB-S132503/4,,Alaskan mux,,1-101,,5.5,,D Rempfer210906,
4056 Htp 18North America,DVB-S132503/4,1,ARCS,,MPEG-2/SD,110,100 Eng,,,
4056 Htp 18North America,DVB-S132503/4,2,KTOO 360 TV,,MPEG-2/SD,210,200 Eng,,,
4056 Htp 18North America,DVB-S132503/4,4,KAKM-TV (PBS - Anchorage),,MPEG-2/SD,410,400 Eng,,,
4056 Htp 18North America,DVB-S132503/4,12,University of Alaska TV,,MPEG-2/SD,310,300 Eng,,,
4056 Htp 18North America,DVB-S132503/4,31,KUCB,,,,1120 Eng,,,
4056 Htp 18North America,DVB-S132503/4,32,KUAC FM,,,,1122 Eng,,,
4056 Htp 18North America,DVB-S132503/4,33,KOTZ Radio 720 AM,,,,1124 Eng,,,
4056 Htp 18North America,DVB-S132503/4,34,KCAW-FM,,,,1126 Eng,,,
4056 Htp 18North America,DVB-S132503/4,35,Alaska Public Radio Network,,,,1128 Eng,,,
4056 Htp 18North America,DVB-S132503/4,36,KSKA-FM,,,,1130 Eng,,,
4056 Htp 18North America,DVB-S132503/4,37,KMXT,,,,1132 Eng,,,
4056 Htp 18North America,DVB-S132503/4,38,KSDP 830 AM,,,,1134 Eng,,,
