Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11720 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,
11720 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,
11760 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,
11760 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,
11800 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231125,
11800 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,DX Bozóth231122,
11840 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,
11840 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,
11880 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,
11880 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,
11920 H,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231102,
11920 V,DVB-S28PSK327203/4,,Tata Play,,,,7.9,IrdetoVideoguard,N Stanislav231118,
11960 H,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,
11960 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav231125,
12000 H,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,
12000 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,
12040 H,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav230804,
12040 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,
12080 H,DVB-S28PSK342803/5,,{},,,,5.5,,N Stanislav231125,
12080 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav231125,
12120 H,DVB-S28PSK342803/5,,{},,,,5.5,,N Stanislav231125,
12120 V,DVB-S28PSK342803/5,,{},,,,5.5,,N Stanislav231125,
12160 H,DVB-S28PSK342803/5,,{},,,,5.5,,N Stanislav231125,
12160 V,DVB-S28PSK342803/5,,Tata Play,,,,5.5,IrdetoVideoguard,N Stanislav240306,
