Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,,Myanmar mux,,,,7.9,,Aungpyaesone240102,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,51,MRTV,,MPEG-4/HD,100,200 Bur,,,https://www.lyngsat.com/providers/mm/MRTV.html
3735 Htp 1HSE Asia C,DVB-S28PSK33333/4,,MRTV,,,,7.9,,TTN World240203,https://www.lyngsat.com/providers/mm/MRTV.html
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,52,MRTV News,,MPEG-4/HD,101,201 Bur,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,53,MRTV Parliament,,MPEG-4/SD,102,202 Bur,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,55,MRTV Farmers,,MPEG-4/SD,104,204 Bur,,,
3735 Htp 1HSE Asia C,DVB-S28PSK33333/4,1,MRTV Farmers,,MPEG-4/SD,1000,1001 Bur,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,56,MRTV Sports,,MPEG-4/SD,105,205 Bur,,,
3735 Htp 1HSE Asia C,DVB-S28PSK33333/4,2,MRTV Sports,,MPEG-4/SD,2000,2001 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,18,MRTV Sports,,MPEG-4/SD,3018,4018 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,57,Myanmar International TV,,MPEG-4/SD,106,206 Eng,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,58,Education Channel,,MPEG-4/SD,107,207 Bur,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,59,M Entertainment,,MPEG-4/SD,108,208 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,9,M Entertainment,,MPEG-4/SD,3009,4009 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,60,MRTV 4,,MPEG-4/SD,109,209 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,4,MRTV 4,,MPEG-4/SD,3004,4004 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,61,Channel 7 (Myanmar),,MPEG-4/SD,110,210 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,11,Channel 7 (Myanmar),,MPEG-4/SD,3011,4011 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,62,5 Plus (Myanmar),,MPEG-4/SD,111,211 Bur,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,63,MN TV,,MPEG-4/SD,112,212 Bur,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,64,Channel 9 (Myanmar),,MPEG-4/SD,113,213 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,6,Channel 9 (Myanmar),,MPEG-4/SD,3006,4006 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,65,MWD,,MPEG-4/SD,114,214 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,10,MWD,,MPEG-2/SD,3010,4010 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,66,Channel K,,MPEG-4/SD,117,217 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,5,Channel K,,MPEG-4/SD,3005,4005 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,67,YTV,,MPEG-4/SD,118,218 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,7,YTV,,MPEG-4/SD,3007,4007 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,68,Fortune TV,,MPEG-4/SD,119,219 Bur,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,3,Fortune TV,,MPEG-4/SD,3003,4003 Bur,Neotion SHL,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,69,Myanmar Radio National,,,,431,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,70,Upper Tineyinthar Radio,,,,432 Bur,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,71,Lower Tineyinthar Radio,,,,232 Bur,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,73,Myanmar Radio International,,,,531,,,
3711 Htp 1HSE Asia C,DVB-S28PSK150003/4,74,Tha Pyay,,,,532 Bur,,,
3752 Htp 1AAfrica36-38,,,,,,,,,N Stanislav240308,
3931 HAfrica36-38,,,,,,,,,N Stanislav240223,
4008 Htp 8HSE Asia C,DVB-S2QPSK150004/5,,,,8956-40,,4.7,BISS 1,Albert I240109,
4050 Htp 9HSE Asia C,DVB-S2QPSK150004/5T2-MIPLP 0,,,,,,4.7,,Albert I240109,
4053 Htp 5AAfrica36-38,DVB-S216663/4,,,,,,5.5,,DX Bozóth240131,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,,,,1-1,,4.7,BISS 1Irdeto,Albert I240209,
3760 Htp 2HSE Asia C,DVB-S300005/6,,Thaicom,,1-2,,6.5,BISS 1,Albert I240109,https://www.lyngsat.com/providers/th/Thaicom.html
3760 Htp 2HSE Asia C,DVB-S300005/6,,Thaicom,,1-2,,6.5,BISS 1,Albert I240109,https://www.lyngsat.com/providers/th/Thaicom.html
3760 Htp 2HSE Asia C,DVB-S300005/6,,Thaicom,,1-2,,6.5,BISS 1,Albert I240109,https://www.lyngsat.com/providers/th/Thaicom.html
3760 Htp 2HSE Asia C,DVB-S300005/6,,Thaicom,,1-2,,6.5,BISS 1,Albert I240109,https://www.lyngsat.com/providers/th/Thaicom.html
3840 Htp 4HSE Asia C,DVB-S300003/4,,Thaicom,,1-4,,5.5,,TTN World240125,https://www.lyngsat.com/providers/th/Thaicom.html
3840 Htp 4HSE Asia C,DVB-S300003/4,,Thaicom,,1-4,,5.5,,TTN World240125,https://www.lyngsat.com/providers/th/Thaicom.html
3840 Htp 4HSE Asia C,DVB-S300003/4,,Thaicom,,1-4,,5.5,,TTN World240125,https://www.lyngsat.com/providers/th/Thaicom.html
3840 Htp 4HSE Asia C,DVB-S300003/4,,Thaicom,,1-4,,5.5,,TTN World240125,https://www.lyngsat.com/providers/th/Thaicom.html
3920 Htp 6HSE Asia C,DVB-S300003/4,,Thaicom,,26-6,,5.5,BISS 1,Albert I240109,https://www.lyngsat.com/providers/th/Thaicom.html
3920 Htp 6HSE Asia C,DVB-S300003/4,,Thaicom,,26-6,,5.5,BISS 1,Albert I240109,https://www.lyngsat.com/providers/th/Thaicom.html
3920 Htp 6HSE Asia C,DVB-S300003/4,,Thaicom,,26-6,,5.5,BISS 1,Albert I240109,https://www.lyngsat.com/providers/th/Thaicom.html
3920 Htp 6HSE Asia C,DVB-S300003/4,,Thaicom,,26-6,,5.5,BISS 1,Albert I240109,https://www.lyngsat.com/providers/th/Thaicom.html
12687 VSE Asia Ku,DVB-S300005/6,,Thaicom,,,,6.5,BISS,Kinse 615231118,https://www.lyngsat.com/providers/th/Thaicom.html
12687 VSE Asia Ku,DVB-S300005/6,,Thaicom,,,,6.5,BISS,Kinse 615231118,https://www.lyngsat.com/providers/th/Thaicom.html
12687 VSE Asia Ku,DVB-S300005/6,,Thaicom,,,,6.5,BISS,Kinse 615231118,https://www.lyngsat.com/providers/th/Thaicom.html
12687 VSE Asia Ku,DVB-S300005/6,,Thaicom,,,,6.5,BISS,Kinse 615231118,https://www.lyngsat.com/providers/th/Thaicom.html
3760 Htp 2HSE Asia C,DVB-S300005/6,1,MCOT HD,,MPEG-2/SD,512,650 Tha6501 Qaa,BISS 1,,
4050 Htp 9HSE Asia C,DVB-S2QPSK150004/5T2-MIPLP 0,30,MCOT HD,,MPEG-4/HD,1301,1302 Tha1303 Qaa,,,
3760 Htp 2HSE Asia C,DVB-S300005/6,7,T Sports 7,,MPEG-2/SD,1071,1072 Tha1073 Qaa,BISS 1,,
4050 Htp 9HSE Asia C,DVB-S2QPSK150004/5T2-MIPLP 0,7,T Sports 7,,MPEG-4/SD,1071,1072 Tha1073 Qaa,,,
3760 Htp 2HSE Asia C,DVB-S300005/6,10,TP Channel,,MPEG-2/SD,1010,1011 Tha1012 Qaa,BISS 1,,
4050 Htp 9HSE Asia C,DVB-S2QPSK150004/5T2-MIPLP 0,10,TP Channel,,MPEG-4/SD,1101,1102 Tha1103 Qaa,,,
3760 Htp 2HSE Asia C,DVB-S300005/6,32,Thairath TV 32,,MPEG-4/HD,1320,1321 Tha1322 Qaa,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,614,Thairath TV 32,,MPEG-2/SD,214,114 Tha1114 Qaa,BISS 1,,
4050 Htp 9HSE Asia C,DVB-S2QPSK150004/5T2-MIPLP 0,32,Thairath TV 32,,MPEG-4/HD,1321,1322 Tha1323 Qaa,,,
3760 Htp 2HSE Asia C,DVB-S300005/6,34,Yunnan Lancang-Mekong International Channel,,MPEG-2/SD,3001,3002,BISS 1,,
3760 Htp 2HSE Asia C,DVB-S300005/6,701,PPTV HD 36,,MPEG-2/SD,201,301 Tha1301 Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,36,PPTV HD 36,,MPEG-4/HD,1361,1362 Tha1363 Qaa,BISS 1Irdeto,,
3760 Htp 2HSE Asia C,DVB-S300005/6,703,GMM 25,,MPEG-2/SD,203,303 Tha1303 Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,25,GMM 25,,MPEG-4/SD,1251,1252 Tha1253 Qaa,BISS 1,,
3760 Htp 2HSE Asia C,DVB-S300005/6,704,Thai Channel 8,,MPEG-2/SD,204,304 Tha1304 Qaa,BISS 1,,
4008 Htp 8HSE Asia C,DVB-S2QPSK150004/5,27,Thai Channel 8,,MPEG-4/SD,1271,1272 Tha1273 Qaa,BISS 1,,
3760 Htp 2HSE Asia C,DVB-S300005/6,705,Mono 29,,MPEG-2/SD,205,305 Tha1305 Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,29,Mono 29,,MPEG-4/SD,1291,1292 Tha1293 Qaa,BISS 1,,
3760 Htp 2HSE Asia C,DVB-S300005/6,708,GMM O Shopping,,MPEG-2/SD,208,308 Tha,BISS 1,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,79,GMM O Shopping,,MPEG-4/HD,791,7.2 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1001,GMM O Shopping,,MPEG-4/HD,201,301 Tha,,,
3760 Htp 2HSE Asia C,DVB-S300005/6,11,MCOT LTM FM 95,,,,654 Tha,,,
3760 Htp 2HSE Asia C,DVB-S300005/6,12,MCOT AM 1143,,,,661 Tha,,,
3760 Htp 2HSE Asia C,DVB-S300005/6,12,MCOT Like Station 1494,,,,661 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,,PSI,,65280-2,,6.6,,TTN 3 HD Sports240322,https://www.lyngsat.com/providers/th/PSI.html
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,,PSI,,65280-2,,6.6,,TTN 3 HD Sports240322,https://www.lyngsat.com/providers/th/PSI.html
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,,PSI,,65280-2,,6.6,,TTN 3 HD Sports240322,https://www.lyngsat.com/providers/th/PSI.html
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,,PSI,,65280-2,,6.6,,TTN 3 HD Sports240322,https://www.lyngsat.com/providers/th/PSI.html
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,,PSI,,65280-7,,6.6,,Albert I240322,https://www.lyngsat.com/providers/th/PSI.html
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,,PSI,,65280-7,,6.6,,Albert I240322,https://www.lyngsat.com/providers/th/PSI.html
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,,PSI,,65280-7,,6.6,,Albert I240322,https://www.lyngsat.com/providers/th/PSI.html
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,,PSI,,65280-7,,6.6,,Albert I240322,https://www.lyngsat.com/providers/th/PSI.html
12343 VSE Asia Ku,DVB-S2450003/4,,PSI,,,,,,TTN 3 HD Sports240308,https://www.lyngsat.com/providers/th/PSI.html
12343 VSE Asia Ku,DVB-S2450003/4,,PSI,,,,,,TTN 3 HD Sports240308,https://www.lyngsat.com/providers/th/PSI.html
12343 VSE Asia Ku,DVB-S2450003/4,,PSI,,,,,,TTN 3 HD Sports240308,https://www.lyngsat.com/providers/th/PSI.html
12343 VSE Asia Ku,DVB-S2450003/4,,PSI,,,,,,TTN 3 HD Sports240308,https://www.lyngsat.com/providers/th/PSI.html
12728 VSE Asia Ku,DVB-S28PSK300003/4,,PSI,,16-1,,7.9,BISSNeotion SHL,TTN World240201,https://www.lyngsat.com/providers/th/PSI.html
12728 VSE Asia Ku,DVB-S28PSK300003/4,,PSI,,16-1,,7.9,BISSNeotion SHL,TTN World240201,https://www.lyngsat.com/providers/th/PSI.html
12728 VSE Asia Ku,DVB-S28PSK300003/4,,PSI,,16-1,,7.9,BISSNeotion SHL,TTN World240201,https://www.lyngsat.com/providers/th/PSI.html
12728 VSE Asia Ku,DVB-S28PSK300003/4,,PSI,,16-1,,7.9,BISSNeotion SHL,TTN World240201,https://www.lyngsat.com/providers/th/PSI.html
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,51,TV Direct 3,,MPEG-4/HD,601,602 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1006,TV Direct 3,,MPEG-4/SD,206,306 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,52,World Entertainment TV (Thailand),,MPEG-4/SD,611,612 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1015,World Entertainment TV (Thailand),,MPEG-4/SD,215,315 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,53,Smart TV (Thailand),,MPEG-4/SD,621,622 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,56,Oto Shopping 1,,MPEG-4/HD,651,652 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,34,Oto Shopping 1,,MPEG-4/SD,3034,4034 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,57,Oto Shopping 2,,MPEG-4/HD,761,762 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,35,Oto Shopping 2,,MPEG-4/SD,3035,4035 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,77,Doonee TV,,MPEG-4/HD,771,772 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,31,Doonee TV,,MPEG-4/SD,3031,4031 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,78,Thai Chaiyo,,MPEG-4/HD,781,782 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,20,Thai Chaiyo,,MPEG-4/SD,3020,4020 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,80,Mangorn,,MPEG-4/SD,802,803 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,29,Mangorn,,MPEG-4/SD,3029,4029 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,81,Kaset Chumchon,,MPEG-4/HD,812,813 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1023,Kaset Chumchon,,MPEG-4/SD,223,323 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,82,Baan Baan TV 73,,MPEG-4/SD,822,823 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,23,Baan Baan TV 73,,MPEG-4/SD,3023,4023 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,83,54 Unity TV,,MPEG-4/SD,831,832 Tha,,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,30,54 Unity TV,,MPEG-4/SD,3030,4030 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,84,GMM O Shopping 2,,MPEG-4/HD,841,842 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,85,TV Direct 2,,MPEG-4/SD,851,852 Tha,,,
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,708,TV Direct 2,,MPEG-4/SD,308,408 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,86,Boonma TV,,MPEG-4/SD,861,862 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1017,Boonma TV,,MPEG-4/SD,217,317 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,87,TV Direct 9,,MPEG-4/HD,871,872 Tha,,new,
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,719,TV Direct 9,,MPEG-4/HD,319,419 Tha,,new,
12343 VSE Asia Ku,DVB-S2450003/4,1019,TV Direct 9,,MPEG-4/SD,219,319 Tha,,new,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,88,TV Direct 5,,MPEG-4/SD,881,882 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,89,Star TV (Thailand),,MPEG-4/SD,891,892 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,712,Banterng Thai,,MPEG-4/SD,312,412 Tha,,,
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,712,Banterng Thai,,MPEG-4/HD,312,412 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1007,Banterng Thai,,MPEG-4/SD,207,307 Tha,,,
3800 Htp 3HSE Asia C,DVB-S28PSK300002/3,902,TV Direct 1,,MPEG-4/HD,513,751 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1005,TV Direct 1,,MPEG-4/HD,205,305 Tha,,,
