Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
11747 Htp 2East49-50,DVB-S28PSK275005/6,,Saudi Broadcasting Authority,,,,9.4,,N Stanislav231213,https://www.lyngsat.com/providers/sa/Saudi-Broadcasting-Authority.html,True,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2601.0,Saudi TV,,MPEG-4/HD,512.0,612 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2602.0,Thikrayat TV,,MPEG-4/HD,513.0,712 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2603.0,SBC,,MPEG-4/HD,514.0,812 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2604.0,Ekhbariya TV,,MPEG-4/HD,515.0,912 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2605.0,Saudia Alaan TV,,MPEG-4/HD,516.0,914 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,5601.0,Quran TV (Saudi Arabia),,MPEG-4/HD,2308.0,2309 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,5602.0,Sunna TV (Saudi Arabia),,MPEG-4/HD,2310.0,2311 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,5603.0,KSA Sports 1,,MPEG-4/HD,2312.0,2313 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,5604.0,KSA Sports 2,,MPEG-4/HD,2314.0,2315 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,5605.0,KSA Sports 3,,MPEG-4/HD,2316.0,2317 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2620.0,Quran Radio (Saudi Arabia),,,,1061 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2621.0,Riyadh Radio,,,,1091 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2622.0,Jeddah Radio,,,,1081 Ara,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2623.0,Saudia Radio,,,,1071,,,,False,Saudi Broadcasting Authority
11747 Htp 2East49-50,DVB-S28PSK275005/6,2624.0,Neda Radio,,,,1051 Ara,,,,False,Saudi Broadcasting Authority
11766 Vtp 3East49-50,DVB-S275007/8,,North Telecom,,0-1,,7.2,,N Stanislav240129,https://www.lyngsat.com/providers/de/North-Telecom.html,True,North Telecom
11766 Vtp 3East49-50,DVB-S275007/8,,North Telecom,,0-1,,7.2,,N Stanislav240129,https://www.lyngsat.com/providers/de/North-Telecom.html,True,North Telecom
11766 Vtp 3East49-50,DVB-S275007/8,,North Telecom,,0-1,,7.2,,N Stanislav240129,https://www.lyngsat.com/providers/de/North-Telecom.html,True,North Telecom
11766 Vtp 3East49-50,DVB-S275007/8,,North Telecom,,0-1,,7.2,,N Stanislav240129,https://www.lyngsat.com/providers/de/North-Telecom.html,True,North Telecom
