Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
3668 LC,DVB-S28PSK10553/4,,OPM Doctor Jesus TV,,MPEG-4/HD,101.0,7.91111 Eng,,N Stanislav230904,,False,
12518 HEcowas 2,DVB-S28PSK295003/5,2.0,OPM Doctor Jesus TV,,MPEG-4/SD,36.0,1111 Eng,,,,False,
12518 HEcowas 2,DVB-S28PSK295003/5,,Sairtek,,,,5.5,,N Stanislav230910,https://www.lyngsat.com/providers/ng/Sairtek.html,True,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,,Christian Reformed TV,,MPEG-4/SD,46.0,47 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,1.0,NTA International,,MPEG-4/SD,45.0,482 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,4.0,Impact Africa TV,,MPEG-4/SD,270.0,271 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,6.0,Sunna TV (Nigeria),,MPEG-4/SD,1211.0,1212,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,7.0,Alu TV,,MPEG-4/SD,82.0,83,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,10.0,Benue TV,,MPEG-4/SD,67.0,68 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,14.0,Advocate Broadcasting Network,,MPEG-4/SD,76.0,77 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,17.0,MBC 2 (Saudi Arabia),,MPEG-2/SD,701.0,702 Ara,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,19.0,Honour TV,,MPEG-4/SD,1141.0,1142 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,23.0,Epiphany TV,,MPEG-4/SD,59.0,60 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,24.0,Manara TV,,MPEG-4/SD,256.0,257 Hau,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,26.0,Glorious Vision TV,,MPEG-4/SD,1793.0,1794 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,32.0,Trust TV,,MPEG-4/SD,481.0,41 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,36.0,Alive Unto God TV,,MPEG-4/SD,53.0,55 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,37.0,KSMC,,MPEG-4/SD,1181.0,1182 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,38.0,OneSound Revival TV,,MPEG-4/SD,1191.0,1192 Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,41.0,Hi-Impact TV,,,,Eng,,,,False,Sairtek
12518 HEcowas 2,DVB-S28PSK295003/5,44.0,Elijah's Voice TV,,,,Eng,,,,False,Sairtek
12538 HEcowas 2,DVB-S28PSK50003/4,,TFMediaCast,,,,7.9,,P Laschan230214,https://www.lyngsat.com/providers/ng/TFMediaCast.html,True,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,,Sebioba Royal TV,,MPEG-4/SD,66.0,93 Eng,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,,OYJ TV,,MPEG-4/SD,130.0,136 Eng,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,,Our Sports,,MPEG-4/SD,137.0,143 Eng,,,,False,TFMediaCast
12545 HEcowas 2,DVB-S28PSK61663/4,120.0,Our Sports,,HEVC/SD,72.0,73 Eng,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,7.0,Mercy of God TV,,MPEG-4/SD,101.0,167 Eng,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,101.0,Borno TV,,MPEG-4/SD,102.0,103 Eng,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,105.0,Aflame TV,,MPEG-4/SD,60.0,94 Eng,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,150.0,The Church TV,,MPEG-4/SD,65.0,160 Eng,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,151.0,Catholic TV,,MPEG-4/SD,95.0,101 Eng,,,,False,TFMediaCast
12545 HEcowas 2,DVB-S28PSK61663/4,170.0,Catholic TV,,HEVC/SD,48.0,49 Eng,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,157.0,Al-Irshaad TV,,MPEG-4/SD,105.0,121 Ara,,,,False,TFMediaCast
12538 HEcowas 2,DVB-S28PSK50003/4,158.0,Favour TV (Nigeria),,MPEG-4/SD,280.0,281 Eng,,,,False,TFMediaCast
12545 HEcowas 2,DVB-S28PSK61663/4,,Our TV,,,,7.9,,N Stanislav230910,,False,TFMediaCast
12545 HEcowas 2,DVB-S28PSK61663/4,102.0,Our Movies Nolly,,HEVC/SD,63.0,64 Eng,,,,False,TFMediaCast
12545 HEcowas 2,DVB-S28PSK61663/4,103.0,Our Movies Globe,,HEVC/SD,66.0,67 Eng,,,,False,TFMediaCast
