Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
3608 Ltp 5AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,,RTRS Stavropol,,8835-2,,7.9,,N Stanislav230719,https://www.lyngsat.com/providers/ru/RTRS-Stavropol.html,True,RTRS Stavropol
3608 Ltp 5AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3615 Ltp 5AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3622 Ltp 5AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3628 Ltp 5AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3635 Ltp 5AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3643 Ltp 5AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3665 Ltp 6AC Fixed0,DVB-S28PSK152843/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3709 Ltp 7AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3715 Ltp 7AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3722 Ltp 7AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3728 Ltp 7AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3735 Ltp 7AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3758 Ltp 8AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3765 Ltp 8AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3772 Ltp 8AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3778 Ltp 8AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3785 Ltp 8AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3792 Ltp 8AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3808 Ltp 9AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3815 Ltp 9AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3822 Ltp 9AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3828 Ltp 9AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3835 Ltp 9AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3842 Ltp 9AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3858 Ltp 10AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3865 Ltp 10AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3872 Ltp 10AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,.022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3885 Ltp 10AC Fixed0,DVB-S28PSK51203/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3892 Ltp 10AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3908 Ltp 11AC Fixed0,DVB-S28PSK51403/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
3915 Ltp 11AC Fixed0,DVB-S28PSK51303/4T2-MIPLP 1,1020.0,Rossiya 1,,MPEG-4/SD,1021.0,1022 Rus,GoSTcrypt,,,False,RTRS Stavropol
