Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
10713 Htp 1East MENA,DVB-S231245/6,,(feeds),,,,,,Stanley_cassidy200806,,False,
10718 Htp 1East MENA,DVB-S231245/6,,(feeds),,,,,,Stanley_cassidy200806,,False,
10725 Htp 1East MENA,DVB-S260005/6,,(feeds),,,,,,Stanley_cassidy200806,,False,
10735 Htp 1East MENA,DVB-S260005/6,,(feeds),,,,,,Stanley_cassidy200806,,False,
10742 Htp 1East MENA,DVB-S28PSK31245/6,,(feeds),,,,,,DX Bozóth221127,,False,
10770 Htp 1East MENA,DVB-S28PSK16502/3,,(feeds),,,,,,DX Bozóth120503,,False,
10805 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,N Stanislav221126,,False,
10808 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,N Stanislav221126,,False,
10813 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,DX Bozóth210821,,False,
10816 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,N Stanislav221126,,False,
10819 Htp 3East MENA,DVB-S28PSK30005/6,,(feeds),,,,,,N Stanislav221126,,False,
10882 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,,False,
10886 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,,False,
10894 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,,False,
10898 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,,False,
10902 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,,False,
10906 Htp 5East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav231217,,False,
10938 Htp 7East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,N Stanislav230826,,False,
10942 Htp 7East MENA,DVB-S28PSK31255/6,,(feeds),,,,,,DX Bozóth210506,,False,
12510 Vtp 10MENA,DVB-S28PSK22208/9,,(feeds),,,,,,DX Bozóth230215,,False,
12513 Vtp 10MENA,DVB-S28PSK23805/6,,(feeds),,,,,,DX Bozóth220403,,False,
12522 Vtp 10MENA,DVB-S28PSK34005/6,,(feeds),,,,,,DX Bozóth230215,,False,
12525 Vtp 10MENA,DVB-S28PSK16005/6,,(feeds),,,,,,DX Bozóth230215,,False,
