Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,,2RN,,8564-1005,,5.2,,Wellikan231105,https://www.lyngsat.com/providers/ie/2RN.html,True,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5101.0,RTÉ One,,MPEG-4/HD,5101.0,5201 Eng5401 Gle,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5102.0,RTÉ 2,,MPEG-4/HD,5102.0,5202 Eng5402 Gle,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5103.0,RTÉ News,,MPEG-4/SD,5103.0,5203 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5104.0,TG 4,,MPEG-4/SD,5104.0,5204 Gle,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5107.0,RTÉ Jr (06-19),,MPEG-4/SD,5107.0,5207 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5108.0,Cúla 4,,MPEG-4/SD,5106.0,5406 Gle,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5109.0,Oireachtas TV (Mon-Fri 09-12),,MPEG-4/SD,5109.0,5209 Gle,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5111.0,RTÉ One +1,,MPEG-4/SD,5111.0,5211 Eng5411 Gle,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5112.0,RTÉ 2 +1 (19-06),,MPEG-4/SD,5112.0,5212 Eng5412 Gle,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5119.0,[SaorSat info card],,MPEG-4/SD,5119.0,,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5120.0,[Faisneis SaorSat info card],,MPEG-4/SD,5120.0,,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5226.0,RTÉ Radio 1,,,,5226 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5227.0,RTÉ 2 FM,,,,5227 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5228.0,RTÉ Lyric FM,,,,5228 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5229.0,RTÉ Raidió na Gaeltachta,,,,5229 Gle,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5230.0,RTÉ Radio 1 Extra,,,,5230 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5231.0,RTÉ Pulse,,,,5231 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5232.0,RTÉ 2XM,,,,5232 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5233.0,RTÉ Jr Radio (07-21),,,,5233 Eng,,,,False,2RN
20192 Ltp 4F24Ireland,DVB-S2QPSK125005/6,5234.0,RTÉ Gold,,,,5234 Eng,,,,False,2RN
