Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
11727 Htp 1Middle East48,DVB-S28PSK300003/4,,OSN TV,,2048-566,,7.9,Verimatrix (B),S Günes231121,,False,
11881 Htp 9Middle East48,DVB-S28PSK300003/4,,OSN TV,,2048-2,,7.9,Verimatrix (B),R Cervi240221,,False,
11977 Vtp 14Middle East48,DVB-S275005/6,,OSN TV,,2048-20,,6.5,,M Al-Taie240305,,False,
11996 Htp 15Middle East48,DVB-S28PSK300003/4,,OSN TV,,2048-3,,7.9,Verimatrix (B)Mediaguard,R Cervi230226,,False,
12073 Htp 19Middle East48,DVB-S28PSK300003/4,,OSN TV,,2048-45,,7.9,Verimatrix (B),R Cervi240116,,False,
11747 Vtp 2Middle East48,DVB-S275005/6,,ERTU,,2048-1,,6.5,,BBC Monitoring230419,https://www.lyngsat.com/providers/eg/ERTU.html,True,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,,ERTU,,2048-1,,6.5,,BBC Monitoring230419,https://www.lyngsat.com/providers/eg/ERTU.html,True,ERTU
11843 Htp 7Middle East48,DVB-S275005/6,,ERTU,,2048-6,,6.5,,R Cervi231024,https://www.lyngsat.com/providers/eg/ERTU.html,True,ERTU
11843 Htp 7Middle East48,DVB-S275005/6,,ERTU,,2048-6,,6.5,,R Cervi231024,https://www.lyngsat.com/providers/eg/ERTU.html,True,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,102.0,Al Qahera News,,MPEG-2/SD,1002.0,1202 Ara,,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,105.0,Al Qahera News,,MPEG-4/HD,1005.0,1205 Ara,,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,103.0,Sudan TV,,MPEG-2/SD,1003.0,1203 Ara,,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,104.0,Yemen TV,,MPEG-4/HD,1104.0,1204 Ara,,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,106.0,Al Ahly TV,,MPEG-4/HD,1006.0,1206 Ara,,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,113.0,Al Ahly TV,,MPEG-2/SD,1029.0,1030 Ara,,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,107.0,Alarabiya,,MPEG-2/SD,1007.0,1207 Ara,,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,108.0,Al Hadath,,MPEG-2/SD,1008.0,1208 Ara,,,,False,ERTU
11747 Vtp 2Middle East48,DVB-S275005/6,109.0,Mdeeh,,MPEG-2/SD,1009.0,1209 Ara,,,,False,ERTU
