Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
12160 H,DVB-S28PSK300002/3,,TDA,,0-0,,6.6,,N Stanislav220702,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12160 H,DVB-S28PSK300002/3,,TDA,,0-0,,6.6,,N Stanislav220702,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12160 H,DVB-S28PSK300002/3,,TDA,,0-0,,6.6,,N Stanislav220702,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12232 H,DVB-S159103/4,,TDA,,,,5.5,,M Al-Taie210909,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12232 H,DVB-S159103/4,,TDA,,,,5.5,,M Al-Taie210909,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12232 H,DVB-S159103/4,,TDA,,,,5.5,,M Al-Taie210909,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12250 H,DVB-S125103/4,,TDA,,,,5.5,,DX Bozóth200419,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12250 H,DVB-S125103/4,,TDA,,,,5.5,,DX Bozóth200419,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12250 H,DVB-S125103/4,,TDA,,,,5.5,,DX Bozóth200419,https://www.lyngsat.com/providers/dz/TDA.html,True,TDA
12160 H,DVB-S28PSK300002/3,1.0,ENTV,,MPEG-4/HD,513.0,641 Ara,BISS,,,False,TDA
12232 H,DVB-S159103/4,1.0,ENTV,,MPEG-2/SD,513.0,641 Ara,BISS,,,False,TDA
12160 H,DVB-S28PSK300002/3,2.0,Canal Algérie 2,,MPEG-4/HD,515.0,680 Ara,,,,False,TDA
12232 H,DVB-S159103/4,2.0,Canal Algérie 2,,MPEG-2/SD,515.0,680 Ara,,,,False,TDA
12160 H,DVB-S28PSK300002/3,4.0,TV 4 Amazigh,,MPEG-4/SD,517.0,660,,,,False,TDA
12232 H,DVB-S159103/4,4.0,TV 4 Amazigh,,MPEG-2/SD,517.0,660,,,,False,TDA
12160 H,DVB-S28PSK300002/3,5.0,TV 5 Coran,,MPEG-4/SD,516.0,650 Ara,,,,False,TDA
12232 H,DVB-S159103/4,5.0,TV 5 Coran,,MPEG-2/SD,516.0,650 Ara,,,,False,TDA
12160 H,DVB-S28PSK300002/3,6.0,TV 6 (Algeria),,MPEG-4/HD,512.0,640 Ara,,,,False,TDA
12232 H,DVB-S159103/4,6.0,TV 6 (Algeria),,MPEG-2/SD,512.0,640 Ara,,,,False,TDA
12160 H,DVB-S28PSK300002/3,7.0,TV 7 (Algeria),,MPEG-2/SD,701.0,702 Ara,,,,False,TDA
12160 H,DVB-S28PSK300002/3,8.0,TV 8 (Algeria),,MPEG-2/SD,801.0,802 Ara,,,,False,TDA
12160 H,DVB-S28PSK300002/3,9.0,TV 9 (Algeria),,MPEG-4/HD,901.0,902 Ara,,,,False,TDA
12160 H,DVB-S28PSK300002/3,20.0,RASD TV,,MPEG-2/SD,520.0,620 Ara,,,,False,TDA
12160 H,DVB-S28PSK300002/3,25.0,Thalitha A3,,MPEG-4/HD,101.0,110 Ara,,,,False,TDA
12232 H,DVB-S159103/4,3.0,Thalitha A3,,MPEG-2/SD,514.0,670 Ara,,,,False,TDA
12250 H,DVB-S125103/4,6.0,Radio Décrochage,,,,651,,,,False,TDA
12250 H,DVB-S125103/4,7.0,Chaîne 2,,,,661 Ber,,,,False,TDA
12250 H,DVB-S125103/4,8.0,Chaîne 3,,,,671 Fre,,,,False,TDA
12250 H,DVB-S125103/4,9.0,Radio Sahel,,,,681 Ara,,,,False,TDA
12250 H,DVB-S125103/4,10.0,Radio Ouargla,,,,652 Ara,,,,False,TDA
