Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
3868 Vtp 9North America0,DVB-S66663/4,,Unitel (Greece),,,,5.5,BISS,M Kotsias070906,https://www.lyngsat.com/providers/gr/Unitel.html,True,Unitel (Greece)
3868 Vtp 9North America0,DVB-S66663/4,,Mega Cosmos,,MPEG-2/SD,513.0,641 Gre,BISS,,,False,Unitel (Greece)
3868 Vtp 9North America0,DVB-S66663/4,,[test card],,MPEG-2/SD,514.0,642,,,,False,Unitel (Greece)
3888 Htp 9Europe & Africa,DVB-S32503/4,,(feeds),,,,,,Onacila111105,,False,Unitel (Greece)
3955 Htp 12South America0,DVB-S2QPSK24003/4,,Encadena TV,,,256.0,4.0 512 Spa,,D Dragos170724,,False,Unitel (Greece)
3955 Htp 12South America0,DVB-S2QPSK24003/4,,Radio Chetumal,,,,513 Spa,,,,False,Unitel (Greece)
3958 Htp 12South America0,DVB-S22223/4,,SQCS Canal 4,,MPEG-2/SD,4194.0,5.54197 Spa,,D Dragos170724,,False,Unitel (Greece)
3958 Htp 12South America0,DVB-S22223/4,,Caribe FM,,,,4195 Spa,,,,False,Unitel (Greece)
4068 Vtp 18Europe & Africa41-43,DVB-S25407/8,,@ SkyVision,,,,7.2,,DX Bozóth091109,,False,Unitel (Greece)
4083 Htp 19Europe & Africa41-43,DVB-S28PSK100002/3,,@ Xicom,,,,6.6,,C Szkarlat080912,,False,Unitel (Greece)
4176 Vtp 24North America0,DVB-S44113/4,,Antenna Group,,,,5.5,BISS,D Dragos170724,https://www.lyngsat.com/providers/gr/Antenna-Group.html,True,Antenna Group
4176 Vtp 24North America0,DVB-S44113/4,,Ant1 Satellite,,MPEG-2/SD,516.0,701 Gre,BISS,,,False,Antenna Group
4176 Vtp 24North America0,DVB-S44113/4,,Easy 97.2,,,,702 Gre,BISS,,,False,Antenna Group
