Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
10970 Vtp 1BEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,,,6.6,Nagravision,C de Berazategui230727,,False,
10982 Htp 1AEK0West Latin America0,DVB-S2QPSK150002/3,,CANTV TV Satelital,,,,3.1,Tongfang,Edinho fta231120,,False,
11010 Vtp 2BEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,3-7,,6.6,Nagravision,C de Berazategui220422,,False,
11015 Htp 2AEK0West Latin America0,DVB-S2QPSK300002/3,,CANTV TV Satelital,,,,3.1,Tongfang,C de BerazateguiEdinho fta220714,,False,
11050 Vtp 3BEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,,,6.6,Nagravision,StarTVuser220603,,False,
11050 Vtp 3BEK0West Latin America0,DVB-S28PSK279002/3,600.0,Enlace,,MPEG-4/SD,1119.0,1111 Spa,,,,False,
11054 Htp 3AEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,,,6.6,Nagravision,C de Berazategui220915,,False,
11090 Vtp 4BEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,,,6.6,Nagravision,C de Berazategui220708,,False,
11130 Vtp 5BEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,,,6.6,Nagravision,C de Berazategui240303,,False,
11134 Htp 5AEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,,,6.6,Nagravision,Wilkherdasilva190423,,False,
11170 Vtp 6BEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,,,6.6,Nagravision,Edinho fta230615,,False,
11174 Htp 6AEK0West Latin America0,DVB-S28PSK279002/3,,Claro Americas Norte,,,,6.6,Nagravision,Wilkherdasilva190423,,False,
12220 HBrazil0,DVB-S298903/4,,Claro Brasil,,,,5.5,Nagravision,O Ponce240104,,False,
12240 VBrazil0,DVB-S28PSK298903/5,,Claro Brasil,,,,5.5,Nagravision,F Alisson230904,,False,
12260 HBrazil0,DVB-S28PSK298903/5,,Claro Brasil,,,,5.5,Nagravision,F Alisson230904,,False,
12280 VBrazil0,DVB-S28PSK298903/5,,Claro Brasil,,,,5.5,Nagravision,F Alisson230904,,False,
12300 HBrazil0,DVB-S28PSK298903/5,,Claro Brasil,,,,5.5,Nagravision,F Alisson230904,,False,
12320 VBrazil0,DVB-S299003/4,,Claro Brasil,,,,5.5,Nagravision,C de Berazategui230727,,False,
12340 HBrazil0,DVB-S29890,,Claro Brasil,,,,,Nagravision,F Alisson240108,,False,
12340 HBrazil0,DVB-S29890,850.0,Canal Claro promo,,MPEG-2/SD,4903.0,4901 Por,,,,False,
12360 VBrazil0,DVB-S28PSK29890,,Claro Brasil,,,,,Nagravision,F Alisson230904,,False,
12380 HBrazil0,DVB-S29890,,Claro Brasil,,,,,Nagravision,F Alisson221020,,False,
12400 VBrazil0,DVB-S28PSK29890,,Claro Brasil,,,,,Nagravision,F Alisson230904,,False,
12420 HBrazil0,DVB-S28PSK29890,,Claro Brasil,,,,,Verimatrix (B)Nagravision,F Alisson230904,,False,
12440 VBrazil0,DVB-S28PSK29890,,Claro Brasil,,,,,Nagravision,F Alisson230904,,False,
12460 HBrazil0,DVB-S229890,,Claro Brasil,,,,,Verimatrix (B)Nagravision,F Alisson230904,,False,
12480 VBrazil0,DVB-S229890,,Claro Brasil,,,,,Verimatrix (B)Nagravision,F Alisson230904,,False,
12500 HBrazil0,DVB-S29890,,Claro Brasil,,,,,Nagravision,F Alisson221020,,False,
12520 VBrazil0,DVB-S28PSK29890,,Claro Brasil,,,,,Nagravision,F Alisson230904,,False,
12540 HBrazil0,DVB-S29890,,Claro Brasil,,,,,Nagravision,F Alisson230904,,False,
12560 VBrazil0,DVB-S28PSK29890,,Claro Brasil,,,,,Verimatrix (B)Nagravision,F Alisson230904,,False,
12580 HBrazil0,DVB-S29890,,Claro Brasil,,,,,Nagravision,F Alisson230904,,False,
12580 HBrazil0,DVB-S29890,160.0,TV Justiça,,MPEG-2/SD,34.0,33 Por,,,,False,
12580 HBrazil0,DVB-S29890,161.0,TV Senado (Brazil),,MPEG-2/SD,38.0,32 Por,,,,False,
12580 HBrazil0,DVB-S29890,162.0,TV Câmara,,MPEG-2/SD,1783.0,1781 Por,,,,False,
12580 HBrazil0,DVB-S29890,164.0,TV Brasil,,MPEG-2/SD,43.0,40 Por,,,,False,
12580 HBrazil0,DVB-S29890,425.0,Canal Gov,,MPEG-2/SD,1903.0,1901 Por,,,,False,
12580 HBrazil0,DVB-S29890,852.0,Canal Claro promo,,MPEG-2/SD,1763.0,1761 Por,,,,False,
12600 VBrazil0,DVB-S28PSK298903/5,,Claro Brasil,,,,5.5,Nagravision,F Alisson230904,,False,
12600 VBrazil0,DVB-S28PSK298903/5,851.0,Now promo,,MPEG-4/HD,6813.0,6811 Por,,,,False,
12620 HBrazil0,DVB-S29890,,Claro Brasil,,,,,Nagravision,F Alisson230904,,False,
12640 VBrazil0,DVB-S29890,,Claro Brasil,,,,,Nagravision,F Alisson221116,,False,
12660 HBrazil0,DVB-S298903/5,,Claro Brasil,,,,,Nagravision,T Viererbe240103,,False,
12680 VBrazil0,DVB-S298903/5,,Claro Brasil,,,,,Nagravision,C de Berazategui211003,,False,
