Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
18327 Ltp 1,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18327 Rtp 2,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18367 Ltp 3,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18367 Rtp 4,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18407 Ltp 5,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18407 Rtp 6,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18447 Ltp 7,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18447 Rtp 8,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18487 Ltp 9,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18487 Rtp 10,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18527 Ltp 11,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18527 Rtp 12,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18567 Ltp 13,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18567 Rtp 14,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18607 Ltp 15,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18607 Rtp 16,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
18648 Rtp 18,DVB-S2D300002/3,,DirecTV USA,,,,,Videoguard,Anonymous071017,,False,
