Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
4104 Vtp 10BNorth America C0,DVB-S28PSK4143,,Saskatchewan mux,,,,,,Mike 4210108,,False,
4104 Vtp 10BNorth America C0,DVB-S28PSK4143,1.0,Citytv Saskatchewan,,MPEG-4/SD,35.0,34 Eng,,,,False,
4104 Vtp 10BNorth America C0,DVB-S28PSK4143,2.0,Saskatchewan Legislative Network,,MPEG-4/SD,33.0,32 Eng,,,,False,
4104 Vtp 10BNorth America C0,DVB-S28PSK4143,3.0,[Access Comm test card],,MPEG-4/SD,1793.0,1795 Eng,,,,False,
11728 Htp 17North America Ku,,,,,,,,,J Robson240228,,False,
11745 Vtp 2North America Ku,,,,,,,,,J Robson240228,,False,
11758 Htp 18North America Ku,,,,,,,,,J Robson240228,,False,
11819 Htp 20North America Ku,,,,,,,,,J Robson240228,,False,
11837 Vtp 5North America Ku,,,,,,,,,J Robson240228,,False,
11850 Htp 21North America Ku,,,,,,,,,J Robson240228,,False,
11880 Htp 22North America Ku,,,,,,,,,J Robson240228,,False,
11898 Vtp 7North America Ku,,,,,,,,,J Robson240228,,False,
11928 Vtp 8North America Ku,,,,,,,,,J Robson240228,,False,
11972 Htp 25North America Ku,,,,,,,,,J Robson240228,,False,
11989 Vtp 10North America Ku,,,,,,,,,J Robson240228,,False,
12002 Htp 26North America Ku,,,,,,,,,J Robson240228,,False,
12020 Vtp 11North America Ku,,,,,,,,,J Robson240228,,False,
12033 Htp 27North America Ku,,,,,,,,,J Robson240228,,False,
12050 Vtp 12North America Ku,,,,,,,,,J Robson240228,,False,
12063 Htp 28North America Ku,,,,,,,,,J Robson240228,,False,
12094 Htp 29North America Ku,,,,,,,,,J Robson240228,,False,
12142 Vtp 15North America Ku,,,,,,,,,J Robson240228,,False,
12155 Htp 31North America Ku,,,,,,,,,J Robson240228,,False,
12185 Htp 32North America Ku,,,,,,,,,J Robson240228,,False,
19776 LNorth America Ka,DVB-S Turbo150003/4,,@ Viasat,,,,,,R Hewitt060331,,False,
19794 LNorth America Ka,DVB-S Turbo150003/4,,@ Viasat,,,,,,R Hewitt060331,,False,
19814 LNorth America Ka,DVB-S Turbo150003/4,,@ Viasat,,,,,,R Hewitt060331,,False,
19905 LNorth America Ka,DVB-S Turbo225003/4,,@ Viasat,,,,,,R Hewitt060331,,False,
19932 LNorth America Ka,DVB-S Turbo225003/4,,@ Viasat,,,,,,R Hewitt060331,,False,
19966 LNorth America Ka,DVB-S Turbo150001/2,,@ Viasat,,,,,,R Hewitt060331,,False,
20002 LNorth America Ka,DVB-S Turbo150003/4,,@ Viasat,,,,,,R Hewitt060331,,False,
