Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
12316 HIndonesia,DVB-S28PSK75003/4,,Metra TV,,,,7.9,,Albert I220809,https://www.lyngsat.com/providers/id/Metra-TV.html,True,Metra TV
12316 HIndonesia,DVB-S28PSK75003/4,1.0,TVRI Nasional,,MPEG-4/SD,580.0,680 Ind,,,,False,Metra TV
12316 HIndonesia,DVB-S28PSK75003/4,2.0,Metro TV (Indonesia),,MPEG-4/SD,581.0,681 Ind,,,,False,Metra TV
12316 HIndonesia,DVB-S28PSK75003/4,3.0,Usee Prime,,MPEG-4/SD,582.0,682 Ind,,,,False,Metra TV
12316 HIndonesia,DVB-S28PSK75003/4,4.0,Ruang Trampil,,MPEG-4/SD,583.0,683 Ind,,,,False,Metra TV
12316 HIndonesia,DVB-S28PSK75003/4,5.0,Indonesiana TV,,MPEG-4/HD,584.0,684 Ind,,,,False,Metra TV
12316 HIndonesia,DVB-S28PSK75003/4,8.0,Indonesiana TV,,MPEG-4/HD,504.0,604 Ind,,,,False,Metra TV
12316 HIndonesia,DVB-S28PSK75003/4,6.0,Usee Photo,,MPEG-4/SD,410.0,420 Ind,,,,False,Metra TV
12316 HIndonesia,DVB-S28PSK75003/4,7.0,IndiHome Shopping,,MPEG-4/SD,510.0,520 Ind,,,,False,Metra TV
12560 HIndonesia,DVB-S28PSK100003/5,,Transvision,,,,5.5,Irdeto,Bulek Sps190827,,False,Metra TV
