Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
11493 V,DVB-S28PSK432005/6,,Ddish TV,,511-2,,9.4,NagravisionTongfang,Anonymous200904,,False,
11553 V,DVB-S28PSK432005/6,,Ddish TV,,,,9.4,NagravisionTongfang,Albert I230930,,False,
11613 V,DVB-S28PSK432005/6,,Ddish TV,,511-3,,9.4,NagravisionTongfang,Albert I230930,,False,
11654 V,DVB-S28PSK140003/5,,Ddish TV,,512-4,,5.5,NagravisionTongfang,Anonymous200904,,False,
11493 V,DVB-S28PSK432005/6,1001.0,MNB,,MPEG-4/HD,1001.0,1002 Mon,,,,False,
11493 V,DVB-S28PSK432005/6,1036.0,BBS TV (Mongolia),,MPEG-4/SD,4220.0,4217 Mon,,,,False,
12270 VNE Asia0,DVB-S28PSK300003/4,,G Sat,,,,7.9,Conax,Albert I230930,,False,
12310 VNE Asia0,DVB-S28PSK300003/4,,G Sat,,,,7.9,Conax,Albert I240201,,False,
12303 HSouth Asia,DVB-S28PSK10203/5,,(feeds),,,,,,N Stanislav211018,,False,
12306 HSouth Asia,DVB-S28PSK11005/6,,(feeds),,,,,,N Stanislav211018,,False,
12311 HSouth Asia,DVB-S2QPSK10005/6,,(feeds),,,,,,N Stanislav211018,,False,
12312 HSouth Asia,DVB-S2QPSK10305/6,,(feeds),,,,,,N Stanislav211018,,False,
12315 HSouth Asia,DVB-S28PSK10605/6,,(feeds),,,,,,N Stanislav211028,,False,
12317 HSouth Asia,DVB-S28PSK20003/4,,(feeds),,,,,,N Stanislav211104,,False,
12383 HNE Asia,DVB-S28PSK45005/6,,(feeds),,,,,BISS,T Kameda191213,,False,
12310 VNE Asia0,DVB-S28PSK300003/4,1.0,G Sat promo,,MPEG-4/SD,1001.0,1002 Tgl,,,,False,
12310 VNE Asia0,DVB-S28PSK300003/4,2.0,One Media Network,,MPEG-4/SD,1006.0,1007 Eng,,,,False,
12354 HNE Asia,DVB-S33335/6,,(LG feeds),,,,,BISS,T Kameda180201,,False,
12359 HNE Asia,DVB-S216APSK44003/4,,(MBN feeds),,,,,,T Kameda180127,,False,
12623 HSouth Korea,DVB-S216APSK44003/4,,(MBN feeds),,,,,,T Kameda181115,,False,
12470 VNE Asia0,DVB-S28PSK300002/3,,American Forces Network,,,,6.6,PowerVuVerimatrix,Anonymous220801,https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,,American Forces Network,,,,6.6,PowerVuVerimatrix,Anonymous220801,https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,,American Forces Network,,18-101,,6.6,PowerVuVerimatrix,T Kameda210130,https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,,American Forces Network,,18-101,,6.6,PowerVuVerimatrix,T Kameda210130,https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,2.0,AFN Prime Atlantic,,MPEG-4/HD,1260.0,1220 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,2.0,AFN Prime Atlantic,,MPEG-4/HD,1260.0,1220 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,3.0,AFN News,,MPEG-4/HD,1560.0,1520 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,3.0,AFN News,,MPEG-4/HD,1560.0,1520 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,4.0,AFN Sports,,MPEG-4/HD,1160.0,1120 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,4.0,AFN Sports,,MPEG-4/HD,1160.0,1120 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,5.0,AFN Prime Pacific,,MPEG-4/HD,1460.0,1422 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,5.0,AFN Prime Pacific,,MPEG-4/HD,1460.0,1422 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,6.0,AFN Spectrum,,MPEG-4/HD,1360.0,1320 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,6.0,AFN Spectrum,,MPEG-4/HD,1360.0,1320 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,7.0,AFN Sports 2,,MPEG-4/HD,1660.0,1622 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,7.0,AFN Sports 2,,MPEG-4/HD,1660.0,1622 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,8.0,AFN Family,,MPEG-4/HD,1960.0,1920 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,8.0,AFN Family,,MPEG-4/HD,1960.0,1920 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,9.0,AFN Movie,,MPEG-4/HD,1060.0,1020 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,9.0,AFN Movie,,MPEG-4/HD,1060.0,1020 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,401.0,[test card],,MPEG-2/SD,1760.0,.720,,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,401.0,[test card],,MPEG-2/SD,1760.0,1720,,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,402.0,[American Forces Network test card],,MPEG-4/HD,1860.0,1820,,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,402.0,[American Forces Network test card],,MPEG-4/HD,1860.0,1820,,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,20.0,AFN The Eagle Pacific,,,,1732 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,20.0,AFN The Eagle Pacific,,,,1732 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,21.0,AFN The Voice,,,,1122 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,21.0,AFN The Voice,,,,1122 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,22.0,AFN PowerTalk,,,,1222 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,22.0,AFN PowerTalk,,,,1222 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,23.0,AFN Clutch,,,,1322 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,23.0,AFN Clutch,,,,1322 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,24.0,AFN Fans,,,,1424 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,401.0,AFN Fans,,,,1720 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,24.0,AFN Fans,,,,1424 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,401.0,AFN Fans,,,,1720 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,25.0,AFN The Blend,,,,1524 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,25.0,AFN The Blend,,,,1524 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,26.0,AFN Legacy,,,,1624 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,26.0,AFN Legacy,,,,1624 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,27.0,AFN's Joe Radio,,,,1722 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,27.0,AFN's Joe Radio,,,,1722 Eng,PowerVuVerimatrix,,,False,American Forces Network
12470 VNE Asia0,DVB-S28PSK300002/3,28.0,AFN Gravity,,,,1822 Eng,PowerVuVerimatrix,,,False,American Forces Network
12590 VNE Asia0,DVB-S28PSK300002/3,28.0,AFN Gravity,,,,1822 Eng,PowerVuVerimatrix,,,False,American Forces Network
