Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
11568 Htp ICHD22Indo China,DVB-S33402/3,1.0,CGN TV,,?-?MPEG-2/SD,308.0,4.4 256 Kor,,Bulek Sps210316,,False,
11605 Htp ICHD23Indo China,DVB-S33402/3,1.0,CGN TV,,?-?MPEG-2/SD,308.0,4.4 256 Kor,,Bulek Sps210316,,False,
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,,Freesat,,?-1,,6.6,,Er Balvinder240328,https://www.lyngsat.com/providers/lk/Freesat.html,True,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,1.0,Freesat promo,,HEVC/SD,2001.0,3001,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,2.0,Sri Dalada Maligawa,,HEVC/SD,2002.0,3002,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,3.0,Rupavahini,,HEVC/SD,2003.0,3003 Sin,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,4.0,Nethra TV,,HEVC/SD,2004.0,3004 Tam,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,5.0,ITN (Sri Lanka),,HEVC/SD,2005.0,3005 Sin,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,6.0,Vasantham TV,,HEVC/SD,2006.0,3006 Tam,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,7.0,TNL TV,,HEVC/SD,2007.0,3007,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,8.0,Sirasa TV,,HEVC/SD,2008.0,3008 Sin,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,9.0,Shakthi TV,,HEVC/SD,2009.0,3009 Tam,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,10.0,TV 1 (Sri Lanka),,HEVC/SD,2010.0,3010,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,11.0,Swarnavahini,,HEVC/SD,2011.0,3011 Sin,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,12.0,TV Derana,,HEVC/HD,2012.0,3012,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,13.0,Ada Derana 24,,HEVC/SD,2013.0,3013,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,14.0,Siyatha TV,,HEVC/SD,2014.0,3014 Sin,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,15.0,Star Tamil TV,,HEVC/SD,2015.0,3015 Tam,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,16.0,Hiru TV,,HEVC/SD,2016.0,3016 Sin,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,17.0,Supreme TV,,HEVC/HD,2017.0,3017 Sin,Unicas,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,18.0,The Buddhist TV,,HEVC/SD,2018.0,3018 Sin,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,19.0,[Freesat test card],,HEVC/SD,2019.0,3019,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,23.0,[Freesat test card],,HEVC/SD,2023.0,3023,,,,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,24.0,[Freesat test card],,HEVC/SD,2108.0,3108,,,,False,Freesat
