Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
3750 VC,DVB-S29003/4,1.0,DD Uttarakhand,,?-?MPEG-2/SD,522.0,5.5 650 Hin,,J Horváth200712,,False,
3753 VC,DVB-S29003/4,,DD Chhattisgarh,,MPEG-2/SD,308.0,5.5 256 Hin,,M Hajdú191020,,False,
3757 VC,DVB-S29003/4,,DD Jharkhand,,MPEG-2/SD,308.0,5.5 256 Hin,,M Hajdú191020,,False,
3765 VC,DVB-S29003/4,,(DD feeds),,,,,,N Stanislav220731,,False,
3774 VC,DVB-S29003/4,,(DD feeds),,,,,,M Hajdú201118,,False,
3885 VC,DVB-S28PSK300003/4,12.0,(DD feeds),,,523.0,662,,,,False,
3885 VC,DVB-S28PSK300003/4,13.0,(DD feeds),,,524.0,663,,,,False,
3769 VC,DVB-S29003/4,1.0,DD Haryana,,65535-1MPEG-2/SD,308.0,5.5 256 Hin,,F Dibba210514,,False,
3832 VC,DVB-S28PSK30003/4,,Gyandarshan 1,,,,7.9,,N Stanislav231029,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,1.0,Gyandarshan 1,,MPEG-4/HD,50.0,53 Hin,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,2.0,Gyandarshan 1,,MPEG-4/SD,55.0,54 Hin,,,https://www.lyngsat.com/providers/in/Gyandarshan-1.html,True,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,3.0,[test card],,MPEG-4/SD,258.0,35,,,,False,Gyandarshan 1
4073 VC,DVB-S28PSK96003/4,6.0,[test card],,MPEG-4/SD,802.0,803,,,,False,Gyandarshan 1
3832 VC,DVB-S28PSK30003/4,4.0,Gyanvani,,,,49,,,,False,Gyandarshan 1
3842 VC,DVB-S28PSK11003/4,,(feeds),,,,,,DX Bozóth190524,,False,Gyandarshan 1
3845 VC,DVB-S28PSK11003/4,,(feeds),,,,,,DX Bozóth190524,,False,Gyandarshan 1
4030 VC,DVB-S28PSK72003/4,,(feeds),,,,,,N Stanislav230119,,False,Gyandarshan 1
4040 VC,DVB-S28PSK72003/4,,(feeds),,,,,,N Stanislav230119,,False,Gyandarshan 1
4050 VC,DVB-S28PSK72003/4,,(feeds),,,,,,N Stanislav230119,,False,Gyandarshan 1
4060 VC,DVB-S28PSK72003/5,,(feeds),,,,,,N Stanislav231202,,False,Gyandarshan 1
3861 VC,DVB-S28PSK39743/5,,Kanak Teleport,,0-1,,5.5,,N Stanislav240211,https://www.lyngsat.com/providers/in/Kanak-Teleport.html,True,Kanak Teleport
3861 VC,DVB-S28PSK39743/5,1.0,Kanak News,,MPEG-4/SD,37.0,39 Ori,,,,False,Kanak Teleport
3861 VC,DVB-S28PSK39743/5,2.0,Manjari TV,,MPEG-4/SD,47.0,49 Ori,,,,False,Kanak Teleport
3861 VC,DVB-S28PSK39743/5,3.0,Anaadi TV,,MPEG-4/SD,57.0,59,,,,False,Kanak Teleport
3861 VC,DVB-S28PSK39743/5,4.0,Naxatra News Hindi,,MPEG-4/SD,67.0,69 Hin,,,,False,Kanak Teleport
3885 VC,DVB-S28PSK300003/4,,Doordarshan,,65535-0,,7.9,,Robiul230905,https://www.lyngsat.com/providers/in/Doordarshan.html,True,Doordarshan
3885 VC,DVB-S28PSK300003/4,1.0,DD National,,MPEG-4/SD,512.0,640 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,9.0,DD National,,MPEG-4/HD,520.0,648 Hin 649 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,2.0,DD News,,MPEG-4/SD,513.0,641 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,10.0,DD News,,MPEG-4/HD,521.0,650 Hin 651 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,3.0,DD Bharati,,MPEG-4/SD,514.0,642 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,4.0,DD Kisan,,MPEG-4/SD,515.0,643,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,5.0,DD Urdu,,MPEG-4/SD,516.0,644 Urd,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,6.0,DD Sports,,MPEG-4/SD,517.0,645 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,14.0,DD Sports,,MPEG-4/HD,525.0,664 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,7.0,Sansad TV,,MPEG-4/SD,518.0,646 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,15.0,Sansad TV,,MPEG-4/HD,526.0,665 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,8.0,Prasar Bharati News Services,,MPEG-4/SD,519.0,647,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,11.0,DD India,,MPEG-4/HD,522.0,661 Hin,,,,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,16.0,DD India,,MPEG-4/SD,527.0,666 Hin,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,,,,,,6.6,,N Stanislav231125,,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,,,,1-1,,7.9,Irdeto,N Stanislav220626,,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,,,,,,7.9,,N Stanislav220731,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,1.0,Subhavaartha TV,,MPEG-4/SD,101.0,102 Tel,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,2.0,Nambikkai TV,,MPEG-4/SD,201.0,202,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,3.0,Shalini TV,,MPEG-4/SD,301.0,302 Tam,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,4.0,Imayam TV,,MPEG-4/SD,401.0,402 Tam,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,5.0,Ayush TV,,MPEG-4/SD,501.0,502,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,6.0,NKR TV,,MPEG-4/SD,601.0,602 Kan,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,7.0,MK TV (India),,MPEG-4/SD,701.0,702 Tam,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,8.0,MK Tunes,,MPEG-4/SD,801.0,802,,,,False,Doordarshan
3954 VC,DVB-S28PSK115722/3,9.0,MK Six,,MPEG-4/SD,901.0,902,,,,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,1.0,Tarang TV,,MPEG-4/SD,102.0,103 Ori,Irdeto,,,False,Doordarshan
