Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
10970 Htp 1HSE Asia,DVB-S28PSK300002/3,,TrueVisions,,,,6.6,IrdetoVideoguard,Albert I230930,,False,
11010 Htp 2HSE Asia,DVB-S28PSK30000,,TrueVisions,,,,,BISSIrdetoVideoguard,Kinse 615230723,,False,
11050 Htp 3HSE Asia,DVB-S300005/6,,TrueVisions,,,,6.5,BISSIrdetoVideoguard,NHMPlay240115,,False,
11050 Htp 3HSE Asia,DVB-S300005/6,2250.0,Wat Pa Phu Pha Sung,,,,1040 Tha,,,,False,
11090 Htp 4HSE Asia,DVB-S28PSK300003/5,,TrueVisions,,,,5.5,IrdetoVideoguard,NHMPlay221103,,False,
11114 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230828,,False,
11116 H,DVB-S28PSK16653/4,,(feeds),,,,,,N Stanislav230828,,False,
11118 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230830,,False,
11121 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230830,,False,
11130 Htp 5HSE Asia,DVB-S28PSK300002/3,,TrueVisions,,,,6.6,IrdetoVideoguard,NHMPlay240103,,False,
11147 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230828,,False,
11153 H,DVB-S28PSK25003/4,1.0,Alkafeel TV,,?-?MPEG-4/HD,512.0,7.941.2 Ara,,N Stanislav240323,,False,
11157 H,DVB-S25005/6,,(feeds),,,,,,N Stanislav240317,,False,
11160 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav240317,,False,
11164 H,DVB-S28PSK16403/4,,(feeds),,,,,,DX Bozóth230920,,False,
11166 H,DVB-S28PSK16403/4,,(feeds),,,,,,DX Bozóth230920,,False,
11170 Htp 6HSE Asia,DVB-S28PSK300003/5,,TrueVisions,,,,5.5,IrdetoVideoguard,Kinse 615231001,,False,
11173 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav230828,,False,
11176 H,DVB-S28PSK25003/4,,(feeds),,,,,,DX Bozóth240312,,False,
11183 H,DVB-S25003/4,,(feeds),,,,,,DX Bozóth240312,,False,
11186 H,DVB-S28PSK25005/6,,(feeds),,,,,,N Stanislav240317,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,,Cambodian DTH UHD,,,,7.9,Neotion SHL,Kinse 615230819,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1150.0,Radio FM 96,,,,1450 Khm,,,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1151.0,D Radio 1,,,,1451 Khm,,,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1154.0,ABC Cambodia,,,,1454 Khm,,,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1155.0,RNK FM,,,,1455 Khm,,,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1157.0,D Radio 2,,,,1457 Khm,,,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1158.0,Royal Cambodia Armed Forces Radio FM 98,,,,1458 Khm,,,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1159.0,D Radio 3,,,,1459 Khm,,,,False,
11480 Htp 7HSE Asia,DVB-S28PSK300003/4,1160.0,Tonle Radio Station,,,,1460 Khm,,,,False,
11520 Htp 8HSE Asia,DVB-S28PSK300002/3,,TrueVisions,,,,6.6,IrdetoVideoguard,Kinse 615231001,,False,
11560 Htp 9HSE Asia,DVB-S300003/4,,TrueVisions,,,,5.5,BISSIrdetoVideoguard,Kinse 615220801,,False,
11640 Htp 11HSE Asia,DVB-S28PSK300002/3,,TrueVisions,,,,6.6,IrdetoVideoguard,Kinse 615231001,,False,
11680 Htp 12HSE Asia,DVB-S28PSK300002/3,,Good TV,,,,6.6,BISSIrdetoNeotion SHLVideoguard,TTN World240201,,False,
