Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
11728 Vtp SF13KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-26,,6.6,Irdeto,Anonymous221105,,False,
11728 Htp SF14KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-32,,6.6,Irdeto,Anonymous230830,,False,
11768 Vtp SF15KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-27,,6.6,,Anonymous210812,,False,
11768 Vtp SF15KSouth Africa,DVB-S28PSK300002/3,2710.0,[Nano VOD test card],,MPEG-4/HD,3065.0,3066.0,,,,False,
11768 Htp SF16KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-33,,6.6,Irdeto,Anonymous231001,,False,
11808 Vtp SF17KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-30,,6.6,Irdeto,Anonymous231106,,False,
11808 Htp SF18KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-34,,6.6,Irdeto,Anonymous230128,,False,
11848 Vtp SF19KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-31,,6.6,Irdeto,J Robinson220917,,False,
11848 Htp SF20KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-35,,6.6,Irdeto,Anonymous230925,,False,
11888 Vtp SF21KSouth Africa,DVB-S300005/6,,DSTV South Africa,,6144-28,,6.5,Irdeto,Anonymous231222,,False,
11888 Htp SF22KSouth Africa,DVB-S28PSK300002/3,,DSTV South Africa,,6144-36,,6.6,Irdeto,Anonymous221220,,False,
11928 Vtp SF23KSouth Africa,DVB-S300005/6,,DSTV South Africa,,6144-?,,6.5,Irdeto,Anonymous240203,,False,
