Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
3834 Vtp 6AA Even,DVB-S28PSK29242/3,,(feeds),,,,,,T Kameda170206,,False,
3888 Vtp 10AA Even,DVB-S66663/4,,(feeds),,,,,,C Sutton191130,,False,
3897 Vtp 10AA Even,DVB-S44443/4,,(feeds),,,,,,Bulek Sps180925,,False,
3913 Vtp 10AA Even,DVB-S28PSK85503/4,,,,,,7.9,Irdeto,C Sutton170719,,False,
3913 Vtp 10AA Even,DVB-S28PSK85503/4,8050.0,Fix & Foxi,,MPEG-4/SD,8052.0,8054 Eng8055 Ara8056 Ger,Irdeto,,,False,
3913 Vtp 10AA Even,DVB-S28PSK85503/4,8060.0,Rotana Music,,MPEG-2/SD,8062.0,8064 Ara,Irdeto,,,False,
3913 Vtp 10AA Even,DVB-S28PSK85503/4,8070.0,Rotana Cinema KSA,,MPEG-2/SD,8072.0,8074 Ara,Irdeto,,,False,
3913 Vtp 10AA Even,DVB-S28PSK85503/4,8080.0,Alresalah TV,,MPEG-2/SD,8082.0,8084 Ara,Irdeto,,,False,
3965 VA Even,DVB-S44443/4,,(feeds),,,,,,C Sutton220510,,False,
3971 VA Even,DVB-S44443/4,,(feeds),,,,,,C Sutton220510,,False,
3977 VA Even,DVB-S44443/4,,(feeds),,,,,,C Sutton220510,,False,
12696 Vtp 7NNorthern,DVB-S100001/2,4010.0,Trace Sport Stars,,100-2MPEG-4/HD,4013.0,2.74014 Eng4045 Eng,,T Kameda150117,,False,
