Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3608 Ltp 5AC Fixed0,,RTRS Stavropol,8835-2,,,https://www.lyngsat.com/providers/ru/RTRS-Stavropol.html,True,RTRS Stavropol,P 1,,DVB-S2,,3608 L
3608 Ltp 5AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3608 L
3615 Ltp 5AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3615 L
3622 Ltp 5AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3622 L
3628 Ltp 5AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3628 L
3635 Ltp 5AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3635 L
3643 Ltp 5AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3643 L
3665 Ltp 6AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3665 L
3709 Ltp 7AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3709 L
3715 Ltp 7AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3715 L
3722 Ltp 7AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3722 L
3728 Ltp 7AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3728 L
3735 Ltp 7AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3735 L
3758 Ltp 8AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3758 L
3765 Ltp 8AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3765 L
3772 Ltp 8AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3772 L
3778 Ltp 8AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3778 L
3785 Ltp 8AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3785 L
3792 Ltp 8AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3792 L
3808 Ltp 9AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3808 L
3815 Ltp 9AC Fixed0,1020.0,Rossiya 1,MPEG-4/SD,1021.0,GoSTcrypt,,False,RTRS Stavropol,P 1,,DVB-S2,Rus,3815 L
