Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
10996 Vtp B2Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,10996 V
11005 Vtp B2Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11005 V
11014 Vtp B2Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11014 V
11018 Htp B1Eurasia,,(feeds),,,,,False,,3/4,2000,DVB-S2,,11018 H
11026 Vtp B2Eurasia,,(feeds),,,,,False,,5/6,3333,DVB-S2,,11026 V
11042 Htp B3Eurasia,,(feeds),,,,,False,,3/4,27200,DVB-S2,,11042 H
11043 Vtp B4Eurasia,,(feeds),,,,,False,,3/4,27200,DVB-S2,,11043 V
11051 Htp B3Eurasia,,(feeds),,,,,False,,3/4,27200,DVB-S2,,11051 H
11052 Vtp B4Eurasia,,(feeds),,,,,False,,3/4,27200,DVB-S2,,11052 V
11061 Vtp B4Eurasia,,(feeds),,,,,False,,3/4,27200,DVB-S2,,11061 V
11070 Htp B3Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11070 H
11072 Vtp B4Eurasia,,(feeds),,,,,False,,3/4,2333,DVB-S2,,11072 V
11079 Htp B3Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11079 H
11095 Htp B3Eurasia,,(feeds),,,,,False,,3/4,3650,DVB-S2,,11095 H
11111 Htp B3Eurasia,,(feeds),,,,,False,,3/4,3000,DVB-S2,,11111 H
11127 Vtp B6Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11127 V
11136 Htp B5Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11136 H
11136 Vtp B6Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11136 V
11145 Htp B5Eurasia,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11145 H
