Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
10975 Htp 2KAfrica Ku,,UAU!TV,1-2,,Videoguard,https://www.lyngsat.com/providers/ao/UAUTV.html,True,UAU!TV,/10,00009,DVB-S2,,10975 H
10975 Htp 2KAfrica Ku,1.0,TPA 1,MPEG-4/SD,1001.0,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,2.0,TPA 2,MPEG-4/SD,1011.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,3.0,RTP África,MPEG-4/SD,1021.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,4.0,RTP Internacional Europa,MPEG-4/SD,1031.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,5.0,Record TV Europa,MPEG-4/SD,1041.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,6.0,Band Internacional,MPEG-4/SD,1051.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,7.0,TV Zimbo,MPEG-4/SD,1061.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,8.0,Band News,MPEG-4/SD,1071.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,9.0,AMC Portugal,MPEG-4/SD,1081.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,10.0,Afro Music Channel,MPEG-4/SD,1091.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,11.0,Woohoo,MPEG-4/SD,1101.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,12.0,Afro Music Pop,MPEG-4/SD,1111.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,13.0,Record News,MPEG-4/SD,1121.0,Videoguard,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,15.0,UAU!TV promo,MPEG-4/SD,1141.0,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,16.0,Ango TV,MPEG-4/SD,1151.0,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,19.0,Rádio Escola,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,20.0,Canal A,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,21.0,Rádio 5,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,22.0,Luanda Antena Comercial,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,23.0,FM Estéreo,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,24.0,Rádio Ecclesia,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,25.0,Rádio Mais,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,26.0,Rádio Luanda,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,27.0,Ngola Yetu,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,28.0,Rádio Viana,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
10975 Htp 2KAfrica Ku,29.0,Rádio Cazenga,,,,,False,UAU!TV,/10,00009,DVB-S2,Por,10975 H
