Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
10958 HFSS,,(feeds),,,,,False,,1/2,8000,DVB-S2,,10958 H
10971 VFSS,,(feeds),,,,,False,,1/2,7833,DVB-S2,,10971 V
11000 VFSS,,(feeds),,,,,False,,5/6,2500,DVB-S2,,11000 V
11022 VFSS,,(feeds),,,,,False,,5/6,2500,DVB-S2,,11022 V
11038 VFSS,,(feeds),,,,,False,,5/6,2500,DVB-S2,,11038 V
11068 VFSS,,(feeds),,,,,False,,2/3,2000,DVB-S2,,11068 V
11078 VFSS,,(feeds),,,,,False,,5/6,2500,DVB-S2,,11078 V
11103 VFSS,,(feeds),,,,,False,,3/4,2500,DVB-S2,,11103 V
11113 VFSS,,(feeds),,,,,False,,3/4,2000,DVB-S2,,11113 V
11114 HFSS,,(feeds),,,,,False,,3/4,24167,DVB-S2,,11114 H
11115 VFSS,,(feeds),,,,,False,,3/4,1660,DVB-S2,,11115 V
11118 HFSS,,(feeds),,,,,False,,5/6,23333,DVB-S2,,11118 H
11126 VFSS,,(feeds),,,,,False,,3/4,5000,DVB-S2,,11126 V
11142 HFSS,,(feeds),,,,,False,,5/6,4167,DVB-S2,,11142 H
11152 HFSS,,(feeds),,,,,False,,5/6,22740,DVB-S2,,11152 H
11155 VFSS,,(feeds),,,,,False,,3/4,26666,DVB-S2,,11155 V
11157 HFSS,,(feeds),,,,,False,,5/6,25480,DVB-S2,,11157 H
11163 VFSS,,(feeds),,,,,False,,3/4,26666,DVB-S2,,11163 V
11168 HFSS,,(feeds),,,,,False,,5/6,5480,DVB-S2,,11168 H
11180 VFSS,,(feeds),,,,,False,,3/4,6666,DVB-S2,,11180 V
11182 HFSS,,(feeds),,,,,False,,3/4,9875,DVB-S2,,11182 H
11185 VFSS,,(feeds),,,,,False,,5/6,2500,DVB-S2,,11185 V
11189 VFSS,,(feeds),,,,,False,,5/6,2400,DVB-S2,,11189 V
11671 VFSS,,(feeds),,,,,False,,3/4,6666,DVB-S2,,11671 V
11683 VFSS,,(feeds),,,,,False,,3/4,2500,DVB-S2,,11683 V
11686 VFSS,,(feeds),,,,,False,,3/4,2100,DVB-S2,,11686 V
11590 VFSS,,Sharjah Broadcasting Authority,,,,https://www.lyngsat.com/providers/ae/Sharjah-Broadcasting-Authority.html,True,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,,11590 V
11590 VFSS,1.0,Sharjah TV,MPEG-4/HD,100.0,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara,11590 V
11590 VFSS,2.0,Sharjah TV,MPEG-2/SD,310.0,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara,11590 V
11590 VFSS,3.0,Sharqiya TV,MPEG-4/HD,64.0,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara,11590 V
11590 VFSS,4.0,Sharqiya TV,MPEG-2/SD,330.0,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara,11590 V
11590 VFSS,5.0,Al Wousta TV,MPEG-4/HD,350.0,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara,11590 V
11590 VFSS,6.0,Sharjah Sports,MPEG-4/HD,200.0,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara Eng,11590 V
11590 VFSS,7.0,Sharjah Sports,MPEG-2/SD,320.0,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara Eng,11590 V
11590 VFSS,9.0,Sharjah Radio,,,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara,11590 V
11590 VFSS,10.0,Sharjah Quran,,,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara,11590 V
11590 VFSS,11.0,Pulse 95,,,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Eng,11590 V
11590 VFSS,12.0,Watar FM,,,,,False,Sharjah Broadcasting Authority,5/6,27500,DVB-S2,Ara,11590 V
11680 VFSS,1.0,Al Jadeed,?-?MPEG-4/HD,512.0,,,False,Sharjah Broadcasting Authority,3/4,2850,DVB-S2,Ara,11680 V
