Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
11305 Htp 109UK0,,Sky UK,2-2109,,,,False,,2/3,27500,DVB-S2,,11305 H
11306 Vtp 110UK0,,Sky UK,2-2110,,,,False,,5/6,27500,DVB-S2,,11306 V
11344 Htp 111UK0,,Sky UK,2-2111,,Videoguard,,False,,5/6,27500,DVB-S2,,11344 H
11344 Vtp 112UK0,,Sky UK,2-2112,,,,False,,5/6,27500,DVB-S2,,11344 V
12110 Htp 21Europe Ku0,,Sky UK,2-2020,,Videoguard,,False,,2/3,27500,DVB-S2,,12110 H
12129 Vtp 22UK0,,Sky UK,2-2022,,,,False,,5/6,27500,DVB-S2,,12129 V
12148 Htp 23Europe Ku0,,Sky UK,2-2023,,Videoguard,,False,,5/6,27500,DVB-S2,,12148 H
12168 Vtp 24UK0,,Sky UK,2-2024,,,,False,,2/3,27500,DVB-S2,,12168 V
12188 Htp 25Europe Ku0,,Sky UK,2-2025,,Videoguard,,False,,2/3,27500,DVB-S2,,12188 H
12207 Vtp 26Europe Ku0,,Sky UK,2-2026,,Videoguard,,False,,2/3,27500,DVB-S2,,12207 V
12226 Htp 27UK0,,Sky UK,2-2027,,Videoguard,,False,,2/3,27500,DVB-S2,,12226 H
12246 Vtp 28Europe Ku0,,Sky UK,2-2028,,Videoguard,,False,,2/3,27500,DVB-S2,,12246 V
12266 Htp 29Europe Ku0,,Sky UK,2-2029,,Videoguard,,False,,2/3,27500,DVB-S2,,12266 H
12285 Vtp 30Europe Ku0,,Sky UK,2-2030,,Videoguard,,False,,2/3,27500,DVB-S2,,12285 V
12324 Vtp 32Europe Ku0,,Sky UK,2-2032,,Videoguard,,False,,2/3,27500,DVB-S2,,12324 V
12382 Htp 35UK0,,Sky UK,2-2035,,Videoguard,,False,,5/6,27500,DVB-S2,,12382 H
11305 Htp 109UK0,2101.0,Channel 5 (UK),MPEG-2/SD,2335.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11305 Htp 109UK0,2108.0,Channel 5 (UK),MPEG-4/HD,2349.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11305 Htp 109UK0,2102.0,5 USA,MPEG-2/SD,2323.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11305 Htp 109UK0,2103.0,5 USA +1,MPEG-2/SD,2329.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11305 Htp 109UK0,2104.0,5 Star,MPEG-2/SD,2305.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11305 Htp 109UK0,2105.0,5 Select,MPEG-2/SD,2317.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11305 Htp 109UK0,2106.0,5 Star +1,MPEG-2/SD,2311.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11305 Htp 109UK0,2107.0,Channel 5 +1,MPEG-2/SD,2341.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11305 Htp 109UK0,2109.0,5 Action,MPEG-2/SD,2353.0,,,False,,2/3,27500,DVB-S2,Eng,11305 H
11306 Vtp 110UK0,53300.0,Great! Movies Ireland,MPEG-2/SD,2308.0,,,False,,5/6,27500,DVB-S2,Eng,11306 V
11306 Vtp 110UK0,53305.0,Great! TV Ireland,MPEG-2/SD,2304.0,,,False,,5/6,27500,DVB-S2,Eng,11306 V
11306 Vtp 110UK0,53310.0,Great! Action,MPEG-2/SD,2306.0,,,False,,5/6,27500,DVB-S2,Eng,11306 V
11306 Vtp 110UK0,53315.0,Great! Movies UK,MPEG-2/SD,2349.0,,,False,,5/6,27500,DVB-S2,Eng,11306 V
11306 Vtp 110UK0,53320.0,Great! Romance,MPEG-2/SD,2313.0,,,False,,5/6,27500,DVB-S2,Eng,11306 V
