Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
10721 Vtp AWW2West49-50,,,126-2578,,,,False,,3/4,27500,DVB-S2,,10721 V
10721 Vtp AWW2West49-50,14001.0,Iranefarda TV,MPEG-2/SD,1410.0,,,False,,3/4,27500,DVB-S2,Per,10721 V
10721 Vtp AWW2West49-50,14002.0,News of the World,MPEG-4/HD,1421.0,,,False,,3/4,27500,DVB-S2,Eng,10721 V
10721 Vtp AWW2West49-50,13907.0,BBC World Service English Europe,,,,,False,,3/4,27500,DVB-S2,Eng,10721 V
10721 Vtp AWW2West49-50,13909.0,BBC World Service English Australasia,,,,,False,,3/4,27500,DVB-S2,Eng,10721 V
10721 Vtp AWW2West49-50,13910.0,BBC World Service English News,,,,,False,,3/4,27500,DVB-S2,Eng,10721 V
10721 Vtp AWW2West49-50,13916.0,BBC World Service Arabic,,,,,False,,3/4,27500,DVB-S2,Ara,10721 V
10721 Vtp AWW2West49-50,13943.0,BBC World Service Afghanistan,,,,,False,,3/4,27500,DVB-S2,,10721 V
10721 Vtp AWW2West49-50,14000.0,La Radio Plus,,,,,False,,3/4,27500,DVB-S2,,10721 V
10762 Vtp AWW4West,,(Telstra feeds),,,,,False,,5/6,28800,DVB-S2,,10762 V
10971 Htp GAA01Africa0,,Azam TV,126-60400,,Nagravision,,False,,2/3,30000,DVB-S2,,10971 H
10981 Vtp GAA02Africa0,,Azam TV,126-60302,,Nagravision,,False,,5/6,45000,DVB-S2,,10981 V
11044 Vtp GAA04Africa0,,Azam TV,126-60100,,Nagravision,,False,,5/6,45000,DVB-S2,,11044 V
11106 Vtp GAA06Africa0,,Azam TV,126-60301,,Nagravision,,False,,5/6,45000,DVB-S2,,11106 V
10981 Vtp GAA02Africa0,14.0,Africa TV 2,MPEG-4/SD,142.0,,,False,,5/6,45000,DVB-S2,Swa,10981 V
10981 Vtp GAA02Africa0,80.0,Capital FM,,,,,False,,5/6,45000,DVB-S2,Eng,10981 V
10981 Vtp GAA02Africa0,81.0,88.8 CBS FM,,,,,False,,5/6,45000,DVB-S2,Eng,10981 V
10981 Vtp GAA02Africa0,82.0,93.3 KFM,,,,,False,,5/6,45000,DVB-S2,Eng,10981 V
10981 Vtp GAA02Africa0,83.0,Radio West,,,,,False,,5/6,45000,DVB-S2,Eng,10981 V
10981 Vtp GAA02Africa0,84.0,Radio Simba,,,,,False,,5/6,45000,DVB-S2,Lug,10981 V
11044 Vtp GAA04Africa0,100.0,Azam Xtra,MPEG-4/SD,1002.0,,,False,,5/6,45000,DVB-S2,Swa,11044 V
11044 Vtp GAA04Africa0,456.0,TV Imaan,MPEG-4/SD,4562.0,,,False,,5/6,45000,DVB-S2,,11044 V
11044 Vtp GAA04Africa0,50.0,Clouds FM,,,,,False,,5/6,45000,DVB-S2,Eng,11044 V
11044 Vtp GAA04Africa0,51.0,EFM,,,,,False,,5/6,45000,DVB-S2,Swa,11044 V
11044 Vtp GAA04Africa0,52.0,Times FM,,,,,False,,5/6,45000,DVB-S2,Swa,11044 V
11044 Vtp GAA04Africa0,53.0,TBC FM,,,,,False,,5/6,45000,DVB-S2,Swa,11044 V
11044 Vtp GAA04Africa0,56.0,Uhuru FM,,,,,False,,5/6,45000,DVB-S2,Swa,11044 V
11044 Vtp GAA04Africa0,58.0,Magic FM (Tanzania),,,,,False,,5/6,45000,DVB-S2,Eng,11044 V
11044 Vtp GAA04Africa0,59.0,Radio Free Africa,,,,,False,,5/6,45000,DVB-S2,,11044 V
11044 Vtp GAA04Africa0,60.0,Kiss FM (Tanzania),,,,,False,,5/6,45000,DVB-S2,,11044 V
11044 Vtp GAA04Africa0,61.0,Radio One,,,,,False,,5/6,45000,DVB-S2,Eng,11044 V
11044 Vtp GAA04Africa0,62.0,East Africa Radio,,,,,False,,5/6,45000,DVB-S2,Eng,11044 V
11044 Vtp GAA04Africa0,63.0,BBC World Service Swahili,,,,,False,,5/6,45000,DVB-S2,Swa,11044 V
11044 Vtp GAA04Africa0,64.0,Capital Radio (Tanzania),,,,,False,,5/6,45000,DVB-S2,Eng,11044 V
11044 Vtp GAA04Africa0,66.0,Radio Imaan FM,,,,,False,,5/6,45000,DVB-S2,Eng,11044 V
11044 Vtp GAA04Africa0,95.0,National FM (Zimbabwe),,,,,False,,5/6,45000,DVB-S2,Eng,11044 V
11044 Vtp GAA04Africa0,96.0,Radio Zimbabwe,,,,,False,,5/6,45000,DVB-S2,Eng,11044 V
11106 Vtp GAA06Africa0,49.0,U FM Radio,,,,,False,,5/6,45000,DVB-S2,Eng,11106 V
11106 Vtp GAA06Africa0,57.0,Wasafi FM,,,,,False,,5/6,45000,DVB-S2,,11106 V
11106 Vtp GAA06Africa0,90.0,MBC Radio 1,,,,,False,,5/6,45000,DVB-S2,Eng,11106 V
11106 Vtp GAA06Africa0,91.0,MBC Radio 2,,,,,False,,5/6,45000,DVB-S2,Eng,11106 V
11459 Htp DWW1West,,(feeds),,,,,False,,3/4,9700,DVB-S2,,11459 H
11459 Vtp DWW2West,,(feeds),,,,,False,,3/4,27200,DVB-S2,,11459 V
11468 Vtp DWW2West,,(feeds),,,,,False,,3/4,4440,DVB-S2,,11468 V
11471 Htp DWW1West,,(feeds),,,,,False,,3/4,9700,DVB-S2,,11471 H
11478 Vtp DWW2West,,(feeds),,,,,False,,3/4,3333,DVB-S2,,11478 V
11483 Htp DWW1West,,(feeds),,,,,False,,2/3,9600,DVB-S2,,11483 H
11484 Vtp DWW2West,,(feeds),,,,,False,,3/4,2400,DVB-S2,,11484 V
11492 Vtp DWW2West,,(feeds),,,,,False,,3/4,4444,DVB-S4,,11492 V
11495 Htp DWW3West,,(feeds),,,,,False,,3/4,2222,DVB-S2,,11495 H
11499 Vtp DWW4West,,(feeds),,,,,False,,3/4,6666,DVB-S2,,11499 V
11507 Vtp DWW4West,,(feeds),,,,,False,,3/4,6666,DVB-S2,,11507 V
11514 Vtp DWW4West,,(feeds),,,,,False,,3/4,6666,DVB-S2,,11514 V
11521 Vtp DWW4West,,(feeds),,,,,False,,3/4,4440,DVB-S2,,11521 V
11524 Htp DWW3West,,(feeds),,,,,False,,3/4,7400,DVB-S2,,11524 H
11526 Vtp DWW4West,,(feeds),,,,,False,,3/4,3674,DVB-S2,,11526 V
11544 Vtp DWW6West,,(feeds),,,,,False,,3/4,9600,DVB-S2,,11544 V
11548 Htp DWW5West,,(feeds),,,,,False,,3/4,14400,DVB-S2,,11548 H
11553 Vtp DWW6West,,(feeds),,,,,False,,3/4,7500,DVB-S2,,11553 V
11562 Vtp DWW6West,,(feeds),,,,,False,,3/4,7500,DVB-S2,,11562 V
11566 Htp DWW5West,,(feeds),,,,,False,,3/4,14400,DVB-S2,,11566 H
11571 Vtp DWW6West,,(feeds),,,,,False,,3/4,7500,DVB-S2,,11571 V
11578 Vtp DWW8West,,(feeds),,,,,False,,3/4,4936,DVB-S2,,11578 V
11582 Htp DWW7West,,(feeds),,,,,False,,200,8,DVB-S2,,11582 H
11586 Vtp DWW8West,,(feeds),,,,,False,,3/4,3600,DVB-S2,,11586 V
11590 Vtp DWW8West,,(feeds),,,,,False,,3/4,3600,DVB-S2,,11590 V
11591 Htp DWW7West,,(feeds),,,,,False,,200,8,DVB-S2,,11591 H
11598 Vtp DWW8West,,(feeds),,,,,False,,2/3,7120,DVB-S2,,11598 V
11600 Htp DWW7West,,(feeds),,,,,False,,200,8,DVB-S2,,11600 H
11606 Vtp DWW8West,,(feeds),,,,,False,,3/4,7200,DVB-S2,,11606 V
