Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
11727 Htp B1Europe BSS0-47,,NEP Connect,1-201,,IrdetoPowerVu,https://www.lyngsat.com/providers/uk/NEP-Connect.html,True,NEP Connect,3/4,27500,DVB-S2,,11727 H
11727 Htp B1Europe BSS0-47,,NEP Connect,1-201,,IrdetoPowerVu,https://www.lyngsat.com/providers/uk/NEP-Connect.html,True,NEP Connect,3/4,27500,DVB-S2,,11727 H
12418 Htp B37Europe BSS0-47,,NEP Connect,1-101,,PowerVu,https://www.lyngsat.com/providers/uk/NEP-Connect.html,True,NEP Connect,3/4,27500,DVB-S2,,12418 H
12418 Htp B37Europe BSS0-47,,NEP Connect,1-101,,PowerVu,https://www.lyngsat.com/providers/uk/NEP-Connect.html,True,NEP Connect,3/4,27500,DVB-S2,,12418 H
11727 Htp B1Europe BSS0-47,66.0,Ladbrokes 1,MPEG-2/SD,1310.0,PowerVu,,False,NEP Connect,3/4,27500,DVB-S2,Eng,11727 H
11727 Htp B1Europe BSS0-47,95.0,Racing TVi,MPEG-4/SD,110.0,Irdeto,,False,NEP Connect,3/4,27500,DVB-S2,Eng,11727 H
11727 Htp B1Europe BSS0-47,136.0,SIS Two,MPEG-2/SD,1910.0,PowerVu,,False,NEP Connect,3/4,27500,DVB-S2,Eng,11727 H
11727 Htp B1Europe BSS0-47,160.0,Betfred TV 1,MPEG-4/SD,210.0,Irdeto,,False,NEP Connect,3/4,27500,DVB-S2,Eng,11727 H
11727 Htp B1Europe BSS0-47,162.0,Betfred TV 2,MPEG-4/SD,310.0,Irdeto,,False,NEP Connect,3/4,27500,DVB-S2,Eng,11727 H
11727 Htp B1Europe BSS0-47,163.0,Betfred TV 3,MPEG-4/SD,410.0,Irdeto,,False,NEP Connect,3/4,27500,DVB-S2,Eng,11727 H
11747 Vtp B2Europe BSS0-47,,SES Ukraine,85-43,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,30000,DVB-S2,,11747 V
11747 Vtp B2Europe BSS0-47,,SES Ukraine,85-43,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,30000,DVB-S2,,11747 V
11747 Vtp B2Europe BSS0-47,,SES Ukraine,85-43,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,30000,DVB-S2,,11747 V
11747 Vtp B2Europe BSS0-47,,SES Ukraine,85-43,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,30000,DVB-S2,,11747 V
12073 Htp B19Europe BSS0-47,,SES Ukraine,85-4219,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,2/3,30000,DVB-S2,,12073 H
12073 Htp B19Europe BSS0-47,,SES Ukraine,85-4219,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,2/3,30000,DVB-S2,,12073 H
12073 Htp B19Europe BSS0-47,,SES Ukraine,85-4219,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,2/3,30000,DVB-S2,,12073 H
12073 Htp B19Europe BSS0-47,,SES Ukraine,85-4219,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,2/3,30000,DVB-S2,,12073 H
12130 Vtp B22Europe BSS0-47,,SES Ukraine,85-16,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,27500,DVB-S2,,12130 V
12130 Vtp B22Europe BSS0-47,,SES Ukraine,85-16,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,27500,DVB-S2,,12130 V
12130 Vtp B22Europe BSS0-47,,SES Ukraine,85-16,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,27500,DVB-S2,,12130 V
12130 Vtp B22Europe BSS0-47,,SES Ukraine,85-16,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,27500,DVB-S2,,12130 V
12284 Vtp B30Europe BSS0-47,,SES Ukraine,85-17,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,27500,DVB-S2,,12284 V
12284 Vtp B30Europe BSS0-47,,SES Ukraine,85-17,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,27500,DVB-S2,,12284 V
12284 Vtp B30Europe BSS0-47,,SES Ukraine,85-17,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,27500,DVB-S2,,12284 V
12284 Vtp B30Europe BSS0-47,,SES Ukraine,85-17,,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,True,SES Ukraine,3/4,27500,DVB-S2,,12284 V
11747 Vtp B2Europe BSS0-47,7600.0,DW English,MPEG-4/HD,1110.0,,,False,SES Ukraine,3/4,30000,DVB-S2,Eng,11747 V
