Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
11216 Vtp C1T10,,Allente,70-27,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11216 V
11229 Htp C2T10,,Allente,70-4,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11229 H
11247 Vtp C3T10,,Allente,70-1,,ConaxNagravisionVideoguard,,False,,7/8,24500,DVB-S2,,11247 V
11261 Htp C4T10,,Allente,70-33,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11261 H
11278 Vtp C5T10,,Allente,70-3,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11278 V
11293 Htp C6T10,,Allente,70-24,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11293 H
11309 Vtp C7T10,,Allente,70-2,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11309 V
11325 Htp C8T10,,Allente,70-25,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11325 H
11341 Vtp C9T10,,Allente,70-43,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11341 V
11372 Vtp C11T10,,Allente,70-35,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11372 V
11389 Htp C12T10,,Allente,70-34,,,,False,,7/8,24500,DVB-S2,,11389 H
11421 Htp C14T10,,Allente,70-44,,ConaxNagravisionVideoguard,,False,,3/4,25000,DVB-S2,,11421 H
11278 Vtp C5T10,7471,SBN International,MPEG-2/SD,1187.0,,,False,,3/4,25000,DVB-S2,Eng,11278 V
11278 Vtp C5T10,1721,DR P2,,,,,False,,3/4,25000,DVB-S2,Dan,11278 V
11278 Vtp C5T10,1723,DR P1,,,,,False,,3/4,25000,DVB-S2,Dan,11278 V
11278 Vtp C5T10,1738,Bandit Classics,,,,,False,,3/4,25000,DVB-S2,Swe,11278 V
11278 Vtp C5T10,1739,Svenska Favoriter,,,,,False,,3/4,25000,DVB-S2,Swe,11278 V
11278 Vtp C5T10,1740,Viasat Classic,,,,,False,,3/4,25000,DVB-S2,,11278 V
11278 Vtp C5T10,1741,Power Hit Radio (Sweden),,,,,False,,3/4,25000,DVB-S2,Swe,11278 V
11278 Vtp C5T10,1742,Power Club,,,,,False,,3/4,25000,DVB-S2,Swe,11278 V
