Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3826 Rtp 3CC40,,,1918-8031,,,,False,,4/5,13830,DVB-S2,,3826 R
3911 Ltp 6CC40,,,,,,,False,,,,,,3911 L
11137 Htp BEM9MENA51-52,,,42-1,,Verimatrix (B),,False,,5/6,27500,DVB-S2,,11137 H
11137 Vtp BEM10MENA51-52,,,2048-73,,,,False,,3/4,27500,DVB-S2,,11137 V
11179 Vtp BEM12MENA51-52,,,2048-74,,,,False,,5/6,27500,DVB-S2,,11179 V
11512 Vtp DAE4East52,,,,,,,False,,,,,,11512 V
3826 Rtp 3CC40,361.0,Tele Congo,MPEG-4/SD,138.0,,,False,,4/5,13830,DVB-S2,Fre,3826 R
3977 Rtp 7CC40,108.0,Tele Congo,65535-1MPEG-4/SD,138.0,,,False,,2/3,3410,DVB-S2,Fre,3977 R
3826 Rtp 3CC40,364.0,Equidia Pro 1,MPEG-4/SD,1511.0,Viaccess,,False,,4/5,13830,DVB-S2,Fre Eng Ger,3826 R
3826 Rtp 3CC40,362.0,Radio Congo,,,,,False,,4/5,13830,DVB-S2,Fre,3826 R
3977 Rtp 7CC40,108.0,Radio Congo,,,,,False,,2/3,3410,DVB-S2,Fre,3977 R
3832 Ltp 4CC40,,CRTV,1-1,,,https://www.lyngsat.com/providers/cm/CRTV.html,True,CRTV,2/3,7585,DVB-S2,,3832 L
3832 Ltp 4CC40,1.0,CRTV,MPEG-4/SD,125.0,,https://www.lyngsat.com/providers/cm/CRTV.html,True,CRTV,2/3,7585,DVB-S2,Fre,3832 L
3832 Ltp 4CC40,2.0,CRTV News,MPEG-4/HD,225.0,,,False,CRTV,2/3,7585,DVB-S2,Fre,3832 L
3832 Ltp 4CC40,3.0,CRTV Sports and Entertainment,MPEG-4/HD,325.0,,,False,CRTV,2/3,7585,DVB-S2,Fre,3832 L
3832 Ltp 4CC40,1.0,CRTV National Radio,,,,,False,CRTV,2/3,7585,DVB-S2,Fre,3832 L
3840 Ltp 4CC,,(CRTV feeds),,,,,False,CRTV,5/6,5000,DVB-S2,,3840 L
3850 Rtp 3CC40,,TopStar,136-8,,,https://www.lyngsat.com/providers/zm/TopStar.html,True,TopStar,3/4,16330,DVB-S2,,3850 R
3850 Rtp 3CC40,3.0,Mozo TV,MPEG-4/SD,1000.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,6.0,Zanis TV,HEVC/SD,1006.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,9.0,ZNBC TV 4,MPEG-4/SD,2009.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,88.0,Revelation TV (Zambia),MPEG-4/SD,1088.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,89.0,Crown TV (Zambia),MPEG-4/SD,4098.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,91.0,Sun FM TV,MPEG-4/SD,1091.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,92.0,Beats TV,MPEG-4/SD,1092.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,95.0,Millennium TV (Zambia),MPEG-4/SD,1095.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,98.0,Q TV (Zambia),MPEG-4/SD,1098.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,101.0,ZNBC TV 1,MPEG-4/SD,2101.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,102.0,ZNBC TV 2,MPEG-4/SD,2102.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,103.0,ZNBC TV 3,MPEG-4/SD,2103.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,107.0,ABN TV (Zambia),MPEG-4/SD,1107.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,112.0,Parliament TV (Zambia),MPEG-4/SD,2112.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,113.0,Healing Center TV,MPEG-4/SD,1113.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,116.0,Chipata TV,MPEG-4/SD,1116.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,118.0,North West TV,MPEG-4/SD,1118.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,150.0,KBN TV,MPEG-4/SD,1150.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,301.0,Prime TV (Zambia),MPEG-4/SD,1301.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3850 Rtp 3CC40,450.0,Hope Channel Zambia,HEVC,1450.0,,,False,TopStar,3/4,16330,DVB-S2,Eng,3850 R
3889 Ltp 6CC40,1.0,ORTB TV,177-176MPEG-2/SD,776.0,,,False,TopStar,3/4,2982,DVB-S2,Fre,3889 L
3889 Ltp 6CC40,1.0,Radio Bénin,,,,,False,TopStar,3/4,2982,DVB-S2,Fre,3889 L
3889 Ltp 6CC40,1.0,Atlantic FM,,,,,False,TopStar,3/4,2982,DVB-S2,Fre,3889 L
3896 Ltp 6CC40,3580.0,TVE Internacional Europa,8916-1MPEG-4/HD,3554.0,,,False,TopStar,5/6,3500,DVB-S2,,3896 L
3896 Ltp 6CC40,3581.0,RNE Radio Nacional,,,,,False,TopStar,5/6,3500,DVB-S2,Spa,3896 L
