Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
10722 Vtp B1K,,Sky Brasil,0-24682,,NagravisionVideoguard,,False,,3/4,30000,DVB-S3,,10722 V
10722 Vtp B1K,1304.0,[Sky test card],MPEG-2/SD,516.0,,,False,,3/4,30000,DVB-S3,,10722 V
10722 Htp B13K,,Sky Brasil,0-24682,,NagravisionVideoguard,,False,,3/4,30000,DVB-S3,,10722 H
10722 Htp B13K,1144.0,Sound! Anos 60,,,,,False,,3/4,30000,DVB-S3,Por,10722 H
10722 Htp B13K,1145.0,Sound! Românticas,,,,,False,,3/4,30000,DVB-S3,Por,10722 H
10722 Htp B13K,1146.0,Sound! Blues,,,,,False,,3/4,30000,DVB-S3,Por,10722 H
10762 Vtp B2K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,10762 V
10762 Htp B14K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,10762 H
10802 Vtp B3K,,Sky Brasil,0-24680,,NagravisionVideoguard,,False,,3/4,30000,DVB-S3,,10802 V
10802 Htp B15K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,30,DVB-S3,,10802 H
10842 Vtp B4K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,10842 V
10842 Htp B16K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,10842 H
10882 Vtp B5K,,Sky Brasil,,,NagravisionVideoguard,,False,,3/4,30000,DVB-S3,,10882 V
10882 Htp B17K,,Sky Brasil,,,NagravisionVideoguard,,False,,3/4,30000,DVB-S3,,10882 H
10922 Vtp B6K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,10922 V
10922 Htp B18K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,10922 H
11010 Vtp B26K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,11010 V
11010 Htp B33K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,11010 H
11010 Htp B33K,5264.0,Canal do Cliente,MPEG-4/HD,4400.0,,,False,,000,230,DVB-S2,Por,11010 H
11090 Vtp B28K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,11090 V
11090 Htp B34K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,11090 H
11130 Htp B35K,,Sky Brasil,,,NagravisionVideoguard,,False,,000,30,DVB-S3,,11130 H
11170 V,,Sky Brasil,,,NagravisionVideoguard,,False,,000,30,DVB-S3,,11170 V
11170 H,,Sky Brasil,,,NagravisionVideoguard,,False,,000,30,DVB-S3,,11170 H
11222 V,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,11222 V
11222 H,,Sky Brasil,,,NagravisionVideoguard,,False,,000,230,DVB-S2,,11222 H
