Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
12230 HLatin America,,Movistar,,,Nagravision,,False,,300,231,DVB-S2,,12230 H
12230 HLatin America,1273.0,ESPN 6 América Latina,MPEG-4/SD,8144.0,,,False,,300,231,DVB-S2,Spa,12230 H
12230 VLatin America,,Claro Americas Sur,,,Conax,,False,,000,30,DVB-S3,,12230 V
12270 HLatin America,,Claro Americas Sur,,,Conax,,False,,2/3,30000,DVB-S2,,12270 H
12270 VLatin America,,Claro Americas Sur,,,ConaxIrdeto,,False,,000,30,DVB-S3,,12270 V
12310 VLatin America,,Claro Americas Sur,,,Conax,,False,,000,30,DVB-S3,,12310 V
12350 HLatin America,,Claro Americas Sur,,,ConaxIrdeto,,False,,2/3,30000,DVB-S2,,12350 H
12350 VLatin America,,Claro Americas Sur,,,Conax,,False,,000,30,DVB-S3,,12350 V
12350 VLatin America,74.0,Claro Americas Sur promo,MPEG-2/SD,56.0,,,False,,000,30,DVB-S3,Spa,12350 V
12390 VLatin America,,Claro Americas Sur,,,Conax,,False,,000,30,DVB-S3,,12390 V
12430 HLatin America,,,,,,,False,,300,231,DVB-S2,,12430 H
12430 HLatin America,9.0,Cubavisión Internacional,MPEG-4/HD,2909.0,,,False,,300,231,DVB-S2,Spa,12430 H
12430 HLatin America,10.0,Bethel TV (Peru),MPEG-4/HD,4256.0,,,False,,300,231,DVB-S2,Spa,12430 H
12430 HLatin America,12.0,Bethel Radio,,,,,False,,300,231,DVB-S2,Spa,12430 H
12430 VLatin America,,Claro Americas Sur,,,Conax,,False,,2/3,30000,DVB-S3,,12430 V
