Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
10970 Vtp 1BEK0West Latin America0,,Claro Americas Norte,,,Nagravision,,False,,2/3,27900,DVB-S2,,10970 V
10982 Htp 1AEK0West Latin America0,,CANTV TV Satelital,,,Tongfang,,False,,2/3,15000,DVB-S2,,10982 H
11010 Vtp 2BEK0West Latin America0,,Claro Americas Norte,3-7,,Nagravision,,False,,2/3,27900,DVB-S2,,11010 V
11015 Htp 2AEK0West Latin America0,,CANTV TV Satelital,,,Tongfang,,False,,2/3,30000,DVB-S2,,11015 H
11050 Vtp 3BEK0West Latin America0,,Claro Americas Norte,,,Nagravision,,False,,2/3,27900,DVB-S2,,11050 V
11050 Vtp 3BEK0West Latin America0,600.0,Enlace,MPEG-4/SD,1119.0,,,False,,2/3,27900,DVB-S2,Spa,11050 V
11054 Htp 3AEK0West Latin America0,,Claro Americas Norte,,,Nagravision,,False,,2/3,27900,DVB-S2,,11054 H
11090 Vtp 4BEK0West Latin America0,,Claro Americas Norte,,,Nagravision,,False,,2/3,27900,DVB-S2,,11090 V
11130 Vtp 5BEK0West Latin America0,,Claro Americas Norte,,,Nagravision,,False,,2/3,27900,DVB-S2,,11130 V
11134 Htp 5AEK0West Latin America0,,Claro Americas Norte,,,Nagravision,,False,,2/3,27900,DVB-S2,,11134 H
11170 Vtp 6BEK0West Latin America0,,Claro Americas Norte,,,Nagravision,,False,,2/3,27900,DVB-S2,,11170 V
11174 Htp 6AEK0West Latin America0,,Claro Americas Norte,,,Nagravision,,False,,2/3,27900,DVB-S2,,11174 H
12220 HBrazil0,,Claro Brasil,,,Nagravision,,False,,3/4,29890,DVB-S2,,12220 H
12240 VBrazil0,,Claro Brasil,,,Nagravision,,False,,3/5,29890,DVB-S2,,12240 V
12260 HBrazil0,,Claro Brasil,,,Nagravision,,False,,3/5,29890,DVB-S2,,12260 H
12280 VBrazil0,,Claro Brasil,,,Nagravision,,False,,3/5,29890,DVB-S2,,12280 V
12300 HBrazil0,,Claro Brasil,,,Nagravision,,False,,3/5,29890,DVB-S2,,12300 H
12320 VBrazil0,,Claro Brasil,,,Nagravision,,False,,3/4,29900,DVB-S2,,12320 V
12340 HBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12340 H
12340 HBrazil0,850.0,Canal Claro promo,MPEG-2/SD,4903.0,,,False,,890,29,DVB-S2,Por,12340 H
12360 VBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12360 V
12380 HBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12380 H
12400 VBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12400 V
12420 HBrazil0,,Claro Brasil,,,Verimatrix (B)Nagravision,,False,,890,29,DVB-S2,,12420 H
12440 VBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12440 V
12460 HBrazil0,,Claro Brasil,,,Verimatrix (B)Nagravision,,False,,890,229,DVB-S2,,12460 H
12480 VBrazil0,,Claro Brasil,,,Verimatrix (B)Nagravision,,False,,890,229,DVB-S2,,12480 V
12500 HBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12500 H
12520 VBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12520 V
12540 HBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12540 H
12560 VBrazil0,,Claro Brasil,,,Verimatrix (B)Nagravision,,False,,890,29,DVB-S2,,12560 V
12580 HBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12580 H
12580 HBrazil0,160.0,TV Justiça,MPEG-2/SD,34.0,,,False,,890,29,DVB-S2,Por,12580 H
12580 HBrazil0,161.0,TV Senado (Brazil),MPEG-2/SD,38.0,,,False,,890,29,DVB-S2,Por,12580 H
12580 HBrazil0,162.0,TV Câmara,MPEG-2/SD,1783.0,,,False,,890,29,DVB-S2,Por,12580 H
12580 HBrazil0,164.0,TV Brasil,MPEG-2/SD,43.0,,,False,,890,29,DVB-S2,Por,12580 H
12580 HBrazil0,425.0,Canal Gov,MPEG-2/SD,1903.0,,,False,,890,29,DVB-S2,Por,12580 H
12580 HBrazil0,852.0,Canal Claro promo,MPEG-2/SD,1763.0,,,False,,890,29,DVB-S2,Por,12580 H
12600 VBrazil0,,Claro Brasil,,,Nagravision,,False,,3/5,29890,DVB-S2,,12600 V
12600 VBrazil0,851.0,Now promo,MPEG-4/HD,6813.0,,,False,,3/5,29890,DVB-S2,Por,12600 V
12620 HBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12620 H
12640 VBrazil0,,Claro Brasil,,,Nagravision,,False,,890,29,DVB-S2,,12640 V
12660 HBrazil0,,Claro Brasil,,,Nagravision,,False,,3/5,29890,DVB-S2,,12660 H
12680 VBrazil0,,Claro Brasil,,,Nagravision,,False,,3/5,29890,DVB-S2,,12680 V
