Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
11175 VArgentina,,(feeds),,,,,False,,3/4,4200,DVB-S4,,11175 V
11179 VArgentina,,(feeds),,,,,False,,3/4,3100,DVB-S3,,11179 V
11540 HArgentina,,(feeds),,,,,False,,3/4,3330,DVB-S3,,11540 H
11544 HArgentina,,(feeds),,,,,False,,660,6,DVB-S6,,11544 H
11552 HArgentina,,(feeds),,,,,False,,3/4,2591,DVB-S2,,11552 H
11555 HArgentina,,(feeds),,,,,False,,904,1,DVB-S1,,11555 H
11564 HArgentina,,(feeds),,,,,False,,3/4,3200,DVB-S3,,11564 H
11568 HArgentina,,(feeds),,,,,False,,3/4,3350,DVB-S3,,11568 H
11573 HArgentina,,(feeds),,,,,False,,3/4,3333,DVB-S3,,11573 H
11577 HArgentina,,(feeds),,,,,False,,3/4,3333,DVB-S3,,11577 H
11581 HArgentina,,(feeds),,,,,False,,3/4,1325,DVB-S1,,11581 H
11584 HArgentina,,(feeds),,,,,False,,7/8,2655,DVB-S2,,11584 H
11595 HArgentina,,(feeds),,,,,False,,7/8,1904,DVB-S1,,11595 H
11598 HArgentina,,(feeds),,,,,False,,3/4,2500,DVB-S2,,11598 H
11651 VArgentina,,(feeds),,,,,False,,7/8,1904,DVB-S1,,11651 V
11657 HArgentina,,(feeds),,,,,False,,7/8,1904,DVB-S1,,11657 H
11660 HArgentina,,(feeds),,,,,False,,500,8,DVB-S2,,11660 H
11667 HArgentina,,(feeds),,,,,False,,3/4,6665,DVB-S2,,11667 H
11675 HArgentina,,(feeds),,,,,False,,3/4,1904,DVB-S1,,11675 H
11678 HArgentina,,(feeds),,,,,False,,3/4,1904,DVB-S1,,11678 H
11686 VArgentina,,(feeds),,,,,False,,3/4,2222,DVB-S2,,11686 V
11708 HArgentina,,(feeds),,,,,False,,3/4,6660,DVB-S2,,11708 H
11718 HArgentina,,(feeds),,,,,False,,1/2,6660,DVB-S2,,11718 H
11718 VArgentina,,(feeds),,,,,False,,3/4,6660,DVB-S2,,11718 V
11728 VArgentina,,(feeds),,,,,False,,3/4,3300,DVB-S3,,11728 V
11731 HArgentina,,(feeds),,,,,False,,3/4,3124,DVB-S3,,11731 H
11734 HArgentina,,(feeds),,,,,False,,3/4,2655,DVB-S2,,11734 H
11745 VArgentina,,(feeds),,,,,False,,3/4,2373,DVB-S2,,11745 V
11746 HArgentina,,(feeds),,,,,False,,666,21,DVB-S2,,11746 H
11752 HArgentina,,(feeds),,,,,False,,666,21,DVB-S2,,11752 H
11755 HArgentina,,(feeds),,,,,False,,963,22,DVB-S2,,11755 H
11756 VArgentina,,(feeds),,,,,False,,3/4,3200,DVB-S3,,11756 V
11779 VArgentina,,(feeds),,,,,False,,600,3,DVB-S3,,11779 V
11782 VArgentina,,(feeds),,,,,False,,333,23,DVB-S2,,11782 V
11785 VArgentina,,(feeds),,,,,False,,600,23,DVB-S2,,11785 V
11794 VArgentina,,(feeds),,,,,False,,600,3,DVB-S3,,11794 V
11805 VArgentina,,(feeds),,,,,False,,300,3,DVB-S3,,11805 V
11809 VArgentina,,(feeds),,,,,False,,350,3,DVB-S3,,11809 V
11817 VArgentina,,(feeds),,,,,False,,3/4,3333,DVB-S3,,11817 V
11829 VArgentina,,(feeds),,,,,False,,3/4,3330,DVB-S3,,11829 V
11836 VArgentina,,(feeds),,,,,False,,400,22,DVB-S2,,11836 V
11843 VArgentina,,(feeds),,,,,False,,200,23,DVB-S2,,11843 V
11848 VArgentina,,(feeds),,,,,False,,333,23,DVB-S2,,11848 V
11851 VArgentina,,(feeds),,,,,False,,3/4,3350,DVB-S2,,11851 V
11853 VArgentina,,(feeds),,,,,False,,3/4,2343,DVB-S2,,11853 V
