Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
11720 Htp 1Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11720 H
11740 Vtp 2Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11740 V
11760 Htp 3Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11760 H
11800 Htp 5Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11800 H
11820 Vtp 6Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11820 V
11840 Htp 7Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11840 H
11880 Htp 9Mexico,,,,,,,False,,,,,,11880 H
11900 Vtp 10Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11900 V
11920 Htp 11Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11920 H
11940 Vtp 12Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11940 V
11960 Htp 13Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11960 H
11980 Vtp 14Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,11980 V
12000 Htp 15Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12000 H
12020 Vtp 16Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12020 V
12040 Htp 17Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12040 H
12060 Vtp 18Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12060 V
12080 Htp 19Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12080 H
12120 Htp 21Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12120 H
12140 Vtp 22Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12140 V
12160 Htp 23Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12160 H
12180 Vtp 24Mexico,,Sky México,,,Videoguard,,False,,000,30,DVB-S3,,12180 V
