Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3890 Vtp 5BNCBrazil C0,1.0,TV Tapajós,?-?MPEG-2/SD,256.0,,,False,,5/6,4000,DVB-S4,Por,3890 V
3890 Vtp 5BNCBrazil C0,2.0,94 FM (Santarém),,,,,False,,5/6,4000,DVB-S4,Por,3890 V
3908 Htp 6ANCBrazil C0,,TV Mirante,,,,https://www.lyngsat.com/providers/br/TV-Mirante.html,True,TV Mirante,3/4,8333,DVB-S2,,3908 H
3908 Htp 6ANCBrazil C0,,TV Mirante Imperatriz,MPEG-4/1seg,101.0,,,False,TV Mirante,3/4,8333,DVB-S2,Por,3908 H
3908 Htp 6ANCBrazil C0,,TV Mirante Imperatriz,MPEG-4/HD,1001.0,,,False,TV Mirante,3/4,8333,DVB-S2,Por,3908 H
3908 Htp 6ANCBrazil C0,,TV Educação MA,MPEG-4/HD,265.0,,,False,TV Mirante,3/4,8333,DVB-S2,Por,3908 H
3908 Htp 6ANCBrazil C0,,TV Mirante Cocais,MPEG-4/HD,273.0,,,False,TV Mirante,3/4,8333,DVB-S2,Por,3908 H
3908 Htp 6ANCBrazil C0,,Mirante FM,,,,,False,TV Mirante,3/4,8333,DVB-S2,Por,3908 H
3918 Htp 6ANCBrazil C0,,,,,,,False,TV Mirante,3/4,8232,DVB-S2,,3918 H
3918 Htp 6ANCBrazil C0,,Rede Clube,MPEG-4/1seg,101.0,,,False,TV Mirante,3/4,8232,DVB-S2,Por,3918 H
3918 Htp 6ANCBrazil C0,,Rede Clube,MPEG-4/HD,273.0,,,False,TV Mirante,3/4,8232,DVB-S2,Por,3918 H
3918 Htp 6ANCBrazil C0,,Canal Educação Piauí,MPEG-4/HD,301.0,,,False,TV Mirante,3/4,8232,DVB-S2,Por,3918 H
3918 Htp 6ANCBrazil C0,,TV Alvorada,MPEG-4/HD,1001.0,,,False,TV Mirante,3/4,8232,DVB-S2,Por,3918 H
3925 Htp 6ANCBrazil C0,,TV Encontro das Águas,,,,https://www.lyngsat.com/providers/br/TV-Encontro-das-Aguas.html,True,TV Encontro das Águas,5/6,4665,DVB-S2,,3925 H
3925 Htp 6ANCBrazil C0,,TV Encontro das Águas,MPEG-4/1seg,101.0,,https://www.lyngsat.com/providers/br/TV-Encontro-das-Aguas.html,True,TV Encontro das Águas,5/6,4665,DVB-S2,Por,3925 H
3925 Htp 6ANCBrazil C0,,TV Encontro das Águas,MPEG-4/HD,1001.0,,https://www.lyngsat.com/providers/br/TV-Encontro-das-Aguas.html,True,TV Encontro das Águas,5/6,4665,DVB-S2,Por,3925 H
3925 Htp 6ANCBrazil C0,,TV Encontro das Águas 2.2,MPEG-4/HD,2001.0,,,False,TV Encontro das Águas,5/6,4665,DVB-S2,Por,3925 H
3925 Htp 6ANCBrazil C0,,TV Encontro das Águas 2.3,MPEG-4/HD,3001.0,,,False,TV Encontro das Águas,5/6,4665,DVB-S2,Por,3925 H
