Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3662 RC,8.0,RT Español,?-?MPEG-4/HD,536.0,,,False,,3/4,8333,DVB-S2,Spa,3662 RC
11866 VKu FSS,100.0,RT Español,MPEG-4/HD,536.0,,,False,,3/4,7500,DVB-S2,Spa,11866 V
3680 RC,,Bolivia TV 7.1,MPEG-2/SD,308.0,,,False,,3/4,3300,DVB-S3,Spa,3680 RC
3684 RC,,Bolivia TV 7.1,MPEG-2/SD,33.0,,,False,,3/4,3300,DVB-S3,Spa,3684 RC
11560 VKu FSS,7.0,Bolivia TV 7.1,MPEG-4/SD,523.0,,,False,,3/4,30000,DVB-S2,Spa,11560 V
11503 HKu FSS,,(feeds),,,,,False,,000,2,DVB-S2,,11503 H
11884 VKu FSS,,(feeds),,,,,False,,700,21,DVB-S2,,11884 V
11520 VKu FSS,,Entel,,,Verimatrix (B),,False,,3/4,30000,DVB-S2,,11520 V
11560 VKu FSS,,Entel,,,Verimatrix (B),,False,,3/4,30000,DVB-S2,,11560 V
11600 VKu FSS,,Entel,,,Verimatrix (B),,False,,3/4,30000,DVB-S2,,11600 V
11640 VKu FSS,,Entel,,,Verimatrix (B),,False,,3/4,30000,DVB-S2,,11640 V
11520 VKu FSS,4.0,RTP,MPEG-4/SD,76.0,,,False,,3/4,30000,DVB-S2,Spa,11520 V
12544 RKu BSS,450.0,RTP,MPEG-4/HD,1106.0,,,False,,5/6,30000,DVB-S2,Spa,12544 R
11520 VKu FSS,17.0,TVU,MPEG-4/SD,417.0,,,False,,3/4,30000,DVB-S2,Spa,11520 V
11520 VKu FSS,33.0,Unitel Santa Cruz,MPEG-4/SD,993.0,,,False,,3/4,30000,DVB-S2,Spa,11520 V
11560 VKu FSS,2.0,Unitel La Paz,MPEG-4/SD,353.0,,,False,,3/4,30000,DVB-S2,Spa,11560 V
11560 VKu FSS,20.0,TV Culturas,MPEG-4/SD,385.0,,,False,,3/4,30000,DVB-S2,Spa,11560 V
11560 VKu FSS,508.0,Radio Illimani,,,,,False,,3/4,30000,DVB-S2,Spa,11560 V
11560 VKu FSS,511.0,Radio Disney Bolivia,,,,,False,,3/4,30000,DVB-S2,Spa,11560 V
11560 VKu FSS,512.0,RPO's,,,,,False,,3/4,30000,DVB-S2,Spa,11560 V
11640 VKu FSS,1.0,Entel TV HD,/HD,4801.0,,,False,,3/4,30000,DVB-S2,Spa,11640 V
11640 VKu FSS,59.0,Entel TV HD,/HD,256.0,,,False,,3/4,30000,DVB-S2,Spa,11640 V
11760 VKu FSS,,,,,,,False,,,,,,11760 V
11807 VKu FSS,,,,,,,False,,,,,,11807 V
11866 VKu FSS,,ABE,,,,https://www.lyngsat.com/providers/bo/ABE.html,True,ABE,3/4,7500,DVB-S2,,11866 V
11866 VKu FSS,,ABE,,,,https://www.lyngsat.com/providers/bo/ABE.html,True,ABE,3/4,7500,DVB-S2,,11866 V
12544 RKu BSS,,ABE,,,,https://www.lyngsat.com/providers/bo/ABE.html,True,ABE,5/6,30000,DVB-S2,,12544 R
12544 RKu BSS,,ABE,,,,https://www.lyngsat.com/providers/bo/ABE.html,True,ABE,5/6,30000,DVB-S2,,12544 R
11866 VKu FSS,,Red Uno,MPEG-4/HD,172.0,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
12544 RKu BSS,140.0,Red Uno,MPEG-4/HD,322.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
11866 VKu FSS,70.0,TV Off Travel,MPEG-4/HD,72.0,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
11866 VKu FSS,90.0,ATB,HEVC/HD,92.0,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
11866 VKu FSS,145.0,Seo TV,HEVC/HD,266.0,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
11866 VKu FSS,150.0,Poder de Dios TV,MPEG-4/SD,4114.0,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
11866 VKu FSS,160.0,ABE TV Internacional,MPEG-4/SD,4124.0,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
11866 VKu FSS,430.0,Red AD Venir,MPEG-4/HD,549.0,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
11866 VKu FSS,200.0,Radio Panamericana,,,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
12544 RKu BSS,,Radio Panamericana,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
11866 VKu FSS,210.0,Jerusalem Radio,,,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
11866 VKu FSS,220.0,Radio Sol,,,,,False,ABE,3/4,7500,DVB-S2,Spa,11866 V
12544 RKu BSS,120.0,Bolivia TV 7.2,MPEG-4/HD,290.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,130.0,Red Uno Santa Cruz,MPEG-4/HD,306.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,150.0,TL Estrella,MPEG-4/SD,338.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,160.0,F10,MPEG-4/HD,354.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,170.0,Canal 11 TVU,MPEG-4/HD,370.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,180.0,Católica TV,MPEG-4/HD,386.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,190.0,TVU Pando,MPEG-4/HD,402.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,195.0,Fap TV,MPEG-4/SD,407.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,210.0,Plus TLT,MPEG-4/HD,530.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,220.0,TV Universitaria,MPEG-4/SD,546.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,230.0,Palenque TV,MPEG-4/SD,562.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,240.0,Cadena Sur,MPEG-4/HD,578.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,260.0,Xto TV,MPEG-4/HD,610.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,270.0,GogoPlay TV,MPEG-4/HD,626.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,280.0,PAT,MPEG-4/SD,642.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,290.0,Sitel,MPEG-4/SD,658.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,300.0,TEP,MPEG-4/SD,770.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,310.0,Agenda Minera TV,MPEG-4/HD,786.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,320.0,Bethel TV Bolivia,MPEG-4/SD,802.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,325.0,In TV (Bolivia),MPEG-4/SD,807.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,330.0,Red América TV,MPEG-4/SD,818.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,340.0,Gigavisión,MPEG-4/HD,834.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,370.0,Bolivisión,MPEG-4/HD,882.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,420.0,Cadena A,MPEG-4/HD,1058.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,430.0,DTV,MPEG-4/HD,1074.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,440.0,Abya Yala TV,MPEG-4/SD,1090.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,460.0,TV Nuevo Tiempo,MPEG-4/HD,1122.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,480.0,FM Bolivia TV,MPEG-4/SD,1154.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,500.0,ABE Educativo,MPEG-4/HD,1282.0,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Éxito,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Betania,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Betania,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Bethel Cochabamba,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio San Gabriel,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Bethel Bolivia,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Santa Cruz,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Recobro,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Kawsachun Coca,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Red ACLO Chuquisaca FM,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Pio XII Cochabamba,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,RTM Bolivia,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Red ACLO Tarija FM,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Fides,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Kollasuyo,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Cepra Cochabamba,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Cepra La Paz,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Erbol,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Plutón,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,ATB Radio,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,RQP Bolivia,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Kantuta,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Altiplano,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Solidaria RKM,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
12544 RKu BSS,,Radio Wiñay Jhata,,,,,False,ABE,5/6,30000,DVB-S2,Spa,12544 R
