Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
4036 Htp 17,,(feeds),,,,,False,,3/4,7500,DVB-S2,,4036 H
4046 Vtp 18,,(feeds),,,,,False,,500,8,DVB-S2,,4046 V
4055 Vtp 18,,(feeds),,,,,False,,500,8,DVB-S2,,4055 V
4064 Vtp 18,,(feeds),,,,,False,,500,8,DVB-S2,,4064 V
4066 Htp 19,,(feeds),,,,,False,,500,8,DVB-S2,,4066 H
4073 Vtp 18,,(feeds),,,,,False,,500,8,DVB-S2,,4073 V
4075 Htp 19,,(feeds),,,,,False,,500,8,DVB-S2,,4075 H
4084 Htp 19,,(feeds),,,,,False,,500,8,DVB-S2,,4084 H
4086 Vtp 20,,(feeds),,,,,False,,500,8,DVB-S2,,4086 V
4095 Vtp 20,,(feeds),,,,,False,,500,8,DVB-S2,,4095 V
4104 Vtp 20,,(feeds),,,,,False,,500,8,DVB-S2,,4104 V
4114 Vtp 20,,(feeds),,,,,False,,3/4,7500,DVB-S2,,4114 V
4125 Vtp 22,,(feeds),,,,,False,,500,8,DVB-S2,,4125 V
4134 Vtp 22,,(feeds),,,,,False,,500,8,DVB-S2,,4134 V
4151 Htp 23,,(Texas Lottery feeds),,,,,False,,3/4,13235,DVB-S1,,4151 H
