Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
4056 Htp 18North America,,Alaskan mux,1-101,,,,False,,3/4,13250,DVB-S1,,4056 H
4056 Htp 18North America,1.0,ARCS,MPEG-2/SD,110.0,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,2.0,KTOO 360 TV,MPEG-2/SD,210.0,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,4.0,KAKM-TV (PBS - Anchorage),MPEG-2/SD,410.0,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,12.0,University of Alaska TV,MPEG-2/SD,310.0,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,31.0,KUCB,,,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,32.0,KUAC FM,,,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,33.0,KOTZ Radio 720 AM,,,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,34.0,KCAW-FM,,,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,35.0,Alaska Public Radio Network,,,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,36.0,KSKA-FM,,,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,37.0,KMXT,,,,,False,,3/4,13250,DVB-S1,Eng,4056 H
4056 Htp 18North America,38.0,KSDP 830 AM,,,,,False,,3/4,13250,DVB-S1,Eng,4056 H
