Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3475 Vtp 2VC,,(VTV feeds),,,,,False,,3/4,3000,DVB-S3,,3475 V
3493 Htp 2HC,,(feeds),,,,,False,,3/4,1600,DVB-S1,,3493 H
3569 Vtp 5VC,,(feeds),,,,,False,,500,8,DVB-S2,,3569 V
3798 HC,,[PANP 2 test card],MPEG-2/SD,308.0,,,False,,3/4,1550,DVB-S1,,3798 HC
10968 Htp 1Ku,,VTC Digital,12901-8,,Irdeto,,False,,3/4,28800,DVB-S2,,10968 H
10968 Htp 1Ku,801.0,VTC Digital promo,MPEG-4/SD,601.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,805.0,Quang Ninh TV 1,MPEG-4/HD,605.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,806.0,Quang Ninh TV 3,MPEG-4/HD,606.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,807.0,Quoc Hoi TV,MPEG-4/HD,607.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,819.0,Nhan Dan TV,MPEG-4/HD,619.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,820.0,V News,MPEG-4/HD,620.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,821.0,Vinh Long TV 1,MPEG-4/HD,621.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,822.0,Vinh Long TV 2,MPEG-4/HD,622.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,823.0,Hai Phong TV,MPEG-4/HD,623.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,824.0,THP+,MPEG-4/HD,624.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,826.0,Phu Tho TV,MPEG-4/HD,626.0,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,861.0,Phu Tho Radio,,,,,False,,3/4,28800,DVB-S2,Vie,10968 H
10968 Htp 1Ku,862.0,Quang Ninh Radio 1,,,,,False,,3/4,28800,DVB-S2,Vie,10968 H
11008 Htp 2Ku,,VTC Digital,,,Irdeto,,False,,3/4,14400,DVB-S2,,11008 H
11008 Htp 2Ku,1003.0,SCJ TV Shopping,MPEG-4/SD,3103.0,,,False,,3/4,14400,DVB-S2,Vie,11008 H
11008 Htp 2Ku,1006.0,[test card],MPEG-4/SD,3106.0,,,False,,3/4,14400,DVB-S2,,11008 H
11008 Htp 2Ku,1009.0,An Ninh TV,MPEG-4/HD,3109.0,,,False,,3/4,14400,DVB-S2,Vie,11008 H
11008 Htp 2Ku,1011.0,[test card],MPEG-4/SD,3111.0,,,False,,3/4,14400,DVB-S2,,11008 H
11008 Htp 2Ku,1012.0,QPVN,MPEG-4/HD,3112.0,,,False,,3/4,14400,DVB-S2,Vie,11008 H
11008 Htp 2Ku,1051.0,VOV 1,,,,,False,,3/4,14400,DVB-S2,Vie,11008 H
11008 Htp 2Ku,1052.0,VOV 2,,,,,False,,3/4,14400,DVB-S2,Vie,11008 H
11008 Htp 2Ku,1053.0,VOV 3,,,,,False,,3/4,14400,DVB-S2,Vie,11008 H
11472 Htp 7Ku,,VTC Digital,12901-16,,,,False,,3/4,23200,DVB-S2,,11472 H
11472 Htp 7Ku,1581.0,Nghe An TV,MPEG-4/HD,195.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1582.0,HTV 2,MPEG-4/SD,196.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1601.0,Lao Cai TV,MPEG-4/SD,201.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1602.0,Lao Cai TV,MPEG-4/HD,202.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1603.0,Lai Chau TV,MPEG-4/HD,238.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1604.0,Son La TV,MPEG-4/HD,204.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1605.0,Ha Giang TV,MPEG-4/HD,205.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1606.0,Yen Bai TV,MPEG-4/HD,206.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1607.0,Hung Yen TV,MPEG-4/SD,207.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1608.0,Tuyen Quang TV,MPEG-4/HD,208.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1609.0,Thai Nguyen TV 1,MPEG-4/HD,209.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1610.0,Hoa Binh TV,MPEG-4/HD,210.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1611.0,Bac Kan TV,MPEG-4/HD,211.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1612.0,Bac Ninh TV,MPEG-4/HD,212.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1613.0,Cao Bang TV,MPEG-4/HD,213.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1614.0,[Hai Phong TV info card],MPEG-4/HD,214.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1615.0,Ninh Binh TV,MPEG-4/HD,215.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1616.0,Thanh Hoa TV,MPEG-4/SD,216.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1617.0,Quang Ngai TV,MPEG-4/HD,217.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1618.0,Gia Lai TV,MPEG-4/HD,218.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1619.0,Ninh Thuan TV,MPEG-4/SD,219.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1620.0,Lam Dong TV,MPEG-4/HD,220.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1621.0,Ben Tre TV,MPEG-4/HD,221.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1622.0,Binh Thuan TV,MPEG-4/HD,222.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1623.0,Dien Bien TV,MPEG-4/HD,223.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1624.0,Dong Nai TV 1,MPEG-4/HD,224.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1625.0,Dong Nai TV 2,MPEG-4/HD,225.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1626.0,Ba Ria Vung Tau TV,MPEG-4/SD,226.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1627.0,[test card],MPEG-4/SD,227.0,,,False,,3/4,23200,DVB-S2,,11472 H
11472 Htp 7Ku,1628.0,Tien Giang TV,MPEG-4/HD,228.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1629.0,Tra Vinh TV,MPEG-4/HD,229.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1630.0,Kien Giang TV,MPEG-4/SD,230.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1631.0,Kien Giang TV 1,MPEG-4/SD,231.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1632.0,Quang Binh TV,MPEG-4/HD,232.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1633.0,Quang Tri TV,MPEG-4/SD,233.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1634.0,Kon Tum TV,MPEG-4/SD,234.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1635.0,Phu Yen TV,MPEG-4/HD,235.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1636.0,[Son La TV info card],MPEG-4/SD,236.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1637.0,[Tra Vinh TV info card],MPEG-4/SD,237.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1638.0,An Giang TV,MPEG-4/SD,203.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1639.0,[Dien Bien TV info card],MPEG-4/SD,239.0,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1651.0,Binh Thuan Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1653.0,Thanh Hoa FM,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1654.0,Tuyen Quang Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1655.0,Yen Bai Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1656.0,Ha Giang Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1657.0,Son La Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1658.0,Quang Ngai Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1659.0,Thai Nguyen FM,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1661.0,Vung Tau FM,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1662.0,Lam Dong Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1664.0,Dien Bien Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
11472 Htp 7Ku,1665.0,Phu Yen Radio,,,,,False,,3/4,23200,DVB-S2,Vie,11472 H
