Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3723 Vtp C3VC,,(NBT TV feeds),,,,,False,,2/3,3750,DVB-S2,,3723 V
3756 Vtp C3VC,,(NBT TV feeds),,,,,False,,3/4,2500,DVB-S2,,3756 V
3746 Vtp C3VC,,(feeds),,,,,False,,3/4,3750,DVB-S2,,3746 V
3825 Vtp C5VGlobal,,(feeds),,,,,False,,3/4,4800,DVB-S2,,3825 V
3866 Htp C7HGlobal,,(feeds),,,,,False,,3/4,7120,DVB-S2,,3866 H
3934 Htp C8HGlobal,,(feeds),,,,,False,,3/4,7200,DVB-S2,,3934 H
3998 Htp C10HGlobal,,(feeds),,,,,False,,3/4,7200,DVB-S2,,3998 H
3803 Vtp C5VGlobal,1.0,BBTV Channel 7,1-1MPEG-4/HD,1160.0,BISS 1,,False,,5/6,2500,DVB-S2,Tha Qaa,3803 V
3807 Vtp C5VGlobal,1.0,BBTV Channel 7,1-1MPEG-4/HD,1160.0,BISS 1,,False,,5/6,2500,DVB-S2,Tha Qaa,3807 V
3862 Vtp C6VGlobal,100.0,4KUniverse,?-?HEVC/UHD,256.0,,,False,,3/4,8910,DVB-S2,Eng,3862 V
3971 Vtp C9VGlobal,,Chunghwa Telecom,,,Conax,https://www.lyngsat.com/providers/tw/Chunghwa-Telecom.html,True,Chunghwa Telecom,3/4,15650,DVB-S2,,3971 V
3971 Vtp C9VGlobal,1.0,SET International,MPEG-4/HD,3211.0,Conax,,False,Chunghwa Telecom,3/4,15650,DVB-S2,Chi,3971 V
3971 Vtp C9VGlobal,2.0,SET Taiwan,MPEG-4/HD,3261.0,Conax,,False,Chunghwa Telecom,3/4,15650,DVB-S2,Chi,3971 V
3971 Vtp C9VGlobal,3.0,TVBS Asia,MPEG-4/HD,163.0,Conax,,False,Chunghwa Telecom,3/4,15650,DVB-S2,Chi,3971 V
3971 Vtp C9VGlobal,4.0,TVBS News,MPEG-4/HD,164.0,Conax,,False,Chunghwa Telecom,3/4,15650,DVB-S2,Chi,3971 V
4070 Vtp C11VGlobal,,Taiwanese mux,,,,,False,Chunghwa Telecom,3/4,15000,DVB-S2,,4070 V
4070 Vtp C11VGlobal,313.0,UCTV,MPEG-4/SD,3061.0,,,False,Chunghwa Telecom,3/4,15000,DVB-S2,Chi,4070 V
4070 Vtp C11VGlobal,315.0,CTI TV Asia,MPEG-4/HD,3071.0,Viaccess,,False,Chunghwa Telecom,3/4,15000,DVB-S2,Chi,4070 V
4070 Vtp C11VGlobal,611.0,FTV News,MPEG-4/HD,5801.0,Viaccess,,False,Chunghwa Telecom,3/4,15000,DVB-S2,Chi,4070 V
4070 Vtp C11VGlobal,627.0,ET Mall 3,MPEG-4/HD,5881.0,,,False,Chunghwa Telecom,3/4,15000,DVB-S2,Chi,4070 V
4070 Vtp C11VGlobal,628.0,ET Mall 5,MPEG-4/HD,5886.0,,,False,Chunghwa Telecom,3/4,15000,DVB-S2,Chi,4070 V
4070 Vtp C11VGlobal,630.0,ET Mall 2,MPEG-4/HD,5896.0,,,False,Chunghwa Telecom,3/4,15000,DVB-S2,Chi,4070 V
4070 Vtp C11VGlobal,631.0,ET Mall 1,MPEG-4/HD,5901.0,,,False,Chunghwa Telecom,3/4,15000,DVB-S2,Chi,4070 V
4070 Vtp C11VGlobal,634.0,Pili TV,MPEG-4/HD,5916.0,Viaccess,,False,Chunghwa Telecom,3/4,15000,DVB-S2,Chi,4070 V
