Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
3750 H,,Hunan mux,0-1,,,,False,,3/4,10490,DVB-S1,,3750 H
3750 H,1,Hunan TV,MPEG-2/SD,257.0,,,False,,3/4,10490,DVB-S1,Chi,3750 H
3750 H,2,Golden Eagle Cartoon,MPEG-2/SD,513.0,,,False,,3/4,10490,DVB-S1,Chi,3750 H
3750 H,5,Hunan People's Satellite Radio,,,,,False,,3/4,10490,DVB-S1,Chi,3750 H
3750 H,81,Hunan Traffic Channel,,,,,False,,3/4,10490,DVB-S1,Chi,3750 H
3750 H,82,Hunan Economic Radio,,,,,False,,3/4,10490,DVB-S1,Chi,3750 H
3750 H,83,Hunan Culture Radio,,,,,False,,3/4,10490,DVB-S1,Chi,3750 H
3750 H,87,Golden Eagle 955,,,,,False,,3/4,10490,DVB-S1,Chi,3750 H
3770 H,,CGTN,2184-24,,,https://www.lyngsat.com/providers/cn/CGTN.html,True,CGTN,3/5,12360,DVB-S2,,3770 H
3770 H,872,CGTN,MPEG-4/HD,513.0,,https://www.lyngsat.com/providers/cn/CGTN.html,True,CGTN,3/5,12360,DVB-S2,Eng,3770 H
4116 H,402,CGTN,MPEG-2/SD,1260.0,,https://www.lyngsat.com/providers/cn/CGTN.html,True,CGTN,3/4,21374,DVB-S2,Eng,4116 H
3770 H,873,CGTN Documentary,MPEG-4/HD,514.0,,,False,CGTN,3/5,12360,DVB-S2,Eng,3770 H
4116 H,407,CGTN Documentary,MPEG-2/SD,1760.0,,,False,CGTN,3/4,21374,DVB-S2,Eng,4116 H
3780 V,,,,,Tongfang,,False,CGTN,3/4,32300,DVB-S2,,3780 V
3950 H,,,1-1,,,,False,CGTN,5/6,11406,DVB-S1,,3950 H
4020 V,,,2184-51,,TongfangVideoguard,,False,CGTN,3/4,28800,DVB-S2,,4020 V
4030 H,,,1-1,,,,False,CGTN,3/4,10920,DVB-S1,,4030 H
4075 V,,,,,,,False,CGTN,,,,,4075 V
3780 V,3,CCTV 6,MPEG-2/SD,769.0,Tongfang,,False,CGTN,3/4,32300,DVB-S2,Chi,3780 V
3880 H,503,CCTV 6,MPEG-2/SD,514.0,Videoguard,,False,CGTN,3/4,27500,DVB-S2,Chi,3880 H
3780 V,3490,CHC Action Movies,AVS+/HD,257.0,Tongfang,,False,CGTN,3/4,32300,DVB-S2,Chi,3780 V
3780 V,18017,Flash TV (China),MPEG-2/SD,1057.0,Tongfang,,False,CGTN,3/4,32300,DVB-S2,Chi,3780 V
3780 V,36320,Martial Arts World,AVS+/HD,1313.0,Tongfang,,False,CGTN,3/4,32300,DVB-S2,Chi,3780 V
3780 V,36385,Liyuan TV,AVS+/HD,1297.0,Tongfang,,False,CGTN,3/4,32300,DVB-S2,Chi,3780 V
3780 V,36416,Cultural Treasure Channel,AVS+/HD,1329.0,Tongfang,,False,CGTN,3/4,32300,DVB-S2,Chi,3780 V
3780 V,40416,Vanguard 2 Badminton Channel,MPEG-2/SD,1121.0,Tongfang,,False,CGTN,3/4,32300,DVB-S2,Chi,3780 V
3787 H,100,Qinghai TV,1-36AVS+/HD,101.0,Irdeto,,False,CGTN,3/4,7500,DVB-S2,Chi,3787 H
4158 H,1010,Qinghai TV,MPEG-2/SD,4113.0,,,False,CGTN,3/4,8680,DVB-S8,Chi,4158 H
3796 H,1-1,Guizhou TV,1-1MPEG-2/SD,38.0,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3796 H,2,Guizhou News Radio,,,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3796 H,7,Guizhou News Radio,,,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3796 H,3,Guizhou Economic Radio,,,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3796 H,3,Guizhou Metropolis Radio,,,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3796 H,4,Guizhou Music Radio,,,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3796 H,5,Guizhou Traffic Radio,,,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3796 H,6,Guizhou Story Radio,,,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3796 H,6,Guizhou City Radio,,,,,False,CGTN,1/2,6930,DVB-S6,Chi,3796 H
3807 V,1,Chongqing TV,1-101MPEG-2/SD,1800.0,,,False,CGTN,3/4,6000,DVB-S6,Yue,3807 V
3807 V,2,Chongqing News Radio,,,,,False,CGTN,3/4,6000,DVB-S6,Yue,3807 V
3807 V,3,Chongqing Music Radio,,,,,False,CGTN,3/4,6000,DVB-S6,Yue,3807 V
3807 V,5,Chongqing Economic Radio,,,,,False,CGTN,3/4,6000,DVB-S6,Yue,3807 V
3807 V,6,Chongqing City Radio,,,,,False,CGTN,3/4,6000,DVB-S6,Yue,3807 V
3807 V,7,Chongqing Story Radio,,,,,False,CGTN,3/4,6000,DVB-S6,Yue,3807 V
3808 H,,Shanghai Media Group,1-1,,,https://www.lyngsat.com/providers/cn/Shanghai-Media-Group.html,True,Shanghai Media Group,3/4,8800,DVB-S8,,3808 H
3808 H,1,Toonmax TV,MPEG-2/SD,6496.0,,,False,Shanghai Media Group,3/4,8800,DVB-S8,,3808 H
3808 H,2,Dragon TV (China),MPEG-2/SD,6480.0,,,False,Shanghai Media Group,3/4,8800,DVB-S8,Chi,3808 H
3808 H,1,Shanghai CBN Radio,,,,,False,Shanghai Media Group,3/4,8800,DVB-S8,Chi,3808 H
3808 H,2,Radio Shanghai,,,,,False,Shanghai Media Group,3/4,8800,DVB-S8,Chi,3808 H
3808 H,2,East City FM 89.9,,,,,False,Shanghai Media Group,3/4,8800,DVB-S8,Chi,3808 H
3815 V,9,Heilongjiang TV,9-9MPEG-2/SD,1110.0,,,False,Shanghai Media Group,3/4,4420,DVB-S4,Chi,3815 V
3825 V,1,Zhejiang Satellite TV,1-1MPEG-2/SD,32.0,,,False,Shanghai Media Group,3/4,6780,DVB-S6,Chi,3825 V
3834 V,1,Shandong TV,1-3MPEG-2/SD,32.0,,,False,Shanghai Media Group,3/4,5400,DVB-S5,Chi,3834 V
3834 V,11,Shandong People Channel,,,,,False,Shanghai Media Group,3/4,5400,DVB-S5,Chi,3834 V
3834 V,12,Shandong Economy Channel,,,,,False,Shanghai Media Group,3/4,5400,DVB-S5,Chi,3834 V
3834 V,13,Shandong Life Channel,,,,,False,Shanghai Media Group,3/4,5400,DVB-S5,Chi,3834 V
3834 V,14,Shandong Literature Channel,,,,,False,Shanghai Media Group,3/4,5400,DVB-S5,Chi,3834 V
3834 V,15,Shandong Traffic Channel,,,,,False,Shanghai Media Group,3/4,5400,DVB-S5,Chi,3834 V
3834 V,16,Shandong City FM,,,,,False,Shanghai Media Group,3/4,5400,DVB-S5,Chi,3834 V
3840 H,,CCTV,2184-3,,,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3840 H
3840 H,,CCTV,2184-3,,,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3840 H
3840 H,,CCTV,2184-3,,,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3840 H
3840 H,,CCTV,2184-3,,,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3840 H
3880 H,,CCTV,2184-5,,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3880 H
3880 H,,CCTV,2184-5,,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3880 H
3880 H,,CCTV,2184-5,,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3880 H
3880 H,,CCTV,2184-5,,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3880 H
3920 H,,CCTV,,,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3920 H
3920 H,,CCTV,,,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3920 H
3920 H,,CCTV,,,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3920 H
3920 H,,CCTV,,,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,27500,DVB-S2,,3920 H
4116 H,,CCTV,2184-4,,,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,21374,DVB-S2,,4116 H
4116 H,,CCTV,2184-4,,,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,21374,DVB-S2,,4116 H
4116 H,,CCTV,2184-4,,,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,21374,DVB-S2,,4116 H
4116 H,,CCTV,2184-4,,,https://www.lyngsat.com/providers/cn/CCTV.html,True,CCTV,3/4,21374,DVB-S2,,4116 H
3840 H,301,CCTV 1,MPEG-2/SD,512.0,Videoguard,,False,CCTV,3/4,27500,DVB-S2,Chi,3840 H
3840 H,302,CCTV 2,MPEG-2/SD,513.0,,,False,CCTV,3/4,27500,DVB-S2,Chi,3840 H
3840 H,303,CCTV 17,MPEG-2/SD,514.0,,,False,CCTV,3/4,27500,DVB-S2,Chi,3840 H
3840 H,304,CCTV 10,MPEG-2/SD,515.0,,,False,CCTV,3/4,27500,DVB-S2,Chi,3840 H
3840 H,305,CCTV 11,MPEG-2/SD,516.0,,,False,CCTV,3/4,27500,DVB-S2,Chi,3840 H
3840 H,306,CCTV 12,MPEG-2/SD,517.0,,,False,CCTV,3/4,27500,DVB-S2,Chi,3840 H
3840 H,307,CCTV 15,MPEG-2/SD,518.0,,,False,CCTV,3/4,27500,DVB-S2,Chi,3840 H
3846 V,1,Shanxi TV,0-1MPEG-2/SD,160.0,,,False,CCTV,3/4,5950,DVB-S5,Chi,3846 V
3846 V,1,Shanxi News Radio,,,,,False,CCTV,3/4,5950,DVB-S5,Chi,3846 V
3854 V,1,Henan TV,0-1MPEG-2/SD,160.0,,,False,CCTV,3/4,4420,DVB-S4,,3854 V
3854 V,2,Henan Economy Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3854 V
3854 V,3,Henan Culture Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3854 V
3854 V,6,Henan Information Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3854 V
3854 V,7,Henan Agriculture Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3854 V
3854 V,7,Henan People's Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3854 V
3861 V,1,Ningxia Satellite TV,1-101MPEG-2/SD,160.0,,,False,CCTV,3/4,4800,DVB-S4,Chi,3861 V
3861 V,2,Ningxia Music Radio,,,,,False,CCTV,3/4,4800,DVB-S4,Chi,3861 V
3861 V,3,Ningxia News Radio,,,,,False,CCTV,3/4,4800,DVB-S4,Chi,3861 V
3861 V,4,Ningxia City Radio,,,,,False,CCTV,3/4,4800,DVB-S4,Chi,3861 V
3861 V,5,Ningxia Economy Radio,,,,,False,CCTV,3/4,4800,DVB-S4,Chi,3861 V
3861 V,6,Ningxia Traffic Radio,,,,,False,CCTV,3/4,4800,DVB-S4,Chi,3861 V
3871 V,,Shaanxi mux,0-0,,,,False,CCTV,3/4,9080,DVB-S9,,3871 V
3871 V,1,Shaanxi Satellite TV,MPEG-2/SD,160.0,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
4044 V,21,Shaanxi Satellite TV,?-?AVS+/HD,211.0,Tongfang,,False,CCTV,3/4,7500,DVB-S2,Chi,4044 V
3871 V,2,CNNL TV,MPEG-2/SD,170.0,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3871 V,3,Shaanxi Traffic Radio,,,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3871 V,4,Shaanxi City FM,,,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3871 V,5,Shaanxi News Radio,,,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3871 V,6,Shaanxi Economic Radio,,,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3871 V,7,Shaanxi Young Radio,,,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3871 V,8,Shaanxi Agriculture Radio,,,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3871 V,9,Shaanxi Opera Radio,,,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3871 V,10,Shaanxi Music Radio,,,,,False,CCTV,3/4,9080,DVB-S9,Chi,3871 V
3880 H,501,CCTV 3,MPEG-2/SD,512.0,Videoguard,,False,CCTV,3/4,27500,DVB-S2,Chi,3880 H
3880 H,502,CCTV 5,MPEG-2/SD,513.0,Videoguard,,False,CCTV,3/4,27500,DVB-S2,Chi,3880 H
3880 H,504,CCTV 8,MPEG-2/SD,515.0,Videoguard,,False,CCTV,3/4,27500,DVB-S2,Chi,3880 H
3880 H,505,CCTV 14,MPEG-2/SD,516.0,,,False,CCTV,3/4,27500,DVB-S2,Chi,3880 H
3880 H,506,CCTV 13,MPEG-2/SD,517.0,,,False,CCTV,3/4,27500,DVB-S2,Chi,3880 H
3880 H,507,CCTV 9,MPEG-2/SD,518.0,Videoguard,,False,CCTV,3/4,27500,DVB-S2,Chi,3880 H
3885 V,1,Shandong Education TV,1-1MPEG-2/SD,32.0,,,False,CCTV,3/4,4340,DVB-S4,Chi,3885 V
3892 V,1,Jiangxi TV,1-1MPEG-2/SD,160.0,,,False,CCTV,3/4,4420,DVB-S4,Chi,3892 V
3892 V,2,Jiangxi People's Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3892 V
3892 V,2,Jiangxi People's Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3892 V
3892 V,2,Jiangxi Economic Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3892 V
3892 V,3,Jiangxi Music Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3892 V
3892 V,4,Jiangxi News Radio,,,,,False,CCTV,3/4,4420,DVB-S4,Chi,3892 V
