Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
11493 V,,Ddish TV,511-2,,NagravisionTongfang,,False,,5/6,43200,DVB-S2,,11493 V
11553 V,,Ddish TV,,,NagravisionTongfang,,False,,5/6,43200,DVB-S2,,11553 V
11613 V,,Ddish TV,511-3,,NagravisionTongfang,,False,,5/6,43200,DVB-S2,,11613 V
11654 V,,Ddish TV,512-4,,NagravisionTongfang,,False,,3/5,14000,DVB-S2,,11654 V
11493 V,1001.0,MNB,MPEG-4/HD,1001.0,,,False,,5/6,43200,DVB-S2,Mon,11493 V
11493 V,1036.0,BBS TV (Mongolia),MPEG-4/SD,4220.0,,,False,,5/6,43200,DVB-S2,Mon,11493 V
12270 VNE Asia0,,G Sat,,,Conax,,False,,3/4,30000,DVB-S2,,12270 V
12310 VNE Asia0,,G Sat,,,Conax,,False,,3/4,30000,DVB-S2,,12310 V
12303 HSouth Asia,,(feeds),,,,,False,,3/5,1020,DVB-S2,,12303 H
12306 HSouth Asia,,(feeds),,,,,False,,5/6,1100,DVB-S2,,12306 H
12311 HSouth Asia,,(feeds),,,,,False,,5/6,1000,DVB-S2,,12311 H
12312 HSouth Asia,,(feeds),,,,,False,,5/6,1030,DVB-S2,,12312 H
12315 HSouth Asia,,(feeds),,,,,False,,5/6,1060,DVB-S2,,12315 H
12317 HSouth Asia,,(feeds),,,,,False,,3/4,2000,DVB-S2,,12317 H
12383 HNE Asia,,(feeds),,,BISS,,False,,5/6,4500,DVB-S2,,12383 H
12310 VNE Asia0,1.0,G Sat promo,MPEG-4/SD,1001.0,,,False,,3/4,30000,DVB-S2,Tgl,12310 V
12310 VNE Asia0,2.0,One Media Network,MPEG-4/SD,1006.0,,,False,,3/4,30000,DVB-S2,Eng,12310 V
12354 HNE Asia,,(LG feeds),,,BISS,,False,,5/6,3333,DVB-S3,,12354 H
12359 HNE Asia,,(MBN feeds),,,,,False,,3/4,4400,DVB-S2,,12359 H
12623 HSouth Korea,,(MBN feeds),,,,,False,,3/4,4400,DVB-S2,,12623 H
12470 VNE Asia0,,American Forces Network,,,PowerVuVerimatrix,https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network,2/3,30000,DVB-S2,,12470 V
12470 VNE Asia0,,American Forces Network,,,PowerVuVerimatrix,https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network,2/3,30000,DVB-S2,,12470 V
12590 VNE Asia0,,American Forces Network,18-101,,PowerVuVerimatrix,https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network,2/3,30000,DVB-S2,,12590 V
12590 VNE Asia0,,American Forces Network,18-101,,PowerVuVerimatrix,https://www.lyngsat.com/providers/us/American-Forces-Network.html,True,American Forces Network,2/3,30000,DVB-S2,,12590 V
12470 VNE Asia0,2.0,AFN Prime Atlantic,MPEG-4/HD,1260.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,2.0,AFN Prime Atlantic,MPEG-4/HD,1260.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,3.0,AFN News,MPEG-4/HD,1560.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,3.0,AFN News,MPEG-4/HD,1560.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,4.0,AFN Sports,MPEG-4/HD,1160.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,4.0,AFN Sports,MPEG-4/HD,1160.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,5.0,AFN Prime Pacific,MPEG-4/HD,1460.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,5.0,AFN Prime Pacific,MPEG-4/HD,1460.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,6.0,AFN Spectrum,MPEG-4/HD,1360.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,6.0,AFN Spectrum,MPEG-4/HD,1360.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,7.0,AFN Sports 2,MPEG-4/HD,1660.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,7.0,AFN Sports 2,MPEG-4/HD,1660.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,8.0,AFN Family,MPEG-4/HD,1960.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,8.0,AFN Family,MPEG-4/HD,1960.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,9.0,AFN Movie,MPEG-4/HD,1060.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,9.0,AFN Movie,MPEG-4/HD,1060.0,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,401.0,[test card],MPEG-2/SD,1760.0,,,False,American Forces Network,2/3,30000,DVB-S2,,12470 V
12590 VNE Asia0,401.0,[test card],MPEG-2/SD,1760.0,,,False,American Forces Network,2/3,30000,DVB-S2,,12590 V
12470 VNE Asia0,402.0,[American Forces Network test card],MPEG-4/HD,1860.0,,,False,American Forces Network,2/3,30000,DVB-S2,,12470 V
12590 VNE Asia0,402.0,[American Forces Network test card],MPEG-4/HD,1860.0,,,False,American Forces Network,2/3,30000,DVB-S2,,12590 V
12470 VNE Asia0,20.0,AFN The Eagle Pacific,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,20.0,AFN The Eagle Pacific,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,21.0,AFN The Voice,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,21.0,AFN The Voice,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
12470 VNE Asia0,22.0,AFN PowerTalk,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12470 V
12590 VNE Asia0,22.0,AFN PowerTalk,,,PowerVuVerimatrix,,False,American Forces Network,2/3,30000,DVB-S2,Eng,12590 V
