Freq/beam,SID,Provider/Channel,Compression,VPID,Encryption,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Freq
10975 VSE Asia,,(feeds),,,,,False,,3/4,30000,DVB-S2,,10975 V
10982 VSE Asia,,(feeds),,,,,False,,3/4,1600,DVB-S1,,10982 V
10981 HNE Asia0,,,,,Wyplay,,False,,3/4,45000,DVB-S2,,10981 H
10981 HNE Asia0,101.0,CCTV 1,HEVC/HD,651.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,102.0,CCTV 2,HEVC,731.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,103.0,CCTV Entertainment,HEVC,551.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,104.0,CCTV 4 Asia,HEVC,421.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,105.0,CCTV 5+,HEVC/HD,661.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,106.0,CCTV 6,HEVC,561.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,107.0,CCTV 7,HEVC,741.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,108.0,CCTV Opera,HEVC,611.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,109.0,CCTV 9,HEVC,751.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,110.0,CCTV 10,HEVC,761.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,111.0,CCTV 11,HEVC,281.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,112.0,CCTV 12,HEVC,771.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,113.0,CCTV 13,HEVC,301.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,114.0,CCTV 14,HEVC,781.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,115.0,CCTV 15,HEVC,291.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,116.0,Hunan TV,HEVC,671.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,117.0,Zhejiang Satellite TV,HEVC/HD,681.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,118.0,Shandong TV,HEVC,141.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,119.0,Dragon TV (China),HEVC/HD,691.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,120.0,Jiangsu TV,HEVC/HD,701.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,121.0,Henan TV,HEVC/HD,711.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,122.0,Anhui TV,HEVC/HD,721.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,123.0,Hebei TV,HEVC,791.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,124.0,Fujian South East TV,HEVC,231.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,125.0,Guangdong Satellite TV,HEVC,311.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,126.0,Beijing TV,HEVC,401.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,127.0,Tianjin TV,HEVC,221.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,128.0,Liaoning TV,HEVC/HD,801.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,129.0,Hubei Satellite TV,HEVC,431.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,130.0,Jiangxi TV,HEVC,191.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,131.0,Shanxi TV,HEVC,151.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,132.0,Guangxi TV,HEVC,321.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,133.0,Chongqing TV,HEVC,111.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,134.0,Heilongjiang TV,HEVC,121.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,135.0,Guizhou TV,HEVC,261.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,136.0,Xiamen Star TV China,HEVC,241.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,137.0,The Greater Bay Satellite TV,HEVC,511.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,138.0,Shenzhen TV,HEVC,411.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,139.0,Sichuan TV 1,HEVC,201.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,140.0,Ningxia TV,HEVC,131.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,141.0,CETV 1,HEVC,341.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,142.0,You Man Cartoon Channel,HEVC,331.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,143.0,Toonmax TV,HEVC,271.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,144.0,Golden Eagle Cartoon,HEVC,251.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,145.0,Beijing TV Kaku,HEVC,581.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,146.0,JiaJia Cartoon,HEVC,521.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,147.0,Hainan Satellite TV,HEVC,531.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,148.0,Sansha TV,HEVC,541.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,149.0,Nei Monggol TV,HEVC,441.0,Wyplay,,False,,3/4,45000,DVB-S2,Mon,10981 H
10981 HNE Asia0,150.0,Gansu TV,HEVC,211.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,151.0,Shandong Education TV,HEVC,181.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,152.0,Shaanxi TV,HEVC,161.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,154.0,Yunnan TV 1,HEVC,621.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,157.0,Martial Arts World,HEVC,591.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,159.0,Phoenix Chinese Channel,HEVC/HD,371.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,160.0,Phoenix InfoNews Channel,HEVC,351.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,161.0,Phoenix Hong Kong,HEVC,361.0,Wyplay,,False,,3/4,45000,DVB-S2,Yue,10981 H
10981 HNE Asia0,162.0,Macau Lotus TV,HEVC,391.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,163.0,Macau Asia Satellite TV,HEVC,461.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,164.0,Kungfu Satellite TV,HEVC,471.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,165.0,Macau Satellite TV,HEVC,481.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,166.0,Xing Kong China,HEVC,491.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
10981 HNE Asia0,168.0,Sun TV (Hong Kong),HEVC,641.0,Wyplay,,False,,3/4,45000,DVB-S2,Chi,10981 H
11110 HNE Asia0,,Club TV,,,Videoguard,https://www.lyngsat.com/providers/ph/Club-TV.html,True,Club TV,2/3,30000,DVB-S2,,11110 H
11110 HNE Asia0,8500.0,Health & Wellness,MPEG-4/SD,255.0,Videoguard,,False,Club TV,2/3,30000,DVB-S2,Eng,11110 H
11110 HNE Asia0,8501.0,Pet & Pal,MPEG-4/SD,287.0,Videoguard,,False,Club TV,2/3,30000,DVB-S2,Eng,11110 H
11110 HNE Asia0,8502.0,Luxe & Life,MPEG-4/SD,319.0,Videoguard,,False,Club TV,2/3,30000,DVB-S2,Eng,11110 H
11110 HNE Asia0,8503.0,Motorvision+,MPEG-4/SD,351.0,Videoguard,,False,Club TV,2/3,30000,DVB-S2,Eng,11110 H
11110 HNE Asia0,8504.0,Ginx TV International,MPEG-4/SD,383.0,Videoguard,,False,Club TV,2/3,30000,DVB-S2,Eng,11110 H
11110 HNE Asia0,8505.0,My Cinema Europe,MPEG-4/SD,415.0,Videoguard,,False,Club TV,2/3,30000,DVB-S2,Eng,11110 H
11861 HSE Asia0,,InTech,,,,https://www.lyngsat.com/providers/id/InTech.html,True,InTech,3/5,45000,DVB-S2,,11861 H
11861 HSE Asia0,4.0,Bin Baz TV,MPEG-4/SD,604.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,20.0,Fatwa TV,MPEG-4/HD,620.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,25.0,Insan TV,MPEG-4/HD,625.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,26.0,Ashiil TV,MPEG-4/SD,626.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,27.0,Muadz TV,MPEG-4/SD,627.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,28.0,Naajiya TV,MPEG-4/HD,628.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,29.0,Surau TV,MPEG-4/SD,629.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,30.0,Ahsan TV,MPEG-4/SD,630.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,31.0,Hijrah TV (Indonesia),MPEG-4/SD,631.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,32.0,Sunna TV (Saudi Arabia),MPEG-4/SD,632.0,,,False,InTech,3/5,45000,DVB-S2,Ara,11861 H
11861 HSE Asia0,33.0,Izzah TV,MPEG-4/SD,633.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,34.0,Niaga TV,MPEG-4/SD,634.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,35.0,Al-Iman TV (Indonesia),MPEG-4/SD,635.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
11861 HSE Asia0,38.0,Media Sunnah Aceh TV,MPEG-4/SD,638.0,,,False,InTech,3/5,45000,DVB-S2,Ind,11861 H
